subject, block_type, block, condition, trial, right_offer, left_offer, offer_right_image, offer_left_image, exp_value_right, exp_value_left, exp_value_chosen, choice_location, choice_key, choice_card, unchosen_card, chosen_card_image, unchosen_card_image, rt, randomwalk_counter, exp_value1, exp_value2, exp_value3, exp_value4, reward
15, test, 2, vibration during choice, 42, 4, 3, 8.jpg, 7.jpg, 0.368787043, 0.383924023, 0.383924023, left, 1, 3, 4, 7.jpg, 8.jpg, 0.234929500031285, 2, 0.255981224, 0.480978505, 0.383924023, 0.368787043,0,
15, test, 2, vibration during choice, 43, 1, 3, 5.jpg, 7.jpg, 0.288213763, 0.401205729, 0.401205729, left, 1, 3, 1, 7.jpg, 5.jpg, 0.5097894000355154, 2, 0.288213763, 0.511556199, 0.401205729, 0.38383929,1
15, test, 2, vibration during choice, 44, 4, 2, 8.jpg, 6.jpg, 0.362927966, 0.530811847, 0.530811847, left, 1, 2, 4, 6.jpg, 8.jpg, 0.4847809999482706, 2, 0.294374293, 0.530811847, 0.350203513, 0.362927966,1
15, test, 2, vibration during choice, 45, 4, 1, 8.jpg, 5.jpg, 0.367033206, 0.308994906, 0.367033206, right, 2, 4, 1, 8.jpg, 5.jpg, 0.5038532998878509, 2, 0.308994906, 0.512913286, 0.336134109, 0.367033206,0,
15, test, 2, vibration during choice, 46, 1, 2, 5.jpg, 6.jpg, 0.289973458, 0.533187647, 0.289973458, right, 2, 1, 2, 5.jpg, 6.jpg, 0.5458686999045312, 2, 0.289973458, 0.533187647, 0.325220477, 0.368488345,0,
15, test, 2, vibration during choice, 47, 1, 4, 5.jpg, 8.jpg, 0.29306391, 0.34679011, 0.34679011, left, 1, 4, 1, 8.jpg, 5.jpg, 0.366221799980849, 2, 0.29306391, 0.537872242, 0.357892701, 0.34679011,1
15, test, 2, vibration during choice, 48, 4, 1, 8.jpg, 5.jpg, 0.356952705, 0.292135198, 0.292135198, left, 1, 1, 4, 5.jpg, 8.jpg, 0.6190311000682414, 2, 0.292135198, 0.523160461, 0.408168742, 0.356952705,0,
15, test, 2, vibration during choice, 49, 1, 2, 5.jpg, 6.jpg, 0.293886334, 0.527646571, 0.527646571, left, 1, 2, 1, 6.jpg, 5.jpg, 0.5433744000038132, 2, 0.293886334, 0.527646571, 0.394241012, 0.356189797,0,
15, test, 2, vibration during choice, 50, 1, 4, 5.jpg, 8.jpg, 0.304272396, 0.348042517, 0.304272396, right, 2, 1, 4, 5.jpg, 8.jpg, 0.2767966999672353, 2, 0.304272396, 0.548355336, 0.386662209, 0.348042517,0,
15, practice, 3, vibration off, 1, 3, 2, 11.jpg, 10.jpg, 0.584847675, 0.332201416, 0.584847675, right, 2, 3, 2, 11.jpg, 10.jpg, 0.9858060999540612, 2, 0.167787674, 0.332201416, 0.584847675, 0.302670058,0,
15, practice, 3, vibration off, 2, 2, 1, 10.jpg, 9.jpg, 0.355471562, 0.176264347, 0.355471562, right, 2, 2, 1, 10.jpg, 9.jpg, 0.43744889996014535, 2, 0.176264347, 0.355471562, 0.582595424, 0.290755999,0,
15, practice, 3, vibration off, 3, 4, 2, 12.jpg, 10.jpg, 0.275426328, 0.3490424, 0.3490424, left, 1, 2, 4, 10.jpg, 12.jpg, 0.613363700103946, 2, 0.206677553, 0.3490424, 0.578794293, 0.275426328,0,
15, practice, 3, vibration off, 4, 4, 2, 12.jpg, 10.jpg, 0.268568422, 0.358181966, 0.268568422, right, 2, 4, 2, 12.jpg, 10.jpg, 0.44426839996594936, 2, 0.216551625, 0.358181966, 0.569745321, 0.268568422,0,
15, practice, 3, vibration off, 5, 3, 1, 11.jpg, 9.jpg, 0.582527891, 0.21991786, 0.582527891, right, 2, 3, 1, 11.jpg, 9.jpg, 0.5607589000137523, 2, 0.21991786, 0.364707579, 0.582527891, 0.302042001,1
15, test, 3, vibration off, 1, 1, 4, 9.jpg, 12.jpg, 0.167787674, 0.302670058, 0.167787674, right, 2, 1, 4, 9.jpg, 12.jpg, 0.6752199999755248, 2, 0.167787674, 0.332201416, 0.584847675, 0.302670058,0,
15, test, 3, vibration off, 2, 2, 4, 10.jpg, 12.jpg, 0.355471562, 0.290755999, 0.290755999, left, 1, 4, 2, 12.jpg, 10.jpg, 0.9976426999783143, 2, 0.176264347, 0.355471562, 0.582595424, 0.290755999,0,
15, test, 3, vibration off, 3, 3, 4, 11.jpg, 12.jpg, 0.578794293, 0.275426328, 0.578794293, right, 2, 3, 4, 11.jpg, 12.jpg, 0.7990930000087246, 2, 0.206677553, 0.3490424, 0.578794293, 0.275426328,1
15, test, 3, vibration off, 4, 4, 1, 12.jpg, 9.jpg, 0.268568422, 0.216551625, 0.268568422, right, 2, 4, 1, 12.jpg, 9.jpg, 1.032546600094065, 2, 0.216551625, 0.358181966, 0.569745321, 0.268568422,1
15, test, 3, vibration off, 5, 2, 4, 10.jpg, 12.jpg, 0.364707579, 0.302042001, 0.302042001, left, 1, 4, 2, 12.jpg, 10.jpg, 0.7758263000287116, 2, 0.21991786, 0.364707579, 0.582527891, 0.302042001,0,
15, test, 3, vibration off, 6, 4, 3, 12.jpg, 11.jpg, 0.336540119, 0.587455063, 0.587455063, left, 1, 3, 4, 11.jpg, 12.jpg, 0.39742549997754395, 2, 0.209090036, 0.3895513, 0.587455063, 0.336540119,0,
15, test, 3, vibration off, 7, 4, 2, 12.jpg, 10.jpg, 0.363378709, 0.39060737, 0.363378709, right, 2, 4, 2, 12.jpg, 10.jpg, 0.6707319999113679, 2, 0.215508938, 0.39060737, 0.582464681, 0.363378709,1
15, test, 3, vibration off, 8, 1, 2, 9.jpg, 10.jpg, 0.219868403, 0.430440014, 0.430440014, left, 1, 2, 1, 10.jpg, 9.jpg, 1.9866962999803945, 2, 0.219868403, 0.430440014, 0.545053358, 0.369794555,1
15, test, 3, vibration off, 9, 3, 2, 11.jpg, 10.jpg, 0.530883085, 0.4539861, 0.4539861, left, 1, 2, 3, 10.jpg, 11.jpg, 0.5346354000503197, 2, 0.223820368, 0.4539861, 0.530883085, 0.365747455,0,
15, test, 3, vibration off, 10, 2, 1, 10.jpg, 9.jpg, 0.485995524, 0.25320591, 0.485995524, right, 2, 2, 1, 10.jpg, 9.jpg, 0.4914306999417022, 2, 0.25320591, 0.485995524, 0.507816291, 0.36426522,1
15, test, 3, vibration off, 11, 1, 2, 9.jpg, 10.jpg, 0.272116099, 0.489357893, 0.489357893, left, 1, 2, 1, 10.jpg, 9.jpg, 0.7227822999702767, 2, 0.272116099, 0.489357893, 0.494989907, 0.378430477,0,
15, test, 3, vibration off, 12, 1, 4, 9.jpg, 12.jpg, 0.234286576, 0.406276663, 0.234286576, right, 2, 1, 4, 9.jpg, 12.jpg, 0.6691349999746308, 2, 0.234286576, 0.484630844, 0.446302549, 0.406276663,0,
15, test, 3, vibration off, 13, 3, 1, 11.jpg, 9.jpg, 0.441292304, 0.209829698, 0.209829698, left, 1, 1, 3, 9.jpg, 11.jpg, 0.27962859999388456, 2, 0.209829698, 0.493007884, 0.441292304, 0.408056555,1
15, test, 3, vibration off, 14, 2, 1, 10.jpg, 9.jpg, 0.496165246, 0.194746258, 0.496165246, right, 2, 2, 1, 10.jpg, 9.jpg, 0.5470810000551865, 2, 0.194746258, 0.496165246, 0.424090899, 0.411853134,0,
15, test, 3, vibration off, 15, 3, 4, 11.jpg, 12.jpg, 0.410741903, 0.425420016, 0.425420016, left, 1, 4, 3, 12.jpg, 11.jpg, 0.66495040000882, 2, 0.254919143, 0.498060855, 0.410741903, 0.425420016,0,
15, test, 3, vibration off, 16, 1, 2, 9.jpg, 10.jpg, 0.268446939, 0.473753497, 0.268446939, right, 2, 1, 2, 9.jpg, 10.jpg, 0.8245875000720844, 2, 0.268446939, 0.473753497, 0.384469806, 0.434571537,0,
15, test, 3, vibration off, 17, 3, 2, 11.jpg, 10.jpg, 0.397409959, 0.427927548, 0.397409959, right, 2, 3, 2, 11.jpg, 10.jpg, 0.7623907999368384, 2, 0.260713561, 0.427927548, 0.397409959, 0.467037886,0,
15, test, 3, vibration off, 18, 3, 4, 11.jpg, 12.jpg, 0.380302803, 0.458160423, 0.380302803, right, 2, 3, 4, 11.jpg, 12.jpg, 0.4355117999948561, 2, 0.273570125, 0.42862063, 0.380302803, 0.458160423,0,
15, test, 3, vibration off, 19, 3, 4, 11.jpg, 12.jpg, 0.39026973, 0.413401572, 0.39026973, right, 2, 3, 4, 11.jpg, 12.jpg, 0.3908608000492677, 2, 0.269452755, 0.435371131, 0.39026973, 0.413401572,0,
15, test, 3, vibration off, 20, 2, 4, 10.jpg, 12.jpg, 0.425551488, 0.410963982, 0.410963982, left, 1, 4, 2, 12.jpg, 10.jpg, 0.4908440000144765, 2, 0.268741649, 0.425551488, 0.408454439, 0.410963982,0,
15, test, 3, vibration off, 21, 3, 2, 11.jpg, 10.jpg, 0.404768464, 0.44190032, 0.404768464, right, 2, 3, 2, 11.jpg, 10.jpg, 0.36713779997080564, 2, 0.289598518, 0.44190032, 0.404768464, 0.423231262,0,
15, test, 3, vibration off, 22, 1, 2, 9.jpg, 10.jpg, 0.299460569, 0.419525056, 0.299460569, right, 2, 1, 2, 9.jpg, 10.jpg, 0.5605953999329358, 2, 0.299460569, 0.419525056, 0.422610309, 0.389718337,1
15, test, 3, vibration off, 23, 3, 2, 11.jpg, 10.jpg, 0.408863932, 0.397611772, 0.408863932, right, 2, 3, 2, 11.jpg, 10.jpg, 0.5283870999701321, 2, 0.275422902, 0.397611772, 0.408863932, 0.39059245,1
15, test, 3, vibration off, 24, 3, 2, 11.jpg, 10.jpg, 0.405854252, 0.379139537, 0.405854252, right, 2, 3, 2, 11.jpg, 10.jpg, 0.4350881000282243, 2, 0.266650787, 0.379139537, 0.405854252, 0.398445672,1
15, test, 3, vibration off, 25, 2, 3, 10.jpg, 11.jpg, 0.383103254, 0.425425396, 0.425425396, left, 1, 3, 2, 11.jpg, 10.jpg, 0.5918214999837801, 2, 0.254259812, 0.383103254, 0.425425396, 0.3844496,0,
15, test, 3, vibration off, 26, 3, 1, 11.jpg, 9.jpg, 0.44409494, 0.251503025, 0.44409494, right, 2, 3, 1, 11.jpg, 9.jpg, 0.39846179995220155, 2, 0.251503025, 0.426705428, 0.44409494, 0.389570929,1
15, test, 3, vibration off, 27, 2, 4, 10.jpg, 12.jpg, 0.434578853, 0.351861927, 0.434578853, right, 2, 2, 4, 10.jpg, 12.jpg, 0.9155544999521226, 2, 0.260664603, 0.434578853, 0.476699219, 0.351861927,0,
15, test, 3, vibration off, 28, 3, 1, 11.jpg, 9.jpg, 0.471375184, 0.254900351, 0.471375184, right, 2, 3, 1, 11.jpg, 9.jpg, 0.5881359999766573, 2, 0.254900351, 0.456535155, 0.471375184, 0.358204472,1
15, test, 3, vibration off, 29, 4, 2, 12.jpg, 10.jpg, 0.360838495, 0.431125609, 0.360838495, right, 2, 4, 2, 12.jpg, 10.jpg, 0.8361296999501064, 2, 0.270226286, 0.431125609, 0.45401501, 0.360838495,0,
15, test, 3, vibration off, 30, 4, 1, 12.jpg, 9.jpg, 0.36725969, 0.231605059, 0.36725969, right, 2, 4, 1, 12.jpg, 9.jpg, 0.7792784000048414, 2, 0.231605059, 0.434793002, 0.441888062, 0.36725969,0,
15, test, 3, vibration off, 31, 4, 3, 12.jpg, 11.jpg, 0.401609609, 0.456731037, 0.456731037, left, 1, 3, 4, 11.jpg, 12.jpg, 0.5513908999273553, 2, 0.233739069, 0.473135831, 0.456731037, 0.401609609,0,
15, test, 3, vibration off, 32, 1, 4, 9.jpg, 12.jpg, 0.24432205, 0.393803515, 0.24432205, right, 2, 1, 4, 9.jpg, 12.jpg, 0.5676573000382632, 2, 0.24432205, 0.452508743, 0.406064085, 0.393803515,0,
15, test, 3, vibration off, 33, 2, 1, 10.jpg, 9.jpg, 0.458621481, 0.193554899, 0.193554899, left, 1, 1, 2, 9.jpg, 10.jpg, 0.7517216000705957, 2, 0.193554899, 0.458621481, 0.401876712, 0.402704902,0,
15, test, 3, vibration off, 34, 1, 2, 9.jpg, 10.jpg, 0.204964705, 0.43001655, 0.43001655, left, 1, 2, 1, 10.jpg, 9.jpg, 0.7197694999631494, 2, 0.204964705, 0.43001655, 0.409321444, 0.416668377,1
15, test, 3, vibration off, 35, 4, 1, 12.jpg, 9.jpg, 0.419699964, 0.22048214, 0.419699964, right, 2, 4, 1, 12.jpg, 9.jpg, 0.7754055999685079, 2, 0.22048214, 0.429045935, 0.424862287, 0.419699964,0,
15, test, 3, vibration off, 36, 2, 1, 10.jpg, 9.jpg, 0.447650766, 0.211101934, 0.447650766, right, 2, 2, 1, 10.jpg, 9.jpg, 0.5832227999344468, 2, 0.211101934, 0.447650766, 0.423948221, 0.428911523,1
15, test, 3, vibration off, 37, 4, 1, 12.jpg, 9.jpg, 0.39910528, 0.219326053, 0.39910528, right, 2, 4, 1, 12.jpg, 9.jpg, 0.6184014000464231, 2, 0.219326053, 0.456165741, 0.43257228, 0.39910528,0,
15, test, 3, vibration off, 38, 4, 1, 12.jpg, 9.jpg, 0.390289699, 0.221341547, 0.221341547, left, 1, 1, 4, 9.jpg, 12.jpg, 0.2874584000092, 2, 0.221341547, 0.433155402, 0.4363313, 0.390289699,0,
15, test, 3, vibration off, 39, 3, 4, 11.jpg, 12.jpg, 0.408906602, 0.411267062, 0.408906602, right, 2, 3, 4, 11.jpg, 12.jpg, 0.3277532000793144, 2, 0.214118114, 0.447660961, 0.408906602, 0.411267062,1
15, test, 3, vibration off, 40, 2, 4, 10.jpg, 12.jpg, 0.447456341, 0.401024283, 0.447456341, right, 2, 2, 4, 10.jpg, 12.jpg, 0.8708289999049157, 2, 0.217505069, 0.447456341, 0.40122215, 0.401024283,1
15, test, 3, vibration off, 41, 2, 1, 10.jpg, 9.jpg, 0.458162882, 0.249081937, 0.458162882, right, 2, 2, 1, 10.jpg, 9.jpg, 0.4720493999775499, 2, 0.249081937, 0.458162882, 0.382054645, 0.370374616,0,
15, test, 3, vibration off, 42, 4, 1, 12.jpg, 9.jpg, 0.368787043, 0.255981224, 0.368787043, right, 2, 4, 1, 12.jpg, 9.jpg, 0.43592449999414384, 2, 0.255981224, 0.480978505, 0.383924023, 0.368787043,0,
15, test, 3, vibration off, 43, 3, 1, 11.jpg, 9.jpg, 0.401205729, 0.288213763, 0.401205729, right, 2, 3, 1, 11.jpg, 9.jpg, 0.43063280009664595, 2, 0.288213763, 0.511556199, 0.401205729, 0.38383929,1
15, test, 3, vibration off, 44, 4, 2, 12.jpg, 10.jpg, 0.362927966, 0.530811847, 0.530811847, left, 1, 2, 4, 10.jpg, 12.jpg, 0.6343356999568641, 2, 0.294374293, 0.530811847, 0.350203513, 0.362927966,1
15, test, 3, vibration off, 45, 2, 4, 10.jpg, 12.jpg, 0.512913286, 0.367033206, 0.512913286, right, 2, 2, 4, 10.jpg, 12.jpg, 0.4486675999360159, 2, 0.308994906, 0.512913286, 0.336134109, 0.367033206,1
15, test, 3, vibration off, 46, 3, 2, 11.jpg, 10.jpg, 0.325220477, 0.533187647, 0.533187647, left, 1, 2, 3, 10.jpg, 11.jpg, 0.42273659992497414, 2, 0.289973458, 0.533187647, 0.325220477, 0.368488345,1
15, test, 3, vibration off, 47, 4, 2, 12.jpg, 10.jpg, 0.34679011, 0.537872242, 0.537872242, left, 1, 2, 4, 10.jpg, 12.jpg, 0.37945220002438873, 2, 0.29306391, 0.537872242, 0.357892701, 0.34679011,1
15, test, 3, vibration off, 48, 4, 1, 12.jpg, 9.jpg, 0.356952705, 0.292135198, 0.356952705, right, 2, 4, 1, 12.jpg, 9.jpg, 0.7862737999530509, 2, 0.292135198, 0.523160461, 0.408168742, 0.356952705,1
15, test, 3, vibration off, 49, 2, 1, 10.jpg, 9.jpg, 0.527646571, 0.293886334, 0.527646571, right, 2, 2, 1, 10.jpg, 9.jpg, 0.4904474000213668, 2, 0.293886334, 0.527646571, 0.394241012, 0.356189797,0,
15, test, 3, vibration off, 50, 3, 4, 11.jpg, 12.jpg, 0.386662209, 0.348042517, 0.348042517, left, 1, 4, 3, 12.jpg, 11.jpg, 0.7439314000075683, 2, 0.304272396, 0.548355336, 0.386662209, 0.348042517,0,
