subject, block_type, block, condition, trial, right_offer, left_offer, offer_right_image, offer_left_image, exp_value_right, exp_value_left, exp_value_chosen, choice_location, choice_key, choice_card, unchosen_card, chosen_card_image, unchosen_card_image, rt, randomwalk_counter, exp_value1, exp_value2, exp_value3, exp_value4, reward
38, practice, 1, vibration during outcome, 1, 1, 2, 5.jpg, 6.jpg, 0.167787674, 0.332201416, 0.332201416, left, 1, 2, 1, 6.jpg, 5.jpg, 1.8225660000462085, 2, 0.167787674, 0.332201416, 0.584847675, 0.302670058,0,
38, practice, 1, vibration during outcome, 2, 3, 1, 7.jpg, 5.jpg, 0.582595424, 0.176264347, 0.176264347, left, 1, 1, 3, 5.jpg, 7.jpg, 1.280144999967888, 2, 0.176264347, 0.355471562, 0.582595424, 0.290755999,0,
38, practice, 1, vibration during outcome, 3, 3, 4, 7.jpg, 8.jpg, 0.578794293, 0.275426328, 0.578794293, right, 2, 3, 4, 7.jpg, 8.jpg, 1.654377499828115, 2, 0.206677553, 0.3490424, 0.578794293, 0.275426328,1
38, practice, 1, vibration during outcome, 4, 1, 4, 5.jpg, 8.jpg, 0.216551625, 0.268568422, 0.268568422, left, 1, 4, 1, 8.jpg, 5.jpg, 1.9316610000096262, 2, 0.216551625, 0.358181966, 0.569745321, 0.268568422,0,
38, practice, 1, vibration during outcome, 5, 4, 3, 8.jpg, 7.jpg, 0.302042001, 0.582527891, 0.302042001, right, 2, 4, 3, 8.jpg, 7.jpg, 1.6741480000782758, 2, 0.21991786, 0.364707579, 0.582527891, 0.302042001,1
38, test, 1, vibration during outcome, 1, 2, 1, 6.jpg, 5.jpg, 0.332201416, 0.167787674, 0.167787674, left, 1, 1, 2, 5.jpg, 6.jpg, 0.8836649002041668, 2, 0.167787674, 0.332201416, 0.584847675, 0.302670058,0,
38, test, 1, vibration during outcome, 2, 3, 4, 7.jpg, 8.jpg, 0.582595424, 0.290755999, 0.290755999, left, 1, 4, 3, 8.jpg, 7.jpg, 1.2537157000042498, 2, 0.176264347, 0.355471562, 0.582595424, 0.290755999,1
38, test, 1, vibration during outcome, 3, 4, 1, 8.jpg, 5.jpg, 0.275426328, 0.206677553, 0.275426328, right, 2, 4, 1, 8.jpg, 5.jpg, 2.2027579999994487, 2, 0.206677553, 0.3490424, 0.578794293, 0.275426328,0,
38, test, 1, vibration during outcome, 4, 1, 4, 5.jpg, 8.jpg, 0.216551625, 0.268568422, 0.268568422, left, 1, 4, 1, 8.jpg, 5.jpg, 1.5985493001062423, 2, 0.216551625, 0.358181966, 0.569745321, 0.268568422,1
38, test, 1, vibration during outcome, 5, 1, 4, 5.jpg, 8.jpg, 0.21991786, 0.302042001, 0.21991786, right, 2, 1, 4, 5.jpg, 8.jpg, 1.2083580000326037, 2, 0.21991786, 0.364707579, 0.582527891, 0.302042001,0,
