subject, block_type, block, condition, trial, right_offer, left_offer, offer_right_image, offer_left_image, exp_value_right, exp_value_left, exp_value_chosen, choice_location, choice_key, choice_card, unchosen_card, chosen_card_image, unchosen_card_image, rt, randomwalk_counter, exp_value1, exp_value2, exp_value3, exp_value4, reward
43, test, 1, vibration during choice, 20, 3, 2, 11.jpg, 10.jpg, 0.408454439, 0.425551488, 0.408454439, right, 2, 3, 2, 11.jpg, 10.jpg, 0.4558375000196975, 2, 0.268741649, 0.425551488, 0.408454439, 0.410963982,0,
43, test, 1, vibration during choice, 21, 1, 4, 9.jpg, 12.jpg, 0.289598518, 0.423231262, 0.423231262, left, 1, 4, 1, 12.jpg, 9.jpg, 0.2128849000146147, 2, 0.289598518, 0.44190032, 0.404768464, 0.423231262,1
43, test, 1, vibration during choice, 22, 4, 3, 12.jpg, 11.jpg, 0.389718337, 0.422610309, 0.422610309, left, 1, 3, 4, 11.jpg, 12.jpg, 1.3920322000049055, 2, 0.299460569, 0.419525056, 0.422610309, 0.389718337,0,
43, test, 1, vibration during choice, 23, 4, 3, 12.jpg, 11.jpg, 0.39059245, 0.408863932, 0.39059245, right, 2, 4, 3, 12.jpg, 11.jpg, 0.5024011999776121, 2, 0.275422902, 0.397611772, 0.408863932, 0.39059245,0,
43, test, 1, vibration during choice, 24, 2, 4, 10.jpg, 12.jpg, 0.379139537, 0.398445672, 0.398445672, left, 1, 4, 2, 12.jpg, 10.jpg, 0.24510339999687858, 2, 0.266650787, 0.379139537, 0.405854252, 0.398445672,0,
43, test, 1, vibration during choice, 25, 3, 4, 11.jpg, 12.jpg, 0.425425396, 0.3844496, 0.425425396, right, 2, 3, 4, 11.jpg, 12.jpg, 0.27191929999389686, 2, 0.254259812, 0.383103254, 0.425425396, 0.3844496,1
43, test, 1, vibration during choice, 26, 2, 1, 10.jpg, 9.jpg, 0.426705428, 0.251503025, 0.251503025, left, 1, 1, 2, 9.jpg, 10.jpg, 0.32002949999878183, 2, 0.251503025, 0.426705428, 0.44409494, 0.389570929,0,
43, test, 1, vibration during choice, 27, 1, 2, 9.jpg, 10.jpg, 0.260664603, 0.434578853, 0.260664603, right, 2, 1, 2, 9.jpg, 10.jpg, 0.28613799999584444, 2, 0.260664603, 0.434578853, 0.476699219, 0.351861927,1
43, test, 1, vibration during choice, 28, 2, 3, 10.jpg, 11.jpg, 0.456535155, 0.471375184, 0.456535155, right, 2, 2, 3, 10.jpg, 11.jpg, 0.4506985000043642, 2, 0.254900351, 0.456535155, 0.471375184, 0.358204472,0,
43, test, 1, vibration during choice, 29, 1, 3, 9.jpg, 11.jpg, 0.270226286, 0.45401501, 0.270226286, right, 2, 1, 3, 9.jpg, 11.jpg, 0.49642159999348223, 2, 0.270226286, 0.431125609, 0.45401501, 0.360838495,0,
43, test, 1, vibration during choice, 30, 3, 1, 11.jpg, 9.jpg, 0.441888062, 0.231605059, 0.231605059, left, 1, 1, 3, 9.jpg, 11.jpg, 0.21609850000822917, 2, 0.231605059, 0.434793002, 0.441888062, 0.36725969,1
43, test, 1, vibration during choice, 31, 2, 3, 10.jpg, 11.jpg, 0.473135831, 0.456731037, 0.456731037, left, 1, 3, 2, 11.jpg, 10.jpg, 0.9611030999803916, 2, 0.233739069, 0.473135831, 0.456731037, 0.401609609,0,
43, test, 1, vibration during choice, 32, 3, 2, 11.jpg, 10.jpg, 0.406064085, 0.452508743, 0.452508743, left, 1, 2, 3, 10.jpg, 11.jpg, 0.2858286999980919, 2, 0.24432205, 0.452508743, 0.406064085, 0.393803515,0,
43, test, 1, vibration during choice, 33, 2, 3, 10.jpg, 11.jpg, 0.458621481, 0.401876712, 0.458621481, right, 2, 2, 3, 10.jpg, 11.jpg, 0.8707323999842629, 2, 0.193554899, 0.458621481, 0.401876712, 0.402704902,0,
43, test, 1, vibration during choice, 34, 2, 1, 10.jpg, 9.jpg, 0.43001655, 0.204964705, 0.204964705, left, 1, 1, 2, 9.jpg, 10.jpg, 0.7767063000064809, 2, 0.204964705, 0.43001655, 0.409321444, 0.416668377,1
43, test, 1, vibration during choice, 35, 2, 1, 10.jpg, 9.jpg, 0.429045935, 0.22048214, 0.22048214, left, 1, 1, 2, 9.jpg, 10.jpg, 0.4836366999952588, 2, 0.22048214, 0.429045935, 0.424862287, 0.419699964,0,
43, test, 1, vibration during choice, 36, 4, 3, 12.jpg, 11.jpg, 0.428911523, 0.423948221, 0.428911523, right, 2, 4, 3, 12.jpg, 11.jpg, 1.1859759999788366, 2, 0.211101934, 0.447650766, 0.423948221, 0.428911523,1
43, test, 1, vibration during choice, 37, 1, 4, 9.jpg, 12.jpg, 0.219326053, 0.39910528, 0.39910528, left, 1, 4, 1, 12.jpg, 9.jpg, 0.934046699985629, 2, 0.219326053, 0.456165741, 0.43257228, 0.39910528,1
43, test, 1, vibration during choice, 38, 3, 2, 11.jpg, 10.jpg, 0.4363313, 0.433155402, 0.4363313, right, 2, 3, 2, 11.jpg, 10.jpg, 0.7560914999921806, 2, 0.221341547, 0.433155402, 0.4363313, 0.390289699,0,
43, test, 1, vibration during choice, 39, 4, 1, 12.jpg, 9.jpg, 0.411267062, 0.214118114, 0.411267062, right, 2, 4, 1, 12.jpg, 9.jpg, 0.46586650001700036, 2, 0.214118114, 0.447660961, 0.408906602, 0.411267062,0,
