subject, block_type, block, condition, trial, right_offer, left_offer, offer_right_image, offer_left_image, exp_value_right, exp_value_left, exp_value_chosen, choice_location, choice_key, choice_card, unchosen_card, chosen_card_image, unchosen_card_image, rt, randomwalk_counter, exp_value1, exp_value2, exp_value3, exp_value4, reward
10, practice, 1, vibration off, 1, 2, 3, 2.jpg, 3.jpg, 0.332201416, 0.584847675, 0.584847675, left, 1, 3, 2, 3.jpg, 2.jpg, 1.8029397999634966, 2, 0.167787674, 0.332201416, 0.584847675, 0.302670058,0,
10, practice, 1, vibration off, 2, 3, 2, 3.jpg, 2.jpg, 0.582595424, 0.355471562, 0.582595424, right, 2, 3, 2, 3.jpg, 2.jpg, 0.3830483999918215, 2, 0.176264347, 0.355471562, 0.582595424, 0.290755999,1
10, practice, 1, vibration off, 3, 1, 4, 1.jpg, 4.jpg, 0.206677553, 0.275426328, 0.206677553, right, 2, 1, 4, 1.jpg, 4.jpg, 0.20814360002987087, 2, 0.206677553, 0.3490424, 0.578794293, 0.275426328,1
10, practice, 1, vibration off, 4, 2, 4, 2.jpg, 4.jpg, 0.358181966, 0.268568422, 0.358181966, right, 2, 2, 4, 2.jpg, 4.jpg, 0.40021019999403507, 2, 0.216551625, 0.358181966, 0.569745321, 0.268568422,0,
10, practice, 1, vibration off, 5, 4, 3, 4.jpg, 3.jpg, 0.302042001, 0.582527891, 0.582527891, left, 1, 3, 4, 3.jpg, 4.jpg, 0.3020344999968074, 2, 0.21991786, 0.364707579, 0.582527891, 0.302042001,1
10, test, 1, vibration off, 1, 1, 4, 1.jpg, 4.jpg, 0.167787674, 0.302670058, 0.167787674, right, 2, 1, 4, 1.jpg, 4.jpg, 0.6908983000321314, 2, 0.167787674, 0.332201416, 0.584847675, 0.302670058,1
10, test, 1, vibration off, 2, 3, 1, 3.jpg, 1.jpg, 0.582595424, 0.176264347, 0.582595424, right, 2, 3, 1, 3.jpg, 1.jpg, 0.39955009997356683, 2, 0.176264347, 0.355471562, 0.582595424, 0.290755999,1
10, test, 1, vibration off, 3, 1, 3, 1.jpg, 3.jpg, 0.206677553, 0.578794293, 0.206677553, right, 2, 1, 3, 1.jpg, 3.jpg, 0.37988089997088537, 2, 0.206677553, 0.3490424, 0.578794293, 0.275426328,0,
10, test, 1, vibration off, 4, 2, 1, 2.jpg, 1.jpg, 0.358181966, 0.216551625, 0.216551625, left, 1, 1, 2, 1.jpg, 2.jpg, 0.27526900003431365, 2, 0.216551625, 0.358181966, 0.569745321, 0.268568422,0,
10, test, 1, vibration off, 5, 1, 4, 1.jpg, 4.jpg, 0.21991786, 0.302042001, 0.21991786, right, 2, 1, 4, 1.jpg, 4.jpg, 0.23889710003277287, 2, 0.21991786, 0.364707579, 0.582527891, 0.302042001,0,
10, test, 1, vibration off, 6, 1, 2, 1.jpg, 2.jpg, 0.209090036, 0.3895513, 0.209090036, right, 2, 1, 2, 1.jpg, 2.jpg, 0.22109239996643737, 2, 0.209090036, 0.3895513, 0.587455063, 0.336540119,1
10, test, 1, vibration off, 7, 3, 2, 3.jpg, 2.jpg, 0.582464681, 0.39060737, 0.582464681, right, 2, 3, 2, 3.jpg, 2.jpg, 0.23596050002379343, 2, 0.215508938, 0.39060737, 0.582464681, 0.363378709,1
10, test, 1, vibration off, 8, 4, 1, 4.jpg, 1.jpg, 0.369794555, 0.219868403, 0.369794555, right, 2, 4, 1, 4.jpg, 1.jpg, 0.2838439999613911, 2, 0.219868403, 0.430440014, 0.545053358, 0.369794555,1
10, test, 1, vibration off, 9, 1, 4, 1.jpg, 4.jpg, 0.223820368, 0.365747455, 0.223820368, right, 2, 1, 4, 1.jpg, 4.jpg, 0.2542820000089705, 2, 0.223820368, 0.4539861, 0.530883085, 0.365747455,0,
10, test, 1, vibration off, 10, 3, 1, 3.jpg, 1.jpg, 0.507816291, 0.25320591, 0.25320591, left, 1, 1, 3, 1.jpg, 3.jpg, 0.4228395000100136, 2, 0.25320591, 0.485995524, 0.507816291, 0.36426522,0,
10, test, 1, vibration off, 11, 3, 1, 3.jpg, 1.jpg, 0.494989907, 0.272116099, 0.494989907, right, 2, 3, 1, 3.jpg, 1.jpg, 0.3342982999747619, 2, 0.272116099, 0.489357893, 0.494989907, 0.378430477,0,
10, test, 1, vibration off, 12, 1, 4, 1.jpg, 4.jpg, 0.234286576, 0.406276663, 0.234286576, right, 2, 1, 4, 1.jpg, 4.jpg, 0.3023515000240877, 2, 0.234286576, 0.484630844, 0.446302549, 0.406276663,0,
10, test, 1, vibration off, 13, 3, 4, 3.jpg, 4.jpg, 0.441292304, 0.408056555, 0.441292304, right, 2, 3, 4, 3.jpg, 4.jpg, 0.28486950002843514, 2, 0.209829698, 0.493007884, 0.441292304, 0.408056555,0,
10, test, 1, vibration off, 14, 3, 2, 3.jpg, 2.jpg, 0.424090899, 0.496165246, 0.424090899, right, 2, 3, 2, 3.jpg, 2.jpg, 0.7699984000064433, 2, 0.194746258, 0.496165246, 0.424090899, 0.411853134,1
10, test, 1, vibration off, 15, 2, 1, 2.jpg, 1.jpg, 0.498060855, 0.254919143, 0.498060855, right, 2, 2, 1, 2.jpg, 1.jpg, 0.43288909998955205, 2, 0.254919143, 0.498060855, 0.410741903, 0.425420016,0,
10, test, 1, vibration off, 16, 3, 4, 3.jpg, 4.jpg, 0.384469806, 0.434571537, 0.384469806, right, 2, 3, 4, 3.jpg, 4.jpg, 0.37169170001288876, 2, 0.268446939, 0.473753497, 0.384469806, 0.434571537,0,
10, test, 1, vibration off, 17, 4, 2, 4.jpg, 2.jpg, 0.467037886, 0.427927548, 0.427927548, left, 1, 2, 4, 2.jpg, 4.jpg, 0.25918759999331087, 2, 0.260713561, 0.427927548, 0.397409959, 0.467037886,1
10, test, 1, vibration off, 18, 1, 3, 1.jpg, 3.jpg, 0.273570125, 0.380302803, 0.380302803, left, 1, 3, 1, 3.jpg, 1.jpg, 0.2288008999894373, 2, 0.273570125, 0.42862063, 0.380302803, 0.458160423,1
10, test, 1, vibration off, 19, 1, 2, 1.jpg, 2.jpg, 0.269452755, 0.435371131, 0.269452755, right, 2, 1, 2, 1.jpg, 2.jpg, 0.2596126000280492, 2, 0.269452755, 0.435371131, 0.39026973, 0.413401572,0,
10, test, 1, vibration off, 20, 2, 4, 2.jpg, 4.jpg, 0.425551488, 0.410963982, 0.410963982, left, 1, 4, 2, 4.jpg, 2.jpg, 0.2071705999551341, 2, 0.268741649, 0.425551488, 0.408454439, 0.410963982,1
10, test, 1, vibration off, 21, 1, 4, 1.jpg, 4.jpg, 0.289598518, 0.423231262, 0.423231262, left, 1, 4, 1, 4.jpg, 1.jpg, 0.20675760001176968, 2, 0.289598518, 0.44190032, 0.404768464, 0.423231262,0,
10, test, 1, vibration off, 22, 4, 3, 4.jpg, 3.jpg, 0.389718337, 0.422610309, 0.422610309, left, 1, 3, 4, 3.jpg, 4.jpg, 0.22793110000202432, 2, 0.299460569, 0.419525056, 0.422610309, 0.389718337,1
10, test, 1, vibration off, 23, 2, 3, 2.jpg, 3.jpg, 0.397611772, 0.408863932, 0.397611772, right, 2, 2, 3, 2.jpg, 3.jpg, 0.2782979999901727, 2, 0.275422902, 0.397611772, 0.408863932, 0.39059245,0,
10, test, 1, vibration off, 24, 3, 2, 3.jpg, 2.jpg, 0.405854252, 0.379139537, 0.379139537, left, 1, 2, 3, 2.jpg, 3.jpg, 0.28852069994900376, 2, 0.266650787, 0.379139537, 0.405854252, 0.398445672,0,
10, test, 1, vibration off, 25, 2, 1, 2.jpg, 1.jpg, 0.383103254, 0.254259812, 0.254259812, left, 1, 1, 2, 1.jpg, 2.jpg, 0.21757929999148473, 2, 0.254259812, 0.383103254, 0.425425396, 0.3844496,0,
10, test, 1, vibration off, 26, 4, 2, 4.jpg, 2.jpg, 0.389570929, 0.426705428, 0.389570929, right, 2, 4, 2, 4.jpg, 2.jpg, 0.31896500004222617, 2, 0.251503025, 0.426705428, 0.44409494, 0.389570929,1
10, test, 1, vibration off, 27, 1, 3, 1.jpg, 3.jpg, 0.260664603, 0.476699219, 0.260664603, right, 2, 1, 3, 1.jpg, 3.jpg, 0.2846333999768831, 2, 0.260664603, 0.434578853, 0.476699219, 0.351861927,0,
10, test, 1, vibration off, 28, 2, 4, 2.jpg, 4.jpg, 0.456535155, 0.358204472, 0.358204472, left, 1, 4, 2, 4.jpg, 2.jpg, 0.24977059999946505, 2, 0.254900351, 0.456535155, 0.471375184, 0.358204472,1
10, test, 1, vibration off, 29, 2, 4, 2.jpg, 4.jpg, 0.431125609, 0.360838495, 0.431125609, right, 2, 2, 4, 2.jpg, 4.jpg, 0.2231552000157535, 2, 0.270226286, 0.431125609, 0.45401501, 0.360838495,0,
10, test, 1, vibration off, 30, 4, 1, 4.jpg, 1.jpg, 0.36725969, 0.231605059, 0.36725969, right, 2, 4, 1, 4.jpg, 1.jpg, 0.21542560000671074, 2, 0.231605059, 0.434793002, 0.441888062, 0.36725969,0,
10, test, 1, vibration off, 31, 1, 4, 1.jpg, 4.jpg, 0.233739069, 0.401609609, 0.233739069, right, 2, 1, 4, 1.jpg, 4.jpg, 0.08130010002059862, 2, 0.233739069, 0.473135831, 0.456731037, 0.401609609,1
10, test, 1, vibration off, 32, 4, 2, 4.jpg, 2.jpg, 0.393803515, 0.452508743, 0.393803515, right, 2, 4, 2, 4.jpg, 2.jpg, 0.24857439997140318, 2, 0.24432205, 0.452508743, 0.406064085, 0.393803515,0,
10, test, 1, vibration off, 33, 3, 4, 3.jpg, 4.jpg, 0.401876712, 0.402704902, 0.401876712, right, 2, 3, 4, 3.jpg, 4.jpg, 0.26091459998860955, 2, 0.193554899, 0.458621481, 0.401876712, 0.402704902,1
10, test, 1, vibration off, 34, 1, 3, 1.jpg, 3.jpg, 0.204964705, 0.409321444, 0.409321444, left, 1, 3, 1, 3.jpg, 1.jpg, 0.24744580005062744, 2, 0.204964705, 0.43001655, 0.409321444, 0.416668377,0,
10, test, 1, vibration off, 35, 4, 3, 4.jpg, 3.jpg, 0.419699964, 0.424862287, 0.419699964, right, 2, 4, 3, 4.jpg, 3.jpg, 0.25598110002465546, 2, 0.22048214, 0.429045935, 0.424862287, 0.419699964,0,
10, test, 1, vibration off, 36, 3, 2, 3.jpg, 2.jpg, 0.423948221, 0.447650766, 0.423948221, right, 2, 3, 2, 3.jpg, 2.jpg, 0.04375820001587272, 2, 0.211101934, 0.447650766, 0.423948221, 0.428911523,0,
10, test, 1, vibration off, 37, 1, 3, 1.jpg, 3.jpg, 0.219326053, 0.43257228, 0.219326053, right, 2, 1, 3, 1.jpg, 3.jpg, 0.2467293000081554, 2, 0.219326053, 0.456165741, 0.43257228, 0.39910528,0,
10, test, 1, vibration off, 38, 4, 2, 4.jpg, 2.jpg, 0.390289699, 0.433155402, 0.390289699, right, 2, 4, 2, 4.jpg, 2.jpg, 0.2306273999856785, 2, 0.221341547, 0.433155402, 0.4363313, 0.390289699,1
10, test, 1, vibration off, 39, 1, 4, 1.jpg, 4.jpg, 0.214118114, 0.411267062, 0.214118114, right, 2, 1, 4, 1.jpg, 4.jpg, 0.24182609998388216, 2, 0.214118114, 0.447660961, 0.408906602, 0.411267062,0,
10, test, 1, vibration off, 40, 1, 4, 1.jpg, 4.jpg, 0.217505069, 0.401024283, 0.217505069, right, 2, 1, 4, 1.jpg, 4.jpg, 0.21797890000743791, 2, 0.217505069, 0.447456341, 0.40122215, 0.401024283,0,
10, test, 1, vibration off, 41, 3, 2, 3.jpg, 2.jpg, 0.382054645, 0.458162882, 0.458162882, left, 1, 2, 3, 2.jpg, 3.jpg, 0.38384349999250844, 2, 0.249081937, 0.458162882, 0.382054645, 0.370374616,1
10, test, 1, vibration off, 42, 2, 1, 2.jpg, 1.jpg, 0.480978505, 0.255981224, 0.480978505, right, 2, 2, 1, 2.jpg, 1.jpg, 0.8077664999873377, 2, 0.255981224, 0.480978505, 0.383924023, 0.368787043,1
10, test, 1, vibration off, 43, 3, 2, 3.jpg, 2.jpg, 0.401205729, 0.511556199, 0.401205729, right, 2, 3, 2, 3.jpg, 2.jpg, 0.6203244999633171, 2, 0.288213763, 0.511556199, 0.401205729, 0.38383929,0,
10, test, 1, vibration off, 44, 4, 2, 4.jpg, 2.jpg, 0.362927966, 0.530811847, 0.362927966, right, 2, 4, 2, 4.jpg, 2.jpg, 0.3447298000101, 2, 0.294374293, 0.530811847, 0.350203513, 0.362927966,0,
10, test, 1, vibration off, 45, 4, 3, 4.jpg, 3.jpg, 0.367033206, 0.336134109, 0.367033206, right, 2, 4, 3, 4.jpg, 3.jpg, 0.24146520002977923, 2, 0.308994906, 0.512913286, 0.336134109, 0.367033206,1
10, test, 1, vibration off, 46, 4, 1, 4.jpg, 1.jpg, 0.368488345, 0.289973458, 0.368488345, right, 2, 4, 1, 4.jpg, 1.jpg, 0.699932900024578, 2, 0.289973458, 0.533187647, 0.325220477, 0.368488345,1
10, test, 1, vibration off, 47, 2, 4, 2.jpg, 4.jpg, 0.537872242, 0.34679011, 0.537872242, right, 2, 2, 4, 2.jpg, 4.jpg, 0.1880020999815315, 2, 0.29306391, 0.537872242, 0.357892701, 0.34679011,0,
10, test, 1, vibration off, 48, 1, 4, 1.jpg, 4.jpg, 0.292135198, 0.356952705, 0.292135198, right, 2, 1, 4, 1.jpg, 4.jpg, 0.2438205999787897, 2, 0.292135198, 0.523160461, 0.408168742, 0.356952705,0,
10, test, 1, vibration off, 49, 1, 2, 1.jpg, 2.jpg, 0.293886334, 0.527646571, 0.293886334, right, 2, 1, 2, 1.jpg, 2.jpg, 0.11637689999770373, 2, 0.293886334, 0.527646571, 0.394241012, 0.356189797,1
10, test, 1, vibration off, 50, 4, 3, 4.jpg, 3.jpg, 0.348042517, 0.386662209, 0.386662209, left, 1, 3, 4, 3.jpg, 4.jpg, 0.680725899990648, 2, 0.304272396, 0.548355336, 0.386662209, 0.348042517,0,
10, practice, 2, vibration during choice, 1, 1, 3, 5.jpg, 7.jpg, 0.167787674, 0.584847675, 0.584847675, left, 1, 3, 1, 7.jpg, 5.jpg, 0.8691590999951586, 2, 0.167787674, 0.332201416, 0.584847675, 0.302670058,0,
10, practice, 2, vibration during choice, 2, 1, 3, 5.jpg, 7.jpg, 0.176264347, 0.582595424, 0.176264347, right, 2, 1, 3, 5.jpg, 7.jpg, 0.41745509998872876, 2, 0.176264347, 0.355471562, 0.582595424, 0.290755999,0,
10, practice, 2, vibration during choice, 3, 1, 4, 5.jpg, 8.jpg, 0.206677553, 0.275426328, 0.206677553, right, 2, 1, 4, 5.jpg, 8.jpg, 0.4129239000030793, 2, 0.206677553, 0.3490424, 0.578794293, 0.275426328,0,
10, practice, 2, vibration during choice, 4, 1, 3, 5.jpg, 7.jpg, 0.216551625, 0.569745321, 0.216551625, right, 2, 1, 3, 5.jpg, 7.jpg, 0.3297797000268474, 2, 0.216551625, 0.358181966, 0.569745321, 0.268568422,0,
10, practice, 2, vibration during choice, 5, 4, 1, 8.jpg, 5.jpg, 0.302042001, 0.21991786, 0.21991786, left, 1, 1, 4, 5.jpg, 8.jpg, 0.09261930000502616, 2, 0.21991786, 0.364707579, 0.582527891, 0.302042001,0,
10, test, 2, vibration during choice, 1, 2, 1, 6.jpg, 5.jpg, 0.332201416, 0.167787674, 0.332201416, right, 2, 2, 1, 6.jpg, 5.jpg, 1.359531500027515, 2, 0.167787674, 0.332201416, 0.584847675, 0.302670058,0,
10, test, 2, vibration during choice, 2, 3, 4, 7.jpg, 8.jpg, 0.582595424, 0.290755999, 0.582595424, right, 2, 3, 4, 7.jpg, 8.jpg, 0.42373320000479, 2, 0.176264347, 0.355471562, 0.582595424, 0.290755999,1
10, test, 2, vibration during choice, 3, 3, 4, 7.jpg, 8.jpg, 0.578794293, 0.275426328, 0.578794293, right, 2, 3, 4, 7.jpg, 8.jpg, 0.3306443000328727, 2, 0.206677553, 0.3490424, 0.578794293, 0.275426328,1
10, test, 2, vibration during choice, 4, 3, 4, 7.jpg, 8.jpg, 0.569745321, 0.268568422, 0.569745321, right, 2, 3, 4, 7.jpg, 8.jpg, 0.24704290000954643, 2, 0.216551625, 0.358181966, 0.569745321, 0.268568422,1
10, test, 2, vibration during choice, 5, 2, 1, 6.jpg, 5.jpg, 0.364707579, 0.21991786, 0.21991786, left, 1, 1, 2, 5.jpg, 6.jpg, 0.3994461999973282, 2, 0.21991786, 0.364707579, 0.582527891, 0.302042001,0,
10, test, 2, vibration during choice, 6, 1, 3, 5.jpg, 7.jpg, 0.209090036, 0.587455063, 0.209090036, right, 2, 1, 3, 5.jpg, 7.jpg, 0.3746169999940321, 2, 0.209090036, 0.3895513, 0.587455063, 0.336540119,0,
10, test, 2, vibration during choice, 7, 3, 2, 7.jpg, 6.jpg, 0.582464681, 0.39060737, 0.582464681, right, 2, 3, 2, 7.jpg, 6.jpg, 0.23480039997957647, 2, 0.215508938, 0.39060737, 0.582464681, 0.363378709,0,
10, test, 2, vibration during choice, 8, 4, 2, 8.jpg, 6.jpg, 0.369794555, 0.430440014, 0.369794555, right, 2, 4, 2, 8.jpg, 6.jpg, 0.18450110004050657, 2, 0.219868403, 0.430440014, 0.545053358, 0.369794555,1
10, test, 2, vibration during choice, 9, 1, 2, 5.jpg, 6.jpg, 0.223820368, 0.4539861, 0.4539861, left, 1, 2, 1, 6.jpg, 5.jpg, 0.23515739996219054, 2, 0.223820368, 0.4539861, 0.530883085, 0.365747455,1
10, test, 2, vibration during choice, 10, 3, 1, 7.jpg, 5.jpg, 0.507816291, 0.25320591, 0.25320591, left, 1, 1, 3, 5.jpg, 7.jpg, 0.23365500004729256, 2, 0.25320591, 0.485995524, 0.507816291, 0.36426522,0,
10, test, 2, vibration during choice, 11, 2, 4, 6.jpg, 8.jpg, 0.489357893, 0.378430477, 0.489357893, right, 2, 2, 4, 6.jpg, 8.jpg, 0.1945222999784164, 2, 0.272116099, 0.489357893, 0.494989907, 0.378430477,0,
10, test, 2, vibration during choice, 12, 4, 3, 8.jpg, 7.jpg, 0.406276663, 0.446302549, 0.406276663, right, 2, 4, 3, 8.jpg, 7.jpg, 0.622801499965135, 2, 0.234286576, 0.484630844, 0.446302549, 0.406276663,0,
10, test, 2, vibration during choice, 13, 4, 3, 8.jpg, 7.jpg, 0.408056555, 0.441292304, 0.441292304, left, 1, 3, 4, 7.jpg, 8.jpg, 0.25361750001320615, 2, 0.209829698, 0.493007884, 0.441292304, 0.408056555,1
10, test, 2, vibration during choice, 14, 2, 1, 6.jpg, 5.jpg, 0.496165246, 0.194746258, 0.496165246, right, 2, 2, 1, 6.jpg, 5.jpg, 0.2596831999835558, 2, 0.194746258, 0.496165246, 0.424090899, 0.411853134,1
10, test, 2, vibration during choice, 15, 2, 4, 6.jpg, 8.jpg, 0.498060855, 0.425420016, 0.498060855, right, 2, 2, 4, 6.jpg, 8.jpg, 0.5312567999935709, 2, 0.254919143, 0.498060855, 0.410741903, 0.425420016,0,
10, test, 2, vibration during choice, 16, 2, 4, 6.jpg, 8.jpg, 0.473753497, 0.434571537, 0.434571537, left, 1, 4, 2, 8.jpg, 6.jpg, 0.29756400000769645, 2, 0.268446939, 0.473753497, 0.384469806, 0.434571537,1
10, test, 2, vibration during choice, 17, 4, 3, 8.jpg, 7.jpg, 0.467037886, 0.397409959, 0.467037886, right, 2, 4, 3, 8.jpg, 7.jpg, 0.4529558000504039, 2, 0.260713561, 0.427927548, 0.397409959, 0.467037886,1
10, test, 2, vibration during choice, 18, 2, 4, 6.jpg, 8.jpg, 0.42862063, 0.458160423, 0.42862063, right, 2, 2, 4, 6.jpg, 8.jpg, 0.1971997999935411, 2, 0.273570125, 0.42862063, 0.380302803, 0.458160423,1
10, test, 2, vibration during choice, 19, 3, 2, 7.jpg, 6.jpg, 0.39026973, 0.435371131, 0.435371131, left, 1, 2, 3, 6.jpg, 7.jpg, 0.2231807999778539, 2, 0.269452755, 0.435371131, 0.39026973, 0.413401572,0,
10, test, 2, vibration during choice, 20, 2, 3, 6.jpg, 7.jpg, 0.425551488, 0.408454439, 0.425551488, right, 2, 2, 3, 6.jpg, 7.jpg, 0.35338549996959046, 2, 0.268741649, 0.425551488, 0.408454439, 0.410963982,1
10, test, 2, vibration during choice, 21, 2, 3, 6.jpg, 7.jpg, 0.44190032, 0.404768464, 0.44190032, right, 2, 2, 3, 6.jpg, 7.jpg, 0.2307388000190258, 2, 0.289598518, 0.44190032, 0.404768464, 0.423231262,0,
10, test, 2, vibration during choice, 22, 3, 4, 7.jpg, 8.jpg, 0.422610309, 0.389718337, 0.422610309, right, 2, 3, 4, 7.jpg, 8.jpg, 0.23967239999910817, 2, 0.299460569, 0.419525056, 0.422610309, 0.389718337,0,
10, test, 2, vibration during choice, 23, 4, 2, 8.jpg, 6.jpg, 0.39059245, 0.397611772, 0.39059245, right, 2, 4, 2, 8.jpg, 6.jpg, 0.2420999999740161, 2, 0.275422902, 0.397611772, 0.408863932, 0.39059245,1
10, test, 2, vibration during choice, 24, 2, 1, 6.jpg, 5.jpg, 0.379139537, 0.266650787, 0.379139537, right, 2, 2, 1, 6.jpg, 5.jpg, 0.2503858000272885, 2, 0.266650787, 0.379139537, 0.405854252, 0.398445672,0,
10, test, 2, vibration during choice, 25, 1, 4, 5.jpg, 8.jpg, 0.254259812, 0.3844496, 0.3844496, left, 1, 4, 1, 8.jpg, 5.jpg, 0.5187618000200018, 2, 0.254259812, 0.383103254, 0.425425396, 0.3844496,1
10, test, 2, vibration during choice, 26, 2, 4, 6.jpg, 8.jpg, 0.426705428, 0.389570929, 0.426705428, right, 2, 2, 4, 6.jpg, 8.jpg, 0.03922720003174618, 2, 0.251503025, 0.426705428, 0.44409494, 0.389570929,0,
10, test, 2, vibration during choice, 27, 3, 4, 7.jpg, 8.jpg, 0.476699219, 0.351861927, 0.476699219, right, 2, 3, 4, 7.jpg, 8.jpg, 0.2643044000142254, 2, 0.260664603, 0.434578853, 0.476699219, 0.351861927,0,
10, test, 2, vibration during choice, 28, 2, 1, 6.jpg, 5.jpg, 0.456535155, 0.254900351, 0.456535155, right, 2, 2, 1, 6.jpg, 5.jpg, 0.39948120003100485, 2, 0.254900351, 0.456535155, 0.471375184, 0.358204472,0,
10, test, 2, vibration during choice, 29, 3, 1, 7.jpg, 5.jpg, 0.45401501, 0.270226286, 0.45401501, right, 2, 3, 1, 7.jpg, 5.jpg, 0.1661778999841772, 2, 0.270226286, 0.431125609, 0.45401501, 0.360838495,1
10, test, 2, vibration during choice, 30, 2, 1, 6.jpg, 5.jpg, 0.434793002, 0.231605059, 0.434793002, right, 2, 2, 1, 6.jpg, 5.jpg, 0.2004642000538297, 2, 0.231605059, 0.434793002, 0.441888062, 0.36725969,0,
10, test, 2, vibration during choice, 31, 1, 3, 5.jpg, 7.jpg, 0.233739069, 0.456731037, 0.456731037, left, 1, 3, 1, 7.jpg, 5.jpg, 0.2270480000297539, 2, 0.233739069, 0.473135831, 0.456731037, 0.401609609,1
10, test, 2, vibration during choice, 32, 3, 1, 7.jpg, 5.jpg, 0.406064085, 0.24432205, 0.406064085, right, 2, 3, 1, 7.jpg, 5.jpg, 0.22879580000881106, 2, 0.24432205, 0.452508743, 0.406064085, 0.393803515,0,
10, test, 2, vibration during choice, 33, 1, 3, 5.jpg, 7.jpg, 0.193554899, 0.401876712, 0.193554899, right, 2, 1, 3, 5.jpg, 7.jpg, 0.2951525999815203, 2, 0.193554899, 0.458621481, 0.401876712, 0.402704902,0,
10, test, 2, vibration during choice, 34, 2, 1, 6.jpg, 5.jpg, 0.43001655, 0.204964705, 0.43001655, right, 2, 2, 1, 6.jpg, 5.jpg, 0.19014040002366528, 2, 0.204964705, 0.43001655, 0.409321444, 0.416668377,1
10, test, 2, vibration during choice, 35, 2, 1, 6.jpg, 5.jpg, 0.429045935, 0.22048214, 0.22048214, left, 1, 1, 2, 5.jpg, 6.jpg, 0.27537109999684617, 2, 0.22048214, 0.429045935, 0.424862287, 0.419699964,0,
10, test, 2, vibration during choice, 36, 1, 4, 5.jpg, 8.jpg, 0.211101934, 0.428911523, 0.211101934, right, 2, 1, 4, 5.jpg, 8.jpg, 0.11480629997095093, 2, 0.211101934, 0.447650766, 0.423948221, 0.428911523,1
10, test, 2, vibration during choice, 37, 1, 4, 5.jpg, 8.jpg, 0.219326053, 0.39910528, 0.219326053, right, 2, 1, 4, 5.jpg, 8.jpg, 0.27738660003524274, 2, 0.219326053, 0.456165741, 0.43257228, 0.39910528,0,
10, test, 2, vibration during choice, 38, 1, 2, 5.jpg, 6.jpg, 0.221341547, 0.433155402, 0.433155402, left, 1, 2, 1, 6.jpg, 5.jpg, 0.08902070001931861, 2, 0.221341547, 0.433155402, 0.4363313, 0.390289699,0,
10, test, 2, vibration during choice, 39, 4, 3, 8.jpg, 7.jpg, 0.411267062, 0.408906602, 0.411267062, right, 2, 4, 3, 8.jpg, 7.jpg, 0.2635141999926418, 2, 0.214118114, 0.447660961, 0.408906602, 0.411267062,1
10, test, 2, vibration during choice, 40, 2, 3, 6.jpg, 7.jpg, 0.447456341, 0.40122215, 0.447456341, right, 2, 2, 3, 6.jpg, 7.jpg, 0.28194820001954213, 2, 0.217505069, 0.447456341, 0.40122215, 0.401024283,0,
10, test, 2, vibration during choice, 41, 2, 1, 6.jpg, 5.jpg, 0.458162882, 0.249081937, 0.249081937, left, 1, 1, 2, 5.jpg, 6.jpg, 0.2192943999543786, 2, 0.249081937, 0.458162882, 0.382054645, 0.370374616,0,
10, test, 2, vibration during choice, 42, 3, 1, 7.jpg, 5.jpg, 0.383924023, 0.255981224, 0.383924023, right, 2, 3, 1, 7.jpg, 5.jpg, 0.33676470001228154, 2, 0.255981224, 0.480978505, 0.383924023, 0.368787043,0,
10, test, 2, vibration during choice, 43, 2, 3, 6.jpg, 7.jpg, 0.511556199, 0.401205729, 0.511556199, right, 2, 2, 3, 6.jpg, 7.jpg, 0.2655969000188634, 2, 0.288213763, 0.511556199, 0.401205729, 0.38383929,0,
10, test, 2, vibration during choice, 44, 4, 1, 8.jpg, 5.jpg, 0.362927966, 0.294374293, 0.362927966, right, 2, 4, 1, 8.jpg, 5.jpg, 0.39569410000694916, 2, 0.294374293, 0.530811847, 0.350203513, 0.362927966,0,
10, test, 2, vibration during choice, 45, 4, 2, 8.jpg, 6.jpg, 0.367033206, 0.512913286, 0.367033206, right, 2, 4, 2, 8.jpg, 6.jpg, 0.3538313999888487, 2, 0.308994906, 0.512913286, 0.336134109, 0.367033206,0,
10, test, 2, vibration during choice, 46, 3, 4, 7.jpg, 8.jpg, 0.325220477, 0.368488345, 0.325220477, right, 2, 3, 4, 7.jpg, 8.jpg, 0.7383550999802537, 2, 0.289973458, 0.533187647, 0.325220477, 0.368488345,0,
10, test, 2, vibration during choice, 47, 1, 3, 5.jpg, 7.jpg, 0.29306391, 0.357892701, 0.29306391, right, 2, 1, 3, 5.jpg, 7.jpg, 0.42789960000663996, 2, 0.29306391, 0.537872242, 0.357892701, 0.34679011,0,
10, test, 2, vibration during choice, 48, 1, 2, 5.jpg, 6.jpg, 0.292135198, 0.523160461, 0.292135198, right, 2, 1, 2, 5.jpg, 6.jpg, 0.30271319998428226, 2, 0.292135198, 0.523160461, 0.408168742, 0.356952705,1
10, test, 2, vibration during choice, 49, 3, 2, 7.jpg, 6.jpg, 0.394241012, 0.527646571, 0.394241012, right, 2, 3, 2, 7.jpg, 6.jpg, 0.2503154000150971, 2, 0.293886334, 0.527646571, 0.394241012, 0.356189797,0,
10, test, 2, vibration during choice, 50, 1, 2, 5.jpg, 6.jpg, 0.304272396, 0.548355336, 0.548355336, left, 1, 2, 1, 6.jpg, 5.jpg, 0.16862950002541766, 2, 0.304272396, 0.548355336, 0.386662209, 0.348042517,1
