subject, block_type, block, condition, trial, right_offer, left_offer, offer_right_image, offer_left_image, exp_value_right, exp_value_left, exp_value_chosen, choice_location, choice_key, choice_card, unchosen_card, chosen_card_image, unchosen_card_image, rt, randomwalk_counter, exp_value1, exp_value2, exp_value3, exp_value4, reward
3, practice, 1, vibration during outcome, 1, 3, 1, 7.jpg, 5.jpg, 0.584847675, 0.167787674, 0.584847675, right, 2, 3, 1, 7.jpg, 5.jpg, 2.0742783000459895, 2, 0.167787674, 0.332201416, 0.584847675, 0.302670058,1
3, practice, 1, vibration during outcome, 2, 2, 3, 6.jpg, 7.jpg, 0.355471562, 0.582595424, 0.582595424, left, 1, 3, 2, 7.jpg, 6.jpg, 2.291302499943413, 2, 0.176264347, 0.355471562, 0.582595424, 0.290755999,1
3, practice, 1, vibration during outcome, 3, 1, 3, 5.jpg, 7.jpg, 0.206677553, 0.578794293, 0.578794293, left, 1, 3, 1, 7.jpg, 5.jpg, 1.6967646999983117, 2, 0.206677553, 0.3490424, 0.578794293, 0.275426328,1
3, practice, 1, vibration during outcome, 4, 2, 3, 6.jpg, 7.jpg, 0.358181966, 0.569745321, 0.569745321, left, 1, 3, 2, 7.jpg, 6.jpg, 0.6427308999700472, 2, 0.216551625, 0.358181966, 0.569745321, 0.268568422,1
3, practice, 1, vibration during outcome, 5, 3, 2, 7.jpg, 6.jpg, 0.582527891, 0.364707579, 0.582527891, right, 2, 3, 2, 7.jpg, 6.jpg, 0.5813701000297442, 2, 0.21991786, 0.364707579, 0.582527891, 0.302042001,1
3, test, 1, vibration during outcome, 1, 2, 1, 6.jpg, 5.jpg, 0.332201416, 0.167787674, 0.332201416, right, 2, 2, 1, 6.jpg, 5.jpg, 1.4042364000342786, 2, 0.167787674, 0.332201416, 0.584847675, 0.302670058,1
3, test, 1, vibration during outcome, 2, 1, 3, 5.jpg, 7.jpg, 0.176264347, 0.582595424, 0.582595424, left, 1, 3, 1, 7.jpg, 5.jpg, 1.6613430000143126, 2, 0.176264347, 0.355471562, 0.582595424, 0.290755999,1
3, test, 1, vibration during outcome, 3, 1, 3, 5.jpg, 7.jpg, 0.206677553, 0.578794293, 0.578794293, left, 1, 3, 1, 7.jpg, 5.jpg, 0.71266389999073, 2, 0.206677553, 0.3490424, 0.578794293, 0.275426328,0,
3, test, 1, vibration during outcome, 4, 3, 4, 7.jpg, 8.jpg, 0.569745321, 0.268568422, 0.569745321, right, 2, 3, 4, 7.jpg, 8.jpg, 0.6564426000695676, 2, 0.216551625, 0.358181966, 0.569745321, 0.268568422,0,
3, test, 1, vibration during outcome, 5, 4, 3, 8.jpg, 7.jpg, 0.302042001, 0.582527891, 0.582527891, left, 1, 3, 4, 7.jpg, 8.jpg, 0.7752576000057161, 2, 0.21991786, 0.364707579, 0.582527891, 0.302042001,0,
3, test, 1, vibration during outcome, 6, 2, 1, 6.jpg, 5.jpg, 0.3895513, 0.209090036, 0.3895513, right, 2, 2, 1, 6.jpg, 5.jpg, 1.0853218999691308, 2, 0.209090036, 0.3895513, 0.587455063, 0.336540119,0,
3, test, 1, vibration during outcome, 7, 3, 2, 7.jpg, 6.jpg, 0.582464681, 0.39060737, 0.582464681, right, 2, 3, 2, 7.jpg, 6.jpg, 0.6473580999299884, 2, 0.215508938, 0.39060737, 0.582464681, 0.363378709,1
3, test, 1, vibration during outcome, 8, 4, 1, 8.jpg, 5.jpg, 0.369794555, 0.219868403, 0.219868403, left, 1, 1, 4, 5.jpg, 8.jpg, 1.5122347000287846, 2, 0.219868403, 0.430440014, 0.545053358, 0.369794555,0,
3, test, 1, vibration during outcome, 9, 3, 2, 7.jpg, 6.jpg, 0.530883085, 0.4539861, 0.530883085, right, 2, 3, 2, 7.jpg, 6.jpg, 0.6491306000389159, 2, 0.223820368, 0.4539861, 0.530883085, 0.365747455,1
3, test, 1, vibration during outcome, 10, 4, 1, 8.jpg, 5.jpg, 0.36426522, 0.25320591, 0.25320591, left, 1, 1, 4, 5.jpg, 8.jpg, 2.0230099000036716, 2, 0.25320591, 0.485995524, 0.507816291, 0.36426522,0,
3, test, 1, vibration during outcome, 11, 4, 3, 8.jpg, 7.jpg, 0.378430477, 0.494989907, 0.378430477, right, 2, 4, 3, 8.jpg, 7.jpg, 0.9808493000455201, 2, 0.272116099, 0.489357893, 0.494989907, 0.378430477,0,
3, test, 1, vibration during outcome, 12, 2, 3, 6.jpg, 7.jpg, 0.484630844, 0.446302549, 0.446302549, left, 1, 3, 2, 7.jpg, 6.jpg, 0.5935524000087753, 2, 0.234286576, 0.484630844, 0.446302549, 0.406276663,1
3, test, 1, vibration during outcome, 13, 2, 3, 6.jpg, 7.jpg, 0.493007884, 0.441292304, 0.441292304, left, 1, 3, 2, 7.jpg, 6.jpg, 0.6075191999552771, 2, 0.209829698, 0.493007884, 0.441292304, 0.408056555,0,
3, test, 1, vibration during outcome, 14, 1, 2, 5.jpg, 6.jpg, 0.194746258, 0.496165246, 0.496165246, left, 1, 2, 1, 6.jpg, 5.jpg, 2.115574400057085, 2, 0.194746258, 0.496165246, 0.424090899, 0.411853134,0,
3, test, 1, vibration during outcome, 15, 1, 2, 5.jpg, 6.jpg, 0.254919143, 0.498060855, 0.254919143, right, 2, 1, 2, 5.jpg, 6.jpg, 2.0123927000677213, 2, 0.254919143, 0.498060855, 0.410741903, 0.425420016,0,
3, test, 1, vibration during outcome, 16, 3, 4, 7.jpg, 8.jpg, 0.384469806, 0.434571537, 0.384469806, right, 2, 3, 4, 7.jpg, 8.jpg, 1.0372078999644145, 2, 0.268446939, 0.473753497, 0.384469806, 0.434571537,1
3, test, 1, vibration during outcome, 17, 3, 4, 7.jpg, 8.jpg, 0.397409959, 0.467037886, 0.397409959, right, 2, 3, 4, 7.jpg, 8.jpg, 0.6402584000024945, 2, 0.260713561, 0.427927548, 0.397409959, 0.467037886,1
3, test, 1, vibration during outcome, 18, 2, 4, 6.jpg, 8.jpg, 0.42862063, 0.458160423, 0.458160423, left, 1, 4, 2, 8.jpg, 6.jpg, 2.5328253000043333, 2, 0.273570125, 0.42862063, 0.380302803, 0.458160423,0,
3, test, 1, vibration during outcome, 19, 1, 4, 5.jpg, 8.jpg, 0.269452755, 0.413401572, 0.413401572, left, 1, 4, 1, 8.jpg, 5.jpg, 1.4982692999765277, 2, 0.269452755, 0.435371131, 0.39026973, 0.413401572,1
