subject, block_type, block, condition, trial, right_offer, left_offer, offer_right_image, offer_left_image, exp_value_right, exp_value_left, exp_value_chosen, choice_location, choice_key, choice_card, unchosen_card, chosen_card_image, unchosen_card_image, rt, randomwalk_counter, exp_value1, exp_value2, exp_value3, exp_value4, reward
34, practice, 1, vibration off, 1, 2, 1, 10.jpg, 9.jpg, 0.332201416, 0.167787674, 0.167787674, left, 1, 1, 2, 9.jpg, 10.jpg, 1.5368264999706298, 2, 0.167787674, 0.332201416, 0.584847675, 0.302670058,0,
34, practice, 1, vibration off, 2, 2, 3, 10.jpg, 11.jpg, 0.355471562, 0.582595424, 0.355471562, right, 2, 2, 3, 10.jpg, 11.jpg, 1.4725325000472367, 2, 0.176264347, 0.355471562, 0.582595424, 0.290755999,1
34, practice, 1, vibration off, 3, 1, 3, 9.jpg, 11.jpg, 0.206677553, 0.578794293, 0.578794293, left, 1, 3, 1, 11.jpg, 9.jpg, 1.2439093999564648, 2, 0.206677553, 0.3490424, 0.578794293, 0.275426328,0,
34, practice, 1, vibration off, 4, 3, 1, 11.jpg, 9.jpg, 0.569745321, 0.216551625, 0.216551625, left, 1, 1, 3, 9.jpg, 11.jpg, 3.3042797999223694, 2, 0.216551625, 0.358181966, 0.569745321, 0.268568422,0,
34, practice, 1, vibration off, 5, 4, 1, 12.jpg, 9.jpg, 0.302042001, 0.21991786, 0.302042001, right, 2, 4, 1, 12.jpg, 9.jpg, 1.4019391000038013, 2, 0.21991786, 0.364707579, 0.582527891, 0.302042001,0,
34, test, 1, vibration off, 1, 4, 1, 12.jpg, 9.jpg, 0.302670058, 0.167787674, 0.302670058, right, 2, 4, 1, 12.jpg, 9.jpg, 2.8903638999909163, 2, 0.167787674, 0.332201416, 0.584847675, 0.302670058,0,
34, test, 1, vibration off, 2, 2, 4, 10.jpg, 12.jpg, 0.355471562, 0.290755999, 0.355471562, right, 2, 2, 4, 10.jpg, 12.jpg, 2.015112599940039, 2, 0.176264347, 0.355471562, 0.582595424, 0.290755999,0,
34, test, 1, vibration off, 3, 2, 1, 10.jpg, 9.jpg, 0.3490424, 0.206677553, 0.206677553, left, 1, 1, 2, 9.jpg, 10.jpg, 2.148501200019382, 2, 0.206677553, 0.3490424, 0.578794293, 0.275426328,1
34, test, 1, vibration off, 4, 4, 3, 12.jpg, 11.jpg, 0.268568422, 0.569745321, 0.569745321, left, 1, 3, 4, 11.jpg, 12.jpg, 2.614927600021474, 2, 0.216551625, 0.358181966, 0.569745321, 0.268568422,1
34, test, 1, vibration off, 5, 4, 3, 12.jpg, 11.jpg, 0.302042001, 0.582527891, 0.582527891, left, 1, 3, 4, 11.jpg, 12.jpg, 1.7302388000534847, 2, 0.21991786, 0.364707579, 0.582527891, 0.302042001,0,
34, test, 1, vibration off, 6, 1, 4, 9.jpg, 12.jpg, 0.209090036, 0.336540119, 0.209090036, right, 2, 1, 4, 9.jpg, 12.jpg, 3.6992470000404865, 2, 0.209090036, 0.3895513, 0.587455063, 0.336540119,0,
34, test, 1, vibration off, 7, 4, 2, 12.jpg, 10.jpg, 0.363378709, 0.39060737, 0.363378709, right, 2, 4, 2, 12.jpg, 10.jpg, 2.070643200073391, 2, 0.215508938, 0.39060737, 0.582464681, 0.363378709,1
34, test, 1, vibration off, 8, 1, 3, 9.jpg, 11.jpg, 0.219868403, 0.545053358, 0.545053358, left, 1, 3, 1, 11.jpg, 9.jpg, 2.8918204000219703, 2, 0.219868403, 0.430440014, 0.545053358, 0.369794555,1
34, test, 1, vibration off, 9, 3, 4, 11.jpg, 12.jpg, 0.530883085, 0.365747455, 0.530883085, right, 2, 3, 4, 11.jpg, 12.jpg, 2.125322900013998, 2, 0.223820368, 0.4539861, 0.530883085, 0.365747455,1
34, test, 1, vibration off, 10, 1, 4, 9.jpg, 12.jpg, 0.25320591, 0.36426522, 0.25320591, right, 2, 1, 4, 9.jpg, 12.jpg, 2.2562046999810264, 2, 0.25320591, 0.485995524, 0.507816291, 0.36426522,1
34, test, 1, vibration off, 11, 3, 1, 11.jpg, 9.jpg, 0.494989907, 0.272116099, 0.272116099, left, 1, 1, 3, 9.jpg, 11.jpg, 2.0744833999779075, 2, 0.272116099, 0.489357893, 0.494989907, 0.378430477,0,
34, test, 1, vibration off, 12, 4, 2, 12.jpg, 10.jpg, 0.406276663, 0.484630844, 0.484630844, left, 1, 2, 4, 10.jpg, 12.jpg, 3.3325798000441864, 2, 0.234286576, 0.484630844, 0.446302549, 0.406276663,1
34, test, 1, vibration off, 13, 3, 4, 11.jpg, 12.jpg, 0.441292304, 0.408056555, 0.441292304, right, 2, 3, 4, 11.jpg, 12.jpg, 1.3988955999957398, 2, 0.209829698, 0.493007884, 0.441292304, 0.408056555,0,
34, test, 1, vibration off, 14, 1, 3, 9.jpg, 11.jpg, 0.194746258, 0.424090899, 0.424090899, left, 1, 3, 1, 11.jpg, 9.jpg, 1.7210048000561073, 2, 0.194746258, 0.496165246, 0.424090899, 0.411853134,0,
34, test, 1, vibration off, 15, 2, 4, 10.jpg, 12.jpg, 0.498060855, 0.425420016, 0.498060855, right, 2, 2, 4, 10.jpg, 12.jpg, 1.318717799964361, 2, 0.254919143, 0.498060855, 0.410741903, 0.425420016,0,
34, test, 1, vibration off, 16, 3, 1, 11.jpg, 9.jpg, 0.384469806, 0.268446939, 0.268446939, left, 1, 1, 3, 9.jpg, 11.jpg, 2.8571434000041336, 2, 0.268446939, 0.473753497, 0.384469806, 0.434571537,0,
34, test, 1, vibration off, 17, 1, 4, 9.jpg, 12.jpg, 0.260713561, 0.467037886, 0.260713561, right, 2, 1, 4, 9.jpg, 12.jpg, 1.9638737000059336, 2, 0.260713561, 0.427927548, 0.397409959, 0.467037886,0,
34, test, 1, vibration off, 18, 3, 4, 11.jpg, 12.jpg, 0.380302803, 0.458160423, 0.380302803, right, 2, 3, 4, 11.jpg, 12.jpg, 0.9680789000121877, 2, 0.273570125, 0.42862063, 0.380302803, 0.458160423,1
34, test, 1, vibration off, 19, 2, 4, 10.jpg, 12.jpg, 0.435371131, 0.413401572, 0.413401572, left, 1, 4, 2, 12.jpg, 10.jpg, 3.3638922000536695, 2, 0.269452755, 0.435371131, 0.39026973, 0.413401572,1
34, test, 1, vibration off, 20, 4, 2, 12.jpg, 10.jpg, 0.410963982, 0.425551488, 0.425551488, left, 1, 2, 4, 10.jpg, 12.jpg, 2.118472100002691, 2, 0.268741649, 0.425551488, 0.408454439, 0.410963982,0,
34, test, 1, vibration off, 21, 2, 3, 10.jpg, 11.jpg, 0.44190032, 0.404768464, 0.404768464, left, 1, 3, 2, 11.jpg, 10.jpg, 2.4941565999761224, 2, 0.289598518, 0.44190032, 0.404768464, 0.423231262,1
34, test, 1, vibration off, 22, 1, 2, 9.jpg, 10.jpg, 0.299460569, 0.419525056, 0.419525056, left, 1, 2, 1, 10.jpg, 9.jpg, 3.207166999927722, 2, 0.299460569, 0.419525056, 0.422610309, 0.389718337,0,
34, test, 1, vibration off, 23, 1, 3, 9.jpg, 11.jpg, 0.275422902, 0.408863932, 0.275422902, right, 2, 1, 3, 9.jpg, 11.jpg, 1.2181636000750586, 2, 0.275422902, 0.397611772, 0.408863932, 0.39059245,1
34, test, 1, vibration off, 24, 1, 3, 9.jpg, 11.jpg, 0.266650787, 0.405854252, 0.266650787, right, 2, 1, 3, 9.jpg, 11.jpg, 0.7494080999167636, 2, 0.266650787, 0.379139537, 0.405854252, 0.398445672,0,
34, test, 1, vibration off, 25, 2, 3, 10.jpg, 11.jpg, 0.383103254, 0.425425396, 0.425425396, left, 1, 3, 2, 11.jpg, 10.jpg, 5.563508699997328, 2, 0.254259812, 0.383103254, 0.425425396, 0.3844496,0,
34, test, 1, vibration off, 26, 1, 2, 9.jpg, 10.jpg, 0.251503025, 0.426705428, 0.426705428, left, 1, 2, 1, 10.jpg, 9.jpg, 2.4593990999273956, 2, 0.251503025, 0.426705428, 0.44409494, 0.389570929,0,
34, test, 1, vibration off, 27, 3, 1, 11.jpg, 9.jpg, 0.476699219, 0.260664603, 0.476699219, right, 2, 3, 1, 11.jpg, 9.jpg, 2.3041925999568775, 2, 0.260664603, 0.434578853, 0.476699219, 0.351861927,0,
34, test, 1, vibration off, 28, 1, 2, 9.jpg, 10.jpg, 0.254900351, 0.456535155, 0.254900351, right, 2, 1, 2, 9.jpg, 10.jpg, 1.1970426000189036, 2, 0.254900351, 0.456535155, 0.471375184, 0.358204472,0,
34, test, 1, vibration off, 29, 2, 1, 10.jpg, 9.jpg, 0.431125609, 0.270226286, 0.431125609, right, 2, 2, 1, 10.jpg, 9.jpg, 4.0659316999372095, 2, 0.270226286, 0.431125609, 0.45401501, 0.360838495,0,
34, test, 1, vibration off, 30, 1, 4, 9.jpg, 12.jpg, 0.231605059, 0.36725969, 0.36725969, left, 1, 4, 1, 12.jpg, 9.jpg, 1.9833068000152707, 2, 0.231605059, 0.434793002, 0.441888062, 0.36725969,0,
34, test, 1, vibration off, 31, 1, 3, 9.jpg, 11.jpg, 0.233739069, 0.456731037, 0.456731037, left, 1, 3, 1, 11.jpg, 9.jpg, 1.0240306000923738, 2, 0.233739069, 0.473135831, 0.456731037, 0.401609609,1
34, test, 1, vibration off, 32, 4, 2, 12.jpg, 10.jpg, 0.393803515, 0.452508743, 0.393803515, right, 2, 4, 2, 12.jpg, 10.jpg, 1.0875992000801489, 2, 0.24432205, 0.452508743, 0.406064085, 0.393803515,0,
34, test, 1, vibration off, 33, 1, 4, 9.jpg, 12.jpg, 0.193554899, 0.402704902, 0.193554899, right, 2, 1, 4, 9.jpg, 12.jpg, 1.1107878000475466, 2, 0.193554899, 0.458621481, 0.401876712, 0.402704902,0,
34, test, 1, vibration off, 34, 3, 4, 11.jpg, 12.jpg, 0.409321444, 0.416668377, 0.409321444, right, 2, 3, 4, 11.jpg, 12.jpg, 1.3262323000235483, 2, 0.204964705, 0.43001655, 0.409321444, 0.416668377,1
34, test, 1, vibration off, 35, 3, 4, 11.jpg, 12.jpg, 0.424862287, 0.419699964, 0.424862287, right, 2, 3, 4, 11.jpg, 12.jpg, 0.7726413999916986, 2, 0.22048214, 0.429045935, 0.424862287, 0.419699964,0,
34, test, 1, vibration off, 36, 3, 1, 11.jpg, 9.jpg, 0.423948221, 0.211101934, 0.423948221, right, 2, 3, 1, 11.jpg, 9.jpg, 1.9843163000186905, 2, 0.211101934, 0.447650766, 0.423948221, 0.428911523,1
34, test, 1, vibration off, 37, 3, 2, 11.jpg, 10.jpg, 0.43257228, 0.456165741, 0.43257228, right, 2, 3, 2, 11.jpg, 10.jpg, 0.5551516999257728, 2, 0.219326053, 0.456165741, 0.43257228, 0.39910528,0,
34, test, 1, vibration off, 38, 3, 4, 11.jpg, 12.jpg, 0.4363313, 0.390289699, 0.4363313, right, 2, 3, 4, 11.jpg, 12.jpg, 1.6311636999016628, 2, 0.221341547, 0.433155402, 0.4363313, 0.390289699,1
34, test, 1, vibration off, 39, 1, 3, 9.jpg, 11.jpg, 0.214118114, 0.408906602, 0.408906602, left, 1, 3, 1, 11.jpg, 9.jpg, 0.7600247000809759, 2, 0.214118114, 0.447660961, 0.408906602, 0.411267062,1
34, test, 1, vibration off, 40, 3, 4, 11.jpg, 12.jpg, 0.40122215, 0.401024283, 0.40122215, right, 2, 3, 4, 11.jpg, 12.jpg, 0.6281391000375152, 2, 0.217505069, 0.447456341, 0.40122215, 0.401024283,0,
34, test, 1, vibration off, 41, 2, 1, 10.jpg, 9.jpg, 0.458162882, 0.249081937, 0.458162882, right, 2, 2, 1, 10.jpg, 9.jpg, 3.3157847999827936, 2, 0.249081937, 0.458162882, 0.382054645, 0.370374616,0,
34, test, 1, vibration off, 42, 2, 4, 10.jpg, 12.jpg, 0.480978505, 0.368787043, 0.368787043, left, 1, 4, 2, 12.jpg, 10.jpg, 1.1506751999258995, 2, 0.255981224, 0.480978505, 0.383924023, 0.368787043,0,
34, test, 1, vibration off, 43, 2, 4, 10.jpg, 12.jpg, 0.511556199, 0.38383929, 0.511556199, right, 2, 2, 4, 10.jpg, 12.jpg, 1.1304471999173984, 2, 0.288213763, 0.511556199, 0.401205729, 0.38383929,1
34, test, 1, vibration off, 44, 4, 3, 12.jpg, 11.jpg, 0.362927966, 0.350203513, 0.350203513, left, 1, 3, 4, 11.jpg, 12.jpg, 0.9804860000731423, 2, 0.294374293, 0.530811847, 0.350203513, 0.362927966,1
34, test, 1, vibration off, 45, 1, 4, 9.jpg, 12.jpg, 0.308994906, 0.367033206, 0.308994906, right, 2, 1, 4, 9.jpg, 12.jpg, 2.0718372999690473, 2, 0.308994906, 0.512913286, 0.336134109, 0.367033206,0,
34, test, 1, vibration off, 46, 3, 1, 11.jpg, 9.jpg, 0.325220477, 0.289973458, 0.325220477, right, 2, 3, 1, 11.jpg, 9.jpg, 0.6514166999841109, 2, 0.289973458, 0.533187647, 0.325220477, 0.368488345,0,
34, test, 1, vibration off, 47, 3, 2, 11.jpg, 10.jpg, 0.357892701, 0.537872242, 0.357892701, right, 2, 3, 2, 11.jpg, 10.jpg, 0.5085190999088809, 2, 0.29306391, 0.537872242, 0.357892701, 0.34679011,0,
34, test, 1, vibration off, 48, 2, 4, 10.jpg, 12.jpg, 0.523160461, 0.356952705, 0.356952705, left, 1, 4, 2, 12.jpg, 10.jpg, 1.1991645999951288, 2, 0.292135198, 0.523160461, 0.408168742, 0.356952705,0,
34, test, 1, vibration off, 49, 3, 2, 11.jpg, 10.jpg, 0.394241012, 0.527646571, 0.394241012, right, 2, 3, 2, 11.jpg, 10.jpg, 0.7414817999815568, 2, 0.293886334, 0.527646571, 0.394241012, 0.356189797,0,
34, test, 1, vibration off, 50, 1, 3, 9.jpg, 11.jpg, 0.304272396, 0.386662209, 0.304272396, right, 2, 1, 3, 9.jpg, 11.jpg, 0.7124853000277653, 2, 0.304272396, 0.548355336, 0.386662209, 0.348042517,0,
34, practice, 2, vibration during choice, 1, 1, 3, 1.jpg, 3.jpg, 0.167787674, 0.584847675, 0.167787674, right, 2, 1, 3, 1.jpg, 3.jpg, 2.9574456999544054, 2, 0.167787674, 0.332201416, 0.584847675, 0.302670058,0,
34, practice, 2, vibration during choice, 2, 3, 4, 3.jpg, 4.jpg, 0.582595424, 0.290755999, 0.290755999, left, 1, 4, 3, 4.jpg, 3.jpg, 3.413111599977128, 2, 0.176264347, 0.355471562, 0.582595424, 0.290755999,0,
34, practice, 2, vibration during choice, 3, 3, 4, 3.jpg, 4.jpg, 0.578794293, 0.275426328, 0.578794293, right, 2, 3, 4, 3.jpg, 4.jpg, 2.4538532999577, 2, 0.206677553, 0.3490424, 0.578794293, 0.275426328,0,
34, practice, 2, vibration during choice, 4, 4, 3, 4.jpg, 3.jpg, 0.268568422, 0.569745321, 0.268568422, right, 2, 4, 3, 4.jpg, 3.jpg, 2.028654200024903, 2, 0.216551625, 0.358181966, 0.569745321, 0.268568422,0,
34, practice, 2, vibration during choice, 5, 4, 2, 4.jpg, 2.jpg, 0.302042001, 0.364707579, 0.302042001, right, 2, 4, 2, 4.jpg, 2.jpg, 1.0777644000481814, 2, 0.21991786, 0.364707579, 0.582527891, 0.302042001,1
34, test, 2, vibration during choice, 1, 3, 4, 3.jpg, 4.jpg, 0.584847675, 0.302670058, 0.584847675, right, 2, 3, 4, 3.jpg, 4.jpg, 3.175604599993676, 2, 0.167787674, 0.332201416, 0.584847675, 0.302670058,1
34, test, 2, vibration during choice, 2, 2, 3, 2.jpg, 3.jpg, 0.355471562, 0.582595424, 0.582595424, left, 1, 3, 2, 3.jpg, 2.jpg, 1.03952130000107, 2, 0.176264347, 0.355471562, 0.582595424, 0.290755999,0,
34, test, 2, vibration during choice, 3, 3, 1, 3.jpg, 1.jpg, 0.578794293, 0.206677553, 0.578794293, right, 2, 3, 1, 3.jpg, 1.jpg, 0.464290100033395, 2, 0.206677553, 0.3490424, 0.578794293, 0.275426328,0,
34, test, 2, vibration during choice, 4, 2, 4, 2.jpg, 4.jpg, 0.358181966, 0.268568422, 0.358181966, right, 2, 2, 4, 2.jpg, 4.jpg, 2.121869499911554, 2, 0.216551625, 0.358181966, 0.569745321, 0.268568422,1
34, test, 2, vibration during choice, 5, 4, 1, 4.jpg, 1.jpg, 0.302042001, 0.21991786, 0.21991786, left, 1, 1, 4, 1.jpg, 4.jpg, 0.858557999948971, 2, 0.21991786, 0.364707579, 0.582527891, 0.302042001,0,
34, test, 2, vibration during choice, 6, 4, 1, 4.jpg, 1.jpg, 0.336540119, 0.209090036, 0.209090036, left, 1, 1, 4, 1.jpg, 4.jpg, 0.5584501000121236, 2, 0.209090036, 0.3895513, 0.587455063, 0.336540119,0,
34, test, 2, vibration during choice, 7, 2, 3, 2.jpg, 3.jpg, 0.39060737, 0.582464681, 0.39060737, right, 2, 2, 3, 2.jpg, 3.jpg, 2.2073260999750346, 2, 0.215508938, 0.39060737, 0.582464681, 0.363378709,1
34, test, 2, vibration during choice, 8, 3, 1, 3.jpg, 1.jpg, 0.545053358, 0.219868403, 0.219868403, left, 1, 1, 3, 1.jpg, 3.jpg, 3.408482600003481, 2, 0.219868403, 0.430440014, 0.545053358, 0.369794555,0,
34, test, 2, vibration during choice, 9, 4, 3, 4.jpg, 3.jpg, 0.365747455, 0.530883085, 0.530883085, left, 1, 3, 4, 3.jpg, 4.jpg, 0.7102565000532195, 2, 0.223820368, 0.4539861, 0.530883085, 0.365747455,0,
34, test, 2, vibration during choice, 10, 3, 2, 3.jpg, 2.jpg, 0.507816291, 0.485995524, 0.507816291, right, 2, 3, 2, 3.jpg, 2.jpg, 0.6699530000332743, 2, 0.25320591, 0.485995524, 0.507816291, 0.36426522,0,
34, test, 2, vibration during choice, 11, 1, 2, 1.jpg, 2.jpg, 0.272116099, 0.489357893, 0.489357893, left, 1, 2, 1, 2.jpg, 1.jpg, 0.7368546000216156, 2, 0.272116099, 0.489357893, 0.494989907, 0.378430477,0,
34, test, 2, vibration during choice, 12, 2, 3, 2.jpg, 3.jpg, 0.484630844, 0.446302549, 0.484630844, right, 2, 2, 3, 2.jpg, 3.jpg, 1.1002769999904558, 2, 0.234286576, 0.484630844, 0.446302549, 0.406276663,0,
34, test, 2, vibration during choice, 13, 4, 2, 4.jpg, 2.jpg, 0.408056555, 0.493007884, 0.493007884, left, 1, 2, 4, 2.jpg, 4.jpg, 1.1317699999781325, 2, 0.209829698, 0.493007884, 0.441292304, 0.408056555,1
34, test, 2, vibration during choice, 14, 1, 4, 1.jpg, 4.jpg, 0.194746258, 0.411853134, 0.411853134, left, 1, 4, 1, 4.jpg, 1.jpg, 1.2640325999818742, 2, 0.194746258, 0.496165246, 0.424090899, 0.411853134,0,
34, test, 2, vibration during choice, 15, 4, 1, 4.jpg, 1.jpg, 0.425420016, 0.254919143, 0.254919143, left, 1, 1, 4, 1.jpg, 4.jpg, 0.8108638999983668, 2, 0.254919143, 0.498060855, 0.410741903, 0.425420016,1
34, test, 2, vibration during choice, 16, 1, 4, 1.jpg, 4.jpg, 0.268446939, 0.434571537, 0.268446939, right, 2, 1, 4, 1.jpg, 4.jpg, 1.1907963999547064, 2, 0.268446939, 0.473753497, 0.384469806, 0.434571537,0,
34, test, 2, vibration during choice, 17, 1, 3, 1.jpg, 3.jpg, 0.260713561, 0.397409959, 0.397409959, left, 1, 3, 1, 3.jpg, 1.jpg, 1.6025308999232948, 2, 0.260713561, 0.427927548, 0.397409959, 0.467037886,1
34, test, 2, vibration during choice, 18, 4, 1, 4.jpg, 1.jpg, 0.458160423, 0.273570125, 0.458160423, right, 2, 4, 1, 4.jpg, 1.jpg, 1.3637216999195516, 2, 0.273570125, 0.42862063, 0.380302803, 0.458160423,0,
34, test, 2, vibration during choice, 19, 3, 1, 3.jpg, 1.jpg, 0.39026973, 0.269452755, 0.269452755, left, 1, 1, 3, 1.jpg, 3.jpg, 0.595325700007379, 2, 0.269452755, 0.435371131, 0.39026973, 0.413401572,0,
34, test, 2, vibration during choice, 20, 3, 2, 3.jpg, 2.jpg, 0.408454439, 0.425551488, 0.425551488, left, 1, 2, 3, 2.jpg, 3.jpg, 1.3194224999751896, 2, 0.268741649, 0.425551488, 0.408454439, 0.410963982,0,
34, test, 2, vibration during choice, 21, 2, 1, 2.jpg, 1.jpg, 0.44190032, 0.289598518, 0.289598518, left, 1, 1, 2, 1.jpg, 2.jpg, 2.058279199991375, 2, 0.289598518, 0.44190032, 0.404768464, 0.423231262,1
34, test, 2, vibration during choice, 22, 4, 1, 4.jpg, 1.jpg, 0.389718337, 0.299460569, 0.299460569, left, 1, 1, 4, 1.jpg, 4.jpg, 1.8651750999270007, 2, 0.299460569, 0.419525056, 0.422610309, 0.389718337,1
34, test, 2, vibration during choice, 23, 2, 1, 2.jpg, 1.jpg, 0.397611772, 0.275422902, 0.397611772, right, 2, 2, 1, 2.jpg, 1.jpg, 1.6924409000203013, 2, 0.275422902, 0.397611772, 0.408863932, 0.39059245,0,
34, test, 2, vibration during choice, 24, 2, 1, 2.jpg, 1.jpg, 0.379139537, 0.266650787, 0.266650787, left, 1, 1, 2, 1.jpg, 2.jpg, 0.4154997000005096, 2, 0.266650787, 0.379139537, 0.405854252, 0.398445672,1
34, test, 2, vibration during choice, 25, 2, 4, 2.jpg, 4.jpg, 0.383103254, 0.3844496, 0.3844496, left, 1, 4, 2, 4.jpg, 2.jpg, 1.478877899935469, 2, 0.254259812, 0.383103254, 0.425425396, 0.3844496,0,
34, test, 2, vibration during choice, 26, 4, 1, 4.jpg, 1.jpg, 0.389570929, 0.251503025, 0.251503025, left, 1, 1, 4, 1.jpg, 4.jpg, 0.6233933999901637, 2, 0.251503025, 0.426705428, 0.44409494, 0.389570929,0,
34, test, 2, vibration during choice, 27, 1, 2, 1.jpg, 2.jpg, 0.260664603, 0.434578853, 0.260664603, right, 2, 1, 2, 1.jpg, 2.jpg, 0.7279915999388322, 2, 0.260664603, 0.434578853, 0.476699219, 0.351861927,1
34, test, 2, vibration during choice, 28, 2, 1, 2.jpg, 1.jpg, 0.456535155, 0.254900351, 0.254900351, left, 1, 1, 2, 1.jpg, 2.jpg, 0.375677099917084, 2, 0.254900351, 0.456535155, 0.471375184, 0.358204472,1
34, test, 2, vibration during choice, 29, 3, 2, 3.jpg, 2.jpg, 0.45401501, 0.431125609, 0.45401501, right, 2, 3, 2, 3.jpg, 2.jpg, 1.1100577999604866, 2, 0.270226286, 0.431125609, 0.45401501, 0.360838495,0,
34, test, 2, vibration during choice, 30, 3, 1, 3.jpg, 1.jpg, 0.441888062, 0.231605059, 0.231605059, left, 1, 1, 3, 1.jpg, 3.jpg, 0.6004306999966502, 2, 0.231605059, 0.434793002, 0.441888062, 0.36725969,1
34, test, 2, vibration during choice, 31, 1, 3, 1.jpg, 3.jpg, 0.233739069, 0.456731037, 0.233739069, right, 2, 1, 3, 1.jpg, 3.jpg, 1.4036011999705806, 2, 0.233739069, 0.473135831, 0.456731037, 0.401609609,0,
34, test, 2, vibration during choice, 32, 4, 2, 4.jpg, 2.jpg, 0.393803515, 0.452508743, 0.452508743, left, 1, 2, 4, 2.jpg, 4.jpg, 1.2319554999703541, 2, 0.24432205, 0.452508743, 0.406064085, 0.393803515,0,
34, test, 2, vibration during choice, 33, 2, 1, 2.jpg, 1.jpg, 0.458621481, 0.193554899, 0.193554899, left, 1, 1, 2, 1.jpg, 2.jpg, 0.6906042000046, 2, 0.193554899, 0.458621481, 0.401876712, 0.402704902,0,
34, test, 2, vibration during choice, 34, 2, 3, 2.jpg, 3.jpg, 0.43001655, 0.409321444, 0.409321444, left, 1, 3, 2, 3.jpg, 2.jpg, 1.1682130999397486, 2, 0.204964705, 0.43001655, 0.409321444, 0.416668377,1
34, test, 2, vibration during choice, 35, 4, 1, 4.jpg, 1.jpg, 0.419699964, 0.22048214, 0.22048214, left, 1, 1, 4, 1.jpg, 4.jpg, 1.0143132000230253, 2, 0.22048214, 0.429045935, 0.424862287, 0.419699964,0,
34, test, 2, vibration during choice, 36, 1, 3, 1.jpg, 3.jpg, 0.211101934, 0.423948221, 0.423948221, left, 1, 3, 1, 3.jpg, 1.jpg, 0.7098777999635786, 2, 0.211101934, 0.447650766, 0.423948221, 0.428911523,0,
34, test, 2, vibration during choice, 37, 3, 2, 3.jpg, 2.jpg, 0.43257228, 0.456165741, 0.456165741, left, 1, 2, 3, 2.jpg, 3.jpg, 1.6594202999258414, 2, 0.219326053, 0.456165741, 0.43257228, 0.39910528,1
34, test, 2, vibration during choice, 38, 1, 2, 1.jpg, 2.jpg, 0.221341547, 0.433155402, 0.433155402, left, 1, 2, 1, 2.jpg, 1.jpg, 4.031552699976601, 2, 0.221341547, 0.433155402, 0.4363313, 0.390289699,1
34, test, 2, vibration during choice, 39, 1, 3, 1.jpg, 3.jpg, 0.214118114, 0.408906602, 0.408906602, left, 1, 3, 1, 3.jpg, 1.jpg, 0.7176455999724567, 2, 0.214118114, 0.447660961, 0.408906602, 0.411267062,0,
34, test, 2, vibration during choice, 40, 3, 2, 3.jpg, 2.jpg, 0.40122215, 0.447456341, 0.40122215, right, 2, 3, 2, 3.jpg, 2.jpg, 1.675500400015153, 2, 0.217505069, 0.447456341, 0.40122215, 0.401024283,1
34, test, 2, vibration during choice, 41, 1, 4, 1.jpg, 4.jpg, 0.249081937, 0.370374616, 0.249081937, right, 2, 1, 4, 1.jpg, 4.jpg, 2.571211199974641, 2, 0.249081937, 0.458162882, 0.382054645, 0.370374616,1
34, test, 2, vibration during choice, 42, 3, 1, 3.jpg, 1.jpg, 0.383924023, 0.255981224, 0.255981224, left, 1, 1, 3, 1.jpg, 3.jpg, 2.0875101999845356, 2, 0.255981224, 0.480978505, 0.383924023, 0.368787043,0,
34, test, 2, vibration during choice, 43, 4, 1, 4.jpg, 1.jpg, 0.38383929, 0.288213763, 0.288213763, left, 1, 1, 4, 1.jpg, 4.jpg, 0.9076401999918744, 2, 0.288213763, 0.511556199, 0.401205729, 0.38383929,1
34, test, 2, vibration during choice, 44, 4, 1, 4.jpg, 1.jpg, 0.362927966, 0.294374293, 0.294374293, left, 1, 1, 4, 1.jpg, 4.jpg, 1.6069271999876946, 2, 0.294374293, 0.530811847, 0.350203513, 0.362927966,0,
34, test, 2, vibration during choice, 45, 1, 3, 1.jpg, 3.jpg, 0.308994906, 0.336134109, 0.308994906, right, 2, 1, 3, 1.jpg, 3.jpg, 0.6524068999569863, 2, 0.308994906, 0.512913286, 0.336134109, 0.367033206,1
34, test, 2, vibration during choice, 46, 2, 4, 2.jpg, 4.jpg, 0.533187647, 0.368488345, 0.533187647, right, 2, 2, 4, 2.jpg, 4.jpg, 2.529808400082402, 2, 0.289973458, 0.533187647, 0.325220477, 0.368488345,0,
34, test, 2, vibration during choice, 47, 1, 2, 1.jpg, 2.jpg, 0.29306391, 0.537872242, 0.29306391, right, 2, 1, 2, 1.jpg, 2.jpg, 1.562927499995567, 2, 0.29306391, 0.537872242, 0.357892701, 0.34679011,1
34, test, 2, vibration during choice, 48, 4, 2, 4.jpg, 2.jpg, 0.356952705, 0.523160461, 0.356952705, right, 2, 4, 2, 4.jpg, 2.jpg, 1.2669630000600591, 2, 0.292135198, 0.523160461, 0.408168742, 0.356952705,1
34, test, 2, vibration during choice, 49, 1, 4, 1.jpg, 4.jpg, 0.293886334, 0.356189797, 0.293886334, right, 2, 1, 4, 1.jpg, 4.jpg, 0.9152547999983653, 2, 0.293886334, 0.527646571, 0.394241012, 0.356189797,0,
34, test, 2, vibration during choice, 50, 2, 1, 2.jpg, 1.jpg, 0.548355336, 0.304272396, 0.304272396, left, 1, 1, 2, 1.jpg, 2.jpg, 0.5416536999400705, 2, 0.304272396, 0.548355336, 0.386662209, 0.348042517,0,
