subject, block_type, block, condition, trial, right_offer, left_offer, offer_right_image, offer_left_image, exp_value_right, exp_value_left, exp_value_chosen, choice_location, choice_key, choice_card, unchosen_card, chosen_card_image, unchosen_card_image, rt, randomwalk_counter, exp_value1, exp_value2, exp_value3, exp_value4, reward
5, practice, 1, vibration off, 1, 1, 4, 1.jpg, 4.jpg, 0.511076546, 0.466504194, 0.511076546, right, 2, 1, 4, 1.jpg, 4.jpg, 2.9680956999072805, 1, 0.511076546, 0.615232533, 0.413504079, 0.466504194,1
5, practice, 1, vibration off, 2, 3, 2, 3.jpg, 2.jpg, 0.375335495, 0.631199867, 0.631199867, left, 1, 2, 3, 2.jpg, 3.jpg, 3.0127147000748664, 1, 0.517796443, 0.631199867, 0.375335495, 0.47234587,0,
5, practice, 1, vibration off, 3, 3, 1, 3.jpg, 1.jpg, 0.374984468, 0.498939688, 0.498939688, left, 1, 1, 3, 1.jpg, 3.jpg, 1.790855300030671, 1, 0.498939688, 0.626315633, 0.374984468, 0.491193418,1
5, practice, 1, vibration off, 4, 4, 3, 4.jpg, 3.jpg, 0.486122834, 0.371343772, 0.371343772, left, 1, 3, 4, 3.jpg, 4.jpg, 2.7766516000265256, 1, 0.498193315, 0.609226527, 0.371343772, 0.486122834,1
5, practice, 1, vibration off, 5, 3, 4, 3.jpg, 4.jpg, 0.35386843, 0.463675252, 0.35386843, right, 2, 3, 4, 3.jpg, 4.jpg, 3.835826399968937, 1, 0.472267853, 0.620106582, 0.35386843, 0.463675252,0,
5, test, 1, vibration off, 1, 4, 2, 4.jpg, 2.jpg, 0.466504194, 0.615232533, 0.615232533, left, 1, 2, 4, 2.jpg, 4.jpg, 1.3246875000186265, 1, 0.511076546, 0.615232533, 0.413504079, 0.466504194,0,
5, test, 1, vibration off, 2, 2, 3, 2.jpg, 3.jpg, 0.631199867, 0.375335495, 0.631199867, right, 2, 2, 3, 2.jpg, 3.jpg, 4.198040399933234, 1, 0.517796443, 0.631199867, 0.375335495, 0.47234587,0,
5, test, 1, vibration off, 3, 2, 3, 2.jpg, 3.jpg, 0.626315633, 0.374984468, 0.374984468, left, 1, 3, 2, 3.jpg, 2.jpg, 2.4677222999744117, 1, 0.498939688, 0.626315633, 0.374984468, 0.491193418,1
5, test, 1, vibration off, 4, 1, 4, 1.jpg, 4.jpg, 0.498193315, 0.486122834, 0.486122834, left, 1, 4, 1, 4.jpg, 1.jpg, 2.868309299927205, 1, 0.498193315, 0.609226527, 0.371343772, 0.486122834,1
5, test, 1, vibration off, 5, 2, 3, 2.jpg, 3.jpg, 0.620106582, 0.35386843, 0.620106582, right, 2, 2, 3, 2.jpg, 3.jpg, 3.951813400024548, 1, 0.472267853, 0.620106582, 0.35386843, 0.463675252,1
5, test, 1, vibration off, 6, 2, 4, 2.jpg, 4.jpg, 0.609411022, 0.444784776, 0.444784776, left, 1, 4, 2, 4.jpg, 2.jpg, 3.913360000005923, 1, 0.48900464, 0.609411022, 0.353156918, 0.444784776,1
5, test, 1, vibration off, 7, 3, 4, 3.jpg, 4.jpg, 0.351148204, 0.459669582, 0.459669582, left, 1, 4, 3, 4.jpg, 3.jpg, 4.28707039996516, 1, 0.498922937, 0.661106815, 0.351148204, 0.459669582,0,
5, test, 1, vibration off, 8, 4, 2, 4.jpg, 2.jpg, 0.445975487, 0.661043011, 0.661043011, left, 1, 2, 4, 2.jpg, 4.jpg, 4.011435899999924, 1, 0.523305174, 0.661043011, 0.385479761, 0.445975487,1
5, test, 1, vibration off, 9, 2, 3, 2.jpg, 3.jpg, 0.617130773, 0.38403906, 0.617130773, right, 2, 2, 3, 2.jpg, 3.jpg, 3.5683420000132173, 1, 0.538202722, 0.617130773, 0.38403906, 0.477824508,1
5, test, 1, vibration off, 10, 2, 1, 2.jpg, 1.jpg, 0.61305354, 0.538742055, 0.538742055, left, 1, 1, 2, 1.jpg, 2.jpg, 2.079513999982737, 1, 0.538742055, 0.61305354, 0.400369013, 0.494179332,1
5, test, 1, vibration off, 11, 3, 2, 3.jpg, 2.jpg, 0.389573429, 0.627053837, 0.627053837, left, 1, 2, 3, 2.jpg, 3.jpg, 2.928538100095466, 1, 0.576408806, 0.627053837, 0.389573429, 0.442060048,0,
5, test, 1, vibration off, 12, 1, 3, 1.jpg, 3.jpg, 0.58170588, 0.368726719, 0.58170588, right, 2, 1, 3, 1.jpg, 3.jpg, 1.791179099935107, 1, 0.58170588, 0.6084257, 0.368726719, 0.429884006,0,
5, test, 1, vibration off, 13, 1, 2, 1.jpg, 2.jpg, 0.578706679, 0.597368238, 0.578706679, right, 2, 1, 2, 1.jpg, 2.jpg, 3.762286699959077, 1, 0.578706679, 0.597368238, 0.375355878, 0.451621205,0,
5, test, 1, vibration off, 14, 1, 2, 1.jpg, 2.jpg, 0.542007718, 0.603047222, 0.603047222, left, 1, 2, 1, 2.jpg, 1.jpg, 1.539064300013706, 1, 0.542007718, 0.603047222, 0.38842331, 0.453322749,1
5, test, 1, vibration off, 15, 1, 3, 1.jpg, 3.jpg, 0.51169699, 0.398928367, 0.398928367, left, 1, 3, 1, 3.jpg, 1.jpg, 1.50424259994179, 1, 0.51169699, 0.59667375, 0.398928367, 0.449059956,1
5, test, 1, vibration off, 16, 4, 1, 4.jpg, 1.jpg, 0.445080478, 0.513158928, 0.445080478, right, 2, 4, 1, 4.jpg, 1.jpg, 4.618473100010306, 1, 0.513158928, 0.577589974, 0.371810296, 0.445080478,0,
5, test, 1, vibration off, 17, 4, 3, 4.jpg, 3.jpg, 0.422775713, 0.379887863, 0.379887863, left, 1, 3, 4, 3.jpg, 4.jpg, 1.666650400031358, 1, 0.513426935, 0.585694186, 0.379887863, 0.422775713,1
5, test, 1, vibration off, 18, 2, 1, 2.jpg, 1.jpg, 0.54789599, 0.505704724, 0.54789599, right, 2, 2, 1, 2.jpg, 1.jpg, 1.304119999986142, 1, 0.505704724, 0.54789599, 0.373664559, 0.418810463,1
5, test, 1, vibration off, 19, 4, 3, 4.jpg, 3.jpg, 0.404711898, 0.369915918, 0.369915918, left, 1, 3, 4, 3.jpg, 4.jpg, 2.648229399928823, 1, 0.504573157, 0.582335652, 0.369915918, 0.404711898,0,
5, test, 1, vibration off, 20, 3, 2, 3.jpg, 2.jpg, 0.34718102, 0.588279021, 0.34718102, right, 2, 3, 2, 3.jpg, 2.jpg, 3.16035749996081, 1, 0.511492418, 0.588279021, 0.34718102, 0.429775493,0,
5, test, 1, vibration off, 21, 1, 3, 1.jpg, 3.jpg, 0.512951285, 0.365459609, 0.512951285, right, 2, 1, 3, 1.jpg, 3.jpg, 2.5806741000851616, 1, 0.512951285, 0.553509108, 0.365459609, 0.420212923,0,
5, test, 1, vibration off, 22, 2, 1, 2.jpg, 1.jpg, 0.552815737, 0.539572991, 0.552815737, right, 2, 2, 1, 2.jpg, 1.jpg, 13.109970399993472, 1, 0.539572991, 0.552815737, 0.364821817, 0.410726764,1
5, test, 1, vibration off, 23, 1, 3, 1.jpg, 3.jpg, 0.56095771, 0.373035803, 0.373035803, left, 1, 3, 1, 3.jpg, 1.jpg, 1.0943584999768063, 1, 0.56095771, 0.535255398, 0.373035803, 0.376882621,0,
5, test, 1, vibration off, 24, 3, 4, 3.jpg, 4.jpg, 0.364677663, 0.358107826, 0.364677663, right, 2, 3, 4, 3.jpg, 4.jpg, 0.9933578000636771, 1, 0.575401102, 0.524393705, 0.364677663, 0.358107826,0,
5, test, 1, vibration off, 25, 4, 3, 4.jpg, 3.jpg, 0.373729847, 0.39083719, 0.373729847, right, 2, 4, 3, 4.jpg, 3.jpg, 1.0648260000161827, 1, 0.541014126, 0.532040408, 0.39083719, 0.373729847,1
5, test, 1, vibration off, 26, 2, 4, 2.jpg, 4.jpg, 0.511692898, 0.398780507, 0.398780507, left, 1, 4, 2, 4.jpg, 2.jpg, 1.319753900053911, 1, 0.536918816, 0.511692898, 0.371897574, 0.398780507,1
5, test, 1, vibration off, 27, 4, 3, 4.jpg, 3.jpg, 0.405865749, 0.389383809, 0.405865749, right, 2, 4, 3, 4.jpg, 3.jpg, 1.2194655999774113, 1, 0.541079589, 0.54671574, 0.389383809, 0.405865749,0,
5, test, 1, vibration off, 28, 3, 4, 3.jpg, 4.jpg, 0.408417182, 0.403418308, 0.408417182, right, 2, 3, 4, 3.jpg, 4.jpg, 0.8591054999269545, 1, 0.559641612, 0.570750529, 0.408417182, 0.403418308,1
5, test, 1, vibration off, 29, 4, 3, 4.jpg, 3.jpg, 0.398536524, 0.383885215, 0.383885215, left, 1, 3, 4, 3.jpg, 4.jpg, 1.096254299976863, 1, 0.566867971, 0.54476025, 0.383885215, 0.398536524,0,
5, test, 1, vibration off, 30, 4, 1, 4.jpg, 1.jpg, 0.407780991, 0.562069061, 0.562069061, left, 1, 1, 4, 1.jpg, 4.jpg, 2.791189100011252, 1, 0.562069061, 0.559260499, 0.406860111, 0.407780991,0,
5, test, 1, vibration off, 31, 4, 2, 4.jpg, 2.jpg, 0.40633374, 0.570453061, 0.40633374, right, 2, 4, 2, 4.jpg, 2.jpg, 0.7352534000528976, 1, 0.557017169, 0.570453061, 0.389734908, 0.40633374,0,
5, test, 1, vibration off, 32, 4, 2, 4.jpg, 2.jpg, 0.430319959, 0.562455492, 0.430319959, right, 2, 4, 2, 4.jpg, 2.jpg, 1.3233492999570444, 1, 0.587964414, 0.562455492, 0.364845558, 0.430319959,1
5, test, 1, vibration off, 33, 4, 2, 4.jpg, 2.jpg, 0.469700007, 0.583546956, 0.583546956, left, 1, 2, 4, 2.jpg, 4.jpg, 1.9622708999086171, 1, 0.569423526, 0.583546956, 0.38651511, 0.469700007,1
5, test, 1, vibration off, 34, 3, 2, 3.jpg, 2.jpg, 0.411760625, 0.565200904, 0.565200904, left, 1, 2, 3, 2.jpg, 3.jpg, 2.507300000055693, 1, 0.56834307, 0.565200904, 0.411760625, 0.45608609,0,
5, test, 1, vibration off, 35, 1, 4, 1.jpg, 4.jpg, 0.599079702, 0.497188985, 0.497188985, left, 1, 4, 1, 4.jpg, 1.jpg, 2.0036672999849543, 1, 0.599079702, 0.567372701, 0.404213812, 0.497188985,0,
5, test, 1, vibration off, 36, 4, 2, 4.jpg, 2.jpg, 0.476236411, 0.558903517, 0.476236411, right, 2, 4, 2, 4.jpg, 2.jpg, 1.414386700023897, 1, 0.614921267, 0.558903517, 0.380656038, 0.476236411,0,
5, test, 1, vibration off, 37, 3, 2, 3.jpg, 2.jpg, 0.352549374, 0.545721743, 0.545721743, left, 1, 2, 3, 2.jpg, 3.jpg, 2.0954606999875978, 1, 0.628075493, 0.545721743, 0.352549374, 0.509842719,0,
5, test, 1, vibration off, 38, 1, 3, 1.jpg, 3.jpg, 0.631242143, 0.347063514, 0.631242143, right, 2, 1, 3, 1.jpg, 3.jpg, 3.4714046999579296, 1, 0.631242143, 0.538071442, 0.347063514, 0.530542784,1
5, test, 1, vibration off, 39, 4, 2, 4.jpg, 2.jpg, 0.525341883, 0.562917382, 0.562917382, left, 1, 2, 4, 2.jpg, 4.jpg, 0.9911326000001281, 1, 0.600609567, 0.562917382, 0.341152187, 0.525341883,1
5, test, 1, vibration off, 40, 2, 3, 2.jpg, 3.jpg, 0.574174471, 0.340254534, 0.574174471, right, 2, 2, 3, 2.jpg, 3.jpg, 1.5589939000783488, 1, 0.598478627, 0.574174471, 0.340254534, 0.519319672,1
5, test, 1, vibration off, 41, 2, 1, 2.jpg, 1.jpg, 0.580661228, 0.60144404, 0.60144404, left, 1, 1, 2, 1.jpg, 2.jpg, 1.0643701000371948, 1, 0.60144404, 0.580661228, 0.358175358, 0.531828439,0,
5, test, 1, vibration off, 42, 4, 2, 4.jpg, 2.jpg, 0.522351056, 0.582970551, 0.582970551, left, 1, 2, 4, 2.jpg, 4.jpg, 1.047235400066711, 1, 0.630195312, 0.582970551, 0.366861123, 0.522351056,1
5, test, 1, vibration off, 43, 1, 2, 1.jpg, 2.jpg, 0.628568645, 0.572586617, 0.572586617, left, 1, 2, 1, 2.jpg, 1.jpg, 0.7992025000276044, 1, 0.628568645, 0.572586617, 0.357029746, 0.532129282,1
5, test, 1, vibration off, 44, 4, 2, 4.jpg, 2.jpg, 0.54344664, 0.565568304, 0.565568304, left, 1, 2, 4, 2.jpg, 4.jpg, 0.8781416000565514, 1, 0.636994371, 0.565568304, 0.384631609, 0.54344664,1
5, test, 1, vibration off, 45, 3, 4, 3.jpg, 4.jpg, 0.386636695, 0.52618086, 0.386636695, right, 2, 3, 4, 3.jpg, 4.jpg, 1.1318913999712095, 1, 0.650015763, 0.5781911, 0.386636695, 0.52618086,1
5, test, 1, vibration off, 46, 2, 3, 2.jpg, 3.jpg, 0.554193525, 0.376640317, 0.554193525, right, 2, 2, 3, 2.jpg, 3.jpg, 1.0349822000134736, 1, 0.626001871, 0.554193525, 0.376640317, 0.575008411,1
5, test, 1, vibration off, 47, 2, 3, 2.jpg, 3.jpg, 0.585886385, 0.329837755, 0.585886385, right, 2, 2, 3, 2.jpg, 3.jpg, 0.6539195999503136, 1, 0.606772055, 0.585886385, 0.329837755, 0.546233567,0,
5, test, 1, vibration off, 48, 2, 4, 2.jpg, 4.jpg, 0.601875425, 0.544792119, 0.544792119, left, 1, 4, 2, 4.jpg, 2.jpg, 1.5466251000761986, 1, 0.609756275, 0.601875425, 0.322472207, 0.544792119,1
5, test, 1, vibration off, 49, 2, 4, 2.jpg, 4.jpg, 0.595767883, 0.559135463, 0.559135463, left, 1, 4, 2, 4.jpg, 2.jpg, 1.014913700055331, 1, 0.606158462, 0.595767883, 0.298351175, 0.559135463,1
5, test, 1, vibration off, 50, 1, 2, 1.jpg, 2.jpg, 0.585330427, 0.596690297, 0.585330427, right, 2, 1, 2, 1.jpg, 2.jpg, 1.3846881999634206, 1, 0.585330427, 0.596690297, 0.304980312, 0.528689445,1
5, practice, 2, vibration during outcome, 1, 4, 1, 12.jpg, 9.jpg, 0.466504194, 0.511076546, 0.511076546, left, 1, 1, 4, 9.jpg, 12.jpg, 2.629013199941255, 1, 0.511076546, 0.615232533, 0.413504079, 0.466504194,1
5, practice, 2, vibration during outcome, 2, 1, 2, 9.jpg, 10.jpg, 0.517796443, 0.631199867, 0.517796443, right, 2, 1, 2, 9.jpg, 10.jpg, 0.9437081000069156, 1, 0.517796443, 0.631199867, 0.375335495, 0.47234587,1
5, practice, 2, vibration during outcome, 3, 1, 3, 9.jpg, 11.jpg, 0.498939688, 0.374984468, 0.498939688, right, 2, 1, 3, 9.jpg, 11.jpg, 1.030782200046815, 1, 0.498939688, 0.626315633, 0.374984468, 0.491193418,0,
5, practice, 2, vibration during outcome, 4, 3, 4, 11.jpg, 12.jpg, 0.371343772, 0.486122834, 0.486122834, left, 1, 4, 3, 12.jpg, 11.jpg, 1.0432441999437287, 1, 0.498193315, 0.609226527, 0.371343772, 0.486122834,1
5, practice, 2, vibration during outcome, 5, 1, 4, 9.jpg, 12.jpg, 0.472267853, 0.463675252, 0.463675252, left, 1, 4, 1, 12.jpg, 9.jpg, 1.0421620999695733, 1, 0.472267853, 0.620106582, 0.35386843, 0.463675252,1
5, test, 2, vibration during outcome, 1, 3, 2, 11.jpg, 10.jpg, 0.413504079, 0.615232533, 0.615232533, left, 1, 2, 3, 10.jpg, 11.jpg, 2.044222099939361, 1, 0.511076546, 0.615232533, 0.413504079, 0.466504194,1
5, test, 2, vibration during outcome, 2, 2, 4, 10.jpg, 12.jpg, 0.631199867, 0.47234587, 0.631199867, right, 2, 2, 4, 10.jpg, 12.jpg, 0.7743409000104293, 1, 0.517796443, 0.631199867, 0.375335495, 0.47234587,1
5, test, 2, vibration during outcome, 3, 3, 1, 11.jpg, 9.jpg, 0.374984468, 0.498939688, 0.498939688, left, 1, 1, 3, 9.jpg, 11.jpg, 1.4139449000358582, 1, 0.498939688, 0.626315633, 0.374984468, 0.491193418,1
5, test, 2, vibration during outcome, 4, 1, 4, 9.jpg, 12.jpg, 0.498193315, 0.486122834, 0.498193315, right, 2, 1, 4, 9.jpg, 12.jpg, 0.4719703000737354, 1, 0.498193315, 0.609226527, 0.371343772, 0.486122834,1
5, test, 2, vibration during outcome, 5, 3, 4, 11.jpg, 12.jpg, 0.35386843, 0.463675252, 0.463675252, left, 1, 4, 3, 12.jpg, 11.jpg, 0.6356414000038058, 1, 0.472267853, 0.620106582, 0.35386843, 0.463675252,0,
5, test, 2, vibration during outcome, 6, 2, 1, 10.jpg, 9.jpg, 0.609411022, 0.48900464, 0.48900464, left, 1, 1, 2, 9.jpg, 10.jpg, 0.7582931999349967, 1, 0.48900464, 0.609411022, 0.353156918, 0.444784776,1
5, test, 2, vibration during outcome, 7, 3, 1, 11.jpg, 9.jpg, 0.351148204, 0.498922937, 0.351148204, right, 2, 3, 1, 11.jpg, 9.jpg, 0.558690799982287, 1, 0.498922937, 0.661106815, 0.351148204, 0.459669582,1
5, test, 2, vibration during outcome, 8, 3, 4, 11.jpg, 12.jpg, 0.385479761, 0.445975487, 0.385479761, right, 2, 3, 4, 11.jpg, 12.jpg, 1.2542426000582054, 1, 0.523305174, 0.661043011, 0.385479761, 0.445975487,1
5, test, 2, vibration during outcome, 9, 2, 3, 10.jpg, 11.jpg, 0.617130773, 0.38403906, 0.38403906, left, 1, 3, 2, 11.jpg, 10.jpg, 1.1313269999809563, 1, 0.538202722, 0.617130773, 0.38403906, 0.477824508,0,
5, test, 2, vibration during outcome, 10, 4, 1, 12.jpg, 9.jpg, 0.494179332, 0.538742055, 0.538742055, left, 1, 1, 4, 9.jpg, 12.jpg, 1.5266685000387952, 1, 0.538742055, 0.61305354, 0.400369013, 0.494179332,0,
5, test, 2, vibration during outcome, 11, 3, 4, 11.jpg, 12.jpg, 0.389573429, 0.442060048, 0.442060048, left, 1, 4, 3, 12.jpg, 11.jpg, 0.662273499998264, 1, 0.576408806, 0.627053837, 0.389573429, 0.442060048,1
5, test, 2, vibration during outcome, 12, 2, 3, 10.jpg, 11.jpg, 0.6084257, 0.368726719, 0.6084257, right, 2, 2, 3, 10.jpg, 11.jpg, 0.5792066000867635, 1, 0.58170588, 0.6084257, 0.368726719, 0.429884006,0,
5, test, 2, vibration during outcome, 13, 3, 1, 11.jpg, 9.jpg, 0.375355878, 0.578706679, 0.375355878, right, 2, 3, 1, 11.jpg, 9.jpg, 2.046491099987179, 1, 0.578706679, 0.597368238, 0.375355878, 0.451621205,1
5, test, 2, vibration during outcome, 14, 1, 4, 9.jpg, 12.jpg, 0.542007718, 0.453322749, 0.453322749, left, 1, 4, 1, 12.jpg, 9.jpg, 1.9787985999137163, 1, 0.542007718, 0.603047222, 0.38842331, 0.453322749,1
5, test, 2, vibration during outcome, 15, 4, 2, 12.jpg, 10.jpg, 0.449059956, 0.59667375, 0.449059956, right, 2, 4, 2, 12.jpg, 10.jpg, 1.6924407000187784, 1, 0.51169699, 0.59667375, 0.398928367, 0.449059956,1
5, test, 2, vibration during outcome, 16, 3, 1, 11.jpg, 9.jpg, 0.371810296, 0.513158928, 0.371810296, right, 2, 3, 1, 11.jpg, 9.jpg, 2.09856780001428, 1, 0.513158928, 0.577589974, 0.371810296, 0.445080478,0,
5, test, 2, vibration during outcome, 17, 4, 3, 12.jpg, 11.jpg, 0.422775713, 0.379887863, 0.422775713, right, 2, 4, 3, 12.jpg, 11.jpg, 0.9866754999384284, 1, 0.513426935, 0.585694186, 0.379887863, 0.422775713,0,
5, test, 2, vibration during outcome, 18, 1, 3, 9.jpg, 11.jpg, 0.505704724, 0.373664559, 0.373664559, left, 1, 3, 1, 11.jpg, 9.jpg, 0.778867100016214, 1, 0.505704724, 0.54789599, 0.373664559, 0.418810463,1
5, test, 2, vibration during outcome, 19, 3, 2, 11.jpg, 10.jpg, 0.369915918, 0.582335652, 0.369915918, right, 2, 3, 2, 11.jpg, 10.jpg, 1.1193689999636263, 1, 0.504573157, 0.582335652, 0.369915918, 0.404711898,0,
5, test, 2, vibration during outcome, 20, 2, 4, 10.jpg, 12.jpg, 0.588279021, 0.429775493, 0.588279021, right, 2, 2, 4, 10.jpg, 12.jpg, 1.1383327000075951, 1, 0.511492418, 0.588279021, 0.34718102, 0.429775493,1
5, test, 2, vibration during outcome, 21, 3, 4, 11.jpg, 12.jpg, 0.365459609, 0.420212923, 0.365459609, right, 2, 3, 4, 11.jpg, 12.jpg, 1.1053892000345513, 1, 0.512951285, 0.553509108, 0.365459609, 0.420212923,0,
5, test, 2, vibration during outcome, 22, 4, 2, 12.jpg, 10.jpg, 0.410726764, 0.552815737, 0.552815737, left, 1, 2, 4, 10.jpg, 12.jpg, 1.7033934000646695, 1, 0.539572991, 0.552815737, 0.364821817, 0.410726764,1
5, test, 2, vibration during outcome, 23, 3, 2, 11.jpg, 10.jpg, 0.373035803, 0.535255398, 0.373035803, right, 2, 3, 2, 11.jpg, 10.jpg, 1.3662690999917686, 1, 0.56095771, 0.535255398, 0.373035803, 0.376882621,1
5, test, 2, vibration during outcome, 24, 3, 1, 11.jpg, 9.jpg, 0.364677663, 0.575401102, 0.364677663, right, 2, 3, 1, 11.jpg, 9.jpg, 1.1267801000503823, 1, 0.575401102, 0.524393705, 0.364677663, 0.358107826,0,
5, test, 2, vibration during outcome, 25, 3, 1, 11.jpg, 9.jpg, 0.39083719, 0.541014126, 0.541014126, left, 1, 1, 3, 9.jpg, 11.jpg, 0.4147619000868872, 1, 0.541014126, 0.532040408, 0.39083719, 0.373729847,1
5, test, 2, vibration during outcome, 26, 4, 2, 12.jpg, 10.jpg, 0.398780507, 0.511692898, 0.398780507, right, 2, 4, 2, 12.jpg, 10.jpg, 2.0206245000008494, 1, 0.536918816, 0.511692898, 0.371897574, 0.398780507,1
5, test, 2, vibration during outcome, 27, 2, 3, 10.jpg, 11.jpg, 0.54671574, 0.389383809, 0.54671574, right, 2, 2, 3, 10.jpg, 11.jpg, 2.13960270001553, 1, 0.541079589, 0.54671574, 0.389383809, 0.405865749,1
5, test, 2, vibration during outcome, 28, 2, 4, 10.jpg, 12.jpg, 0.570750529, 0.403418308, 0.403418308, left, 1, 4, 2, 12.jpg, 10.jpg, 1.6436985000036657, 1, 0.559641612, 0.570750529, 0.408417182, 0.403418308,0,
5, test, 2, vibration during outcome, 29, 2, 3, 10.jpg, 11.jpg, 0.54476025, 0.383885215, 0.54476025, right, 2, 2, 3, 10.jpg, 11.jpg, 1.027824499993585, 1, 0.566867971, 0.54476025, 0.383885215, 0.398536524,1
5, test, 2, vibration during outcome, 30, 2, 4, 10.jpg, 12.jpg, 0.559260499, 0.407780991, 0.559260499, right, 2, 2, 4, 10.jpg, 12.jpg, 0.8608908000169322, 1, 0.562069061, 0.559260499, 0.406860111, 0.407780991,0,
5, test, 2, vibration during outcome, 31, 2, 1, 10.jpg, 9.jpg, 0.570453061, 0.557017169, 0.557017169, left, 1, 1, 2, 9.jpg, 10.jpg, 1.461228200001642, 1, 0.557017169, 0.570453061, 0.389734908, 0.40633374,1
5, test, 2, vibration during outcome, 32, 4, 2, 12.jpg, 10.jpg, 0.430319959, 0.562455492, 0.430319959, right, 2, 4, 2, 12.jpg, 10.jpg, 0.6665185999590904, 1, 0.587964414, 0.562455492, 0.364845558, 0.430319959,0,
5, test, 2, vibration during outcome, 33, 4, 3, 12.jpg, 11.jpg, 0.469700007, 0.38651511, 0.38651511, left, 1, 3, 4, 11.jpg, 12.jpg, 1.7804109998978674, 1, 0.569423526, 0.583546956, 0.38651511, 0.469700007,0,
5, test, 2, vibration during outcome, 34, 4, 2, 12.jpg, 10.jpg, 0.45608609, 0.565200904, 0.565200904, left, 1, 2, 4, 10.jpg, 12.jpg, 0.720320799970068, 1, 0.56834307, 0.565200904, 0.411760625, 0.45608609,0,
5, test, 2, vibration during outcome, 35, 2, 4, 10.jpg, 12.jpg, 0.567372701, 0.497188985, 0.497188985, left, 1, 4, 2, 12.jpg, 10.jpg, 0.8300828000064939, 1, 0.599079702, 0.567372701, 0.404213812, 0.497188985,0,
5, test, 2, vibration during outcome, 36, 4, 2, 12.jpg, 10.jpg, 0.476236411, 0.558903517, 0.558903517, left, 1, 2, 4, 10.jpg, 12.jpg, 2.9397436999715865, 1, 0.614921267, 0.558903517, 0.380656038, 0.476236411,0,
5, test, 2, vibration during outcome, 37, 2, 3, 10.jpg, 11.jpg, 0.545721743, 0.352549374, 0.352549374, left, 1, 3, 2, 11.jpg, 10.jpg, 1.32256610004697, 1, 0.628075493, 0.545721743, 0.352549374, 0.509842719,1
5, test, 2, vibration during outcome, 38, 3, 2, 11.jpg, 10.jpg, 0.347063514, 0.538071442, 0.347063514, right, 2, 3, 2, 11.jpg, 10.jpg, 1.2410094999941066, 1, 0.631242143, 0.538071442, 0.347063514, 0.530542784,0,
5, test, 2, vibration during outcome, 39, 2, 1, 10.jpg, 9.jpg, 0.562917382, 0.600609567, 0.562917382, right, 2, 2, 1, 10.jpg, 9.jpg, 1.7349205000791699, 1, 0.600609567, 0.562917382, 0.341152187, 0.525341883,1
5, test, 2, vibration during outcome, 40, 4, 3, 12.jpg, 11.jpg, 0.519319672, 0.340254534, 0.519319672, right, 2, 4, 3, 12.jpg, 11.jpg, 1.0340900000883266, 1, 0.598478627, 0.574174471, 0.340254534, 0.519319672,0,
5, test, 2, vibration during outcome, 41, 2, 4, 10.jpg, 12.jpg, 0.580661228, 0.531828439, 0.531828439, left, 1, 4, 2, 12.jpg, 10.jpg, 1.6146474000997841, 1, 0.60144404, 0.580661228, 0.358175358, 0.531828439,0,
5, test, 2, vibration during outcome, 42, 1, 2, 9.jpg, 10.jpg, 0.630195312, 0.582970551, 0.582970551, left, 1, 2, 1, 10.jpg, 9.jpg, 1.0809461999451742, 1, 0.630195312, 0.582970551, 0.366861123, 0.522351056,1
5, test, 2, vibration during outcome, 43, 1, 2, 9.jpg, 10.jpg, 0.628568645, 0.572586617, 0.572586617, left, 1, 2, 1, 10.jpg, 9.jpg, 0.8773026000708342, 1, 0.628568645, 0.572586617, 0.357029746, 0.532129282,1
5, test, 2, vibration during outcome, 44, 3, 1, 11.jpg, 9.jpg, 0.384631609, 0.636994371, 0.384631609, right, 2, 3, 1, 11.jpg, 9.jpg, 1.8550822000252083, 1, 0.636994371, 0.565568304, 0.384631609, 0.54344664,0,
5, test, 2, vibration during outcome, 45, 2, 3, 10.jpg, 11.jpg, 0.5781911, 0.386636695, 0.5781911, right, 2, 2, 3, 10.jpg, 11.jpg, 0.8465080000460148, 1, 0.650015763, 0.5781911, 0.386636695, 0.52618086,0,
5, test, 2, vibration during outcome, 46, 4, 2, 12.jpg, 10.jpg, 0.575008411, 0.554193525, 0.575008411, right, 2, 4, 2, 12.jpg, 10.jpg, 1.7786049999995157, 1, 0.626001871, 0.554193525, 0.376640317, 0.575008411,0,
5, test, 2, vibration during outcome, 47, 4, 3, 12.jpg, 11.jpg, 0.546233567, 0.329837755, 0.329837755, left, 1, 3, 4, 11.jpg, 12.jpg, 1.0619237000355497, 1, 0.606772055, 0.585886385, 0.329837755, 0.546233567,0,
5, test, 2, vibration during outcome, 48, 4, 1, 12.jpg, 9.jpg, 0.544792119, 0.609756275, 0.544792119, right, 2, 4, 1, 12.jpg, 9.jpg, 1.3301211000652984, 1, 0.609756275, 0.601875425, 0.322472207, 0.544792119,1
5, test, 2, vibration during outcome, 49, 2, 3, 10.jpg, 11.jpg, 0.595767883, 0.298351175, 0.298351175, left, 1, 3, 2, 11.jpg, 10.jpg, 1.4044806000310928, 1, 0.606158462, 0.595767883, 0.298351175, 0.559135463,0,
