subject, block_type, block, condition, trial, right_offer, left_offer, offer_right_image, offer_left_image, exp_value_right, exp_value_left, exp_value_chosen, choice_location, choice_key, choice_card, unchosen_card, chosen_card_image, unchosen_card_image, rt, randomwalk_counter, exp_value1, exp_value2, exp_value3, exp_value4, reward
11, practice, 1, vibration off, 1, 3, 2, 11.jpg, 10.jpg, 0.584847675, 0.332201416, 0.332201416, left, 1, 2, 3, 10.jpg, 11.jpg, 1.3128071000101045, 2, 0.167787674, 0.332201416, 0.584847675, 0.302670058,0,
11, practice, 1, vibration off, 2, 4, 1, 12.jpg, 9.jpg, 0.290755999, 0.176264347, 0.290755999, right, 2, 4, 1, 12.jpg, 9.jpg, 1.700853900052607, 2, 0.176264347, 0.355471562, 0.582595424, 0.290755999,0,
11, practice, 1, vibration off, 3, 4, 1, 12.jpg, 9.jpg, 0.275426328, 0.206677553, 0.206677553, left, 1, 1, 4, 9.jpg, 12.jpg, 1.916571500012651, 2, 0.206677553, 0.3490424, 0.578794293, 0.275426328,1
11, practice, 1, vibration off, 4, 3, 2, 11.jpg, 10.jpg, 0.569745321, 0.358181966, 0.569745321, right, 2, 3, 2, 11.jpg, 10.jpg, 1.4383810000144877, 2, 0.216551625, 0.358181966, 0.569745321, 0.268568422,1
11, practice, 1, vibration off, 5, 3, 4, 11.jpg, 12.jpg, 0.582527891, 0.302042001, 0.582527891, right, 2, 3, 4, 11.jpg, 12.jpg, 1.1150341000175104, 2, 0.21991786, 0.364707579, 0.582527891, 0.302042001,0,
11, test, 1, vibration off, 1, 2, 4, 10.jpg, 12.jpg, 0.332201416, 0.302670058, 0.302670058, left, 1, 4, 2, 12.jpg, 10.jpg, 0.8269430999644101, 2, 0.167787674, 0.332201416, 0.584847675, 0.302670058,0,
11, test, 1, vibration off, 2, 1, 4, 9.jpg, 12.jpg, 0.176264347, 0.290755999, 0.176264347, right, 2, 1, 4, 9.jpg, 12.jpg, 0.5622855000547133, 2, 0.176264347, 0.355471562, 0.582595424, 0.290755999,0,
11, test, 1, vibration off, 3, 3, 1, 11.jpg, 9.jpg, 0.578794293, 0.206677553, 0.206677553, left, 1, 1, 3, 9.jpg, 11.jpg, 1.0424818999599665, 2, 0.206677553, 0.3490424, 0.578794293, 0.275426328,0,
11, test, 1, vibration off, 4, 2, 3, 10.jpg, 11.jpg, 0.358181966, 0.569745321, 0.569745321, left, 1, 3, 2, 11.jpg, 10.jpg, 0.8708110000006855, 2, 0.216551625, 0.358181966, 0.569745321, 0.268568422,0,
11, test, 1, vibration off, 5, 1, 3, 9.jpg, 11.jpg, 0.21991786, 0.582527891, 0.582527891, left, 1, 3, 1, 11.jpg, 9.jpg, 1.2892437999835238, 2, 0.21991786, 0.364707579, 0.582527891, 0.302042001,0,
