subject, block_type, block, condition, trial, right_offer, left_offer, offer_right_image, offer_left_image, exp_value_right, exp_value_left, exp_value_chosen, choice_location, choice_key, choice_card, unchosen_card, chosen_card_image, unchosen_card_image, rt, randomwalk_counter, exp_value1, exp_value2, exp_value3, exp_value4, reward
17, practice, 1, vibration off, 1, 2, 3, 6.jpg, 7.jpg, 0.615232533, 0.413504079, 0.615232533, right, 2, 2, 3, 6.jpg, 7.jpg, 2.24182429999928, 1, 0.511076546, 0.615232533, 0.413504079, 0.466504194,1
17, practice, 1, vibration off, 2, 4, 1, 8.jpg, 5.jpg, 0.47234587, 0.517796443, 0.517796443, left, 1, 1, 4, 5.jpg, 8.jpg, 2.42479170000297, 1, 0.517796443, 0.631199867, 0.375335495, 0.47234587,0,
17, practice, 1, vibration off, 3, 4, 1, 8.jpg, 5.jpg, 0.491193418, 0.498939688, 0.498939688, left, 1, 1, 4, 5.jpg, 8.jpg, 2.329743900001631, 1, 0.498939688, 0.626315633, 0.374984468, 0.491193418,1
17, practice, 1, vibration off, 4, 2, 1, 6.jpg, 5.jpg, 0.609226527, 0.498193315, 0.609226527, right, 2, 2, 1, 6.jpg, 5.jpg, 2.2867560000013327, 1, 0.498193315, 0.609226527, 0.371343772, 0.486122834,1
17, practice, 1, vibration off, 5, 4, 2, 8.jpg, 6.jpg, 0.463675252, 0.620106582, 0.620106582, left, 1, 2, 4, 6.jpg, 8.jpg, 1.4814515999969444, 1, 0.472267853, 0.620106582, 0.35386843, 0.463675252,1
17, test, 1, vibration off, 1, 4, 1, 8.jpg, 5.jpg, 0.466504194, 0.511076546, 0.466504194, right, 2, 4, 1, 8.jpg, 5.jpg, 2.4610001999972155, 1, 0.511076546, 0.615232533, 0.413504079, 0.466504194,0,
17, test, 1, vibration off, 2, 3, 2, 7.jpg, 6.jpg, 0.375335495, 0.631199867, 0.631199867, left, 1, 2, 3, 6.jpg, 7.jpg, 1.2472242000003462, 1, 0.517796443, 0.631199867, 0.375335495, 0.47234587,1
17, test, 1, vibration off, 3, 3, 2, 7.jpg, 6.jpg, 0.374984468, 0.626315633, 0.626315633, left, 1, 2, 3, 6.jpg, 7.jpg, 1.1742897000003722, 1, 0.498939688, 0.626315633, 0.374984468, 0.491193418,1
17, test, 1, vibration off, 4, 1, 3, 5.jpg, 7.jpg, 0.498193315, 0.371343772, 0.498193315, right, 2, 1, 3, 5.jpg, 7.jpg, 2.0965827999971225, 1, 0.498193315, 0.609226527, 0.371343772, 0.486122834,0,
17, test, 1, vibration off, 5, 4, 1, 8.jpg, 5.jpg, 0.463675252, 0.472267853, 0.472267853, left, 1, 1, 4, 5.jpg, 8.jpg, 2.404365399997914, 1, 0.472267853, 0.620106582, 0.35386843, 0.463675252,1
17, test, 1, vibration off, 6, 1, 3, 5.jpg, 7.jpg, 0.48900464, 0.353156918, 0.48900464, right, 2, 1, 3, 5.jpg, 7.jpg, 2.3356092999965767, 1, 0.48900464, 0.609411022, 0.353156918, 0.444784776,1
17, test, 1, vibration off, 7, 2, 4, 6.jpg, 8.jpg, 0.661106815, 0.459669582, 0.661106815, right, 2, 2, 4, 6.jpg, 8.jpg, 1.6125868000017363, 1, 0.498922937, 0.661106815, 0.351148204, 0.459669582,0,
17, test, 1, vibration off, 8, 2, 4, 6.jpg, 8.jpg, 0.661043011, 0.445975487, 0.445975487, left, 1, 4, 2, 8.jpg, 6.jpg, 1.877768999998807, 1, 0.523305174, 0.661043011, 0.385479761, 0.445975487,0,
17, test, 1, vibration off, 9, 3, 2, 7.jpg, 6.jpg, 0.38403906, 0.617130773, 0.617130773, left, 1, 2, 3, 6.jpg, 7.jpg, 1.7119894999996177, 1, 0.538202722, 0.617130773, 0.38403906, 0.477824508,1
17, test, 1, vibration off, 10, 4, 3, 8.jpg, 7.jpg, 0.494179332, 0.400369013, 0.400369013, left, 1, 3, 4, 7.jpg, 8.jpg, 2.4869477999964147, 1, 0.538742055, 0.61305354, 0.400369013, 0.494179332,0,
17, test, 1, vibration off, 11, 4, 3, 8.jpg, 7.jpg, 0.442060048, 0.389573429, 0.442060048, right, 2, 4, 3, 8.jpg, 7.jpg, 1.1755512000017916, 1, 0.576408806, 0.627053837, 0.389573429, 0.442060048,0,
17, test, 1, vibration off, 12, 1, 3, 5.jpg, 7.jpg, 0.58170588, 0.368726719, 0.58170588, right, 2, 1, 3, 5.jpg, 7.jpg, 1.56629879999673, 1, 0.58170588, 0.6084257, 0.368726719, 0.429884006,1
17, test, 1, vibration off, 13, 1, 2, 5.jpg, 6.jpg, 0.578706679, 0.597368238, 0.597368238, left, 1, 2, 1, 6.jpg, 5.jpg, 3.076464899997518, 1, 0.578706679, 0.597368238, 0.375355878, 0.451621205,1
17, test, 1, vibration off, 14, 3, 1, 7.jpg, 5.jpg, 0.38842331, 0.542007718, 0.542007718, left, 1, 1, 3, 5.jpg, 7.jpg, 2.581337600000552, 1, 0.542007718, 0.603047222, 0.38842331, 0.453322749,1
17, test, 1, vibration off, 15, 1, 2, 5.jpg, 6.jpg, 0.51169699, 0.59667375, 0.59667375, left, 1, 2, 1, 6.jpg, 5.jpg, 3.671658999999636, 1, 0.51169699, 0.59667375, 0.398928367, 0.449059956,1
17, test, 1, vibration off, 16, 3, 4, 7.jpg, 8.jpg, 0.371810296, 0.445080478, 0.445080478, left, 1, 4, 3, 8.jpg, 7.jpg, 2.8466639000034775, 1, 0.513158928, 0.577589974, 0.371810296, 0.445080478,1
17, test, 1, vibration off, 17, 1, 4, 5.jpg, 8.jpg, 0.513426935, 0.422775713, 0.513426935, right, 2, 1, 4, 5.jpg, 8.jpg, 1.7944051000013133, 1, 0.513426935, 0.585694186, 0.379887863, 0.422775713,1
17, test, 1, vibration off, 18, 4, 2, 8.jpg, 6.jpg, 0.418810463, 0.54789599, 0.418810463, right, 2, 4, 2, 8.jpg, 6.jpg, 2.157658600001014, 1, 0.505704724, 0.54789599, 0.373664559, 0.418810463,0,
17, test, 1, vibration off, 19, 1, 4, 5.jpg, 8.jpg, 0.504573157, 0.404711898, 0.504573157, right, 2, 1, 4, 5.jpg, 8.jpg, 1.263213899997936, 1, 0.504573157, 0.582335652, 0.369915918, 0.404711898,0,
17, test, 1, vibration off, 20, 1, 4, 5.jpg, 8.jpg, 0.511492418, 0.429775493, 0.429775493, left, 1, 4, 1, 8.jpg, 5.jpg, 1.1381039999978384, 1, 0.511492418, 0.588279021, 0.34718102, 0.429775493,1
17, test, 1, vibration off, 21, 3, 2, 7.jpg, 6.jpg, 0.365459609, 0.553509108, 0.553509108, left, 1, 2, 3, 6.jpg, 7.jpg, 1.8754885000016657, 1, 0.512951285, 0.553509108, 0.365459609, 0.420212923,0,
17, test, 1, vibration off, 22, 4, 3, 8.jpg, 7.jpg, 0.410726764, 0.364821817, 0.410726764, right, 2, 4, 3, 8.jpg, 7.jpg, 1.3800711999938358, 1, 0.539572991, 0.552815737, 0.364821817, 0.410726764,0,
17, test, 1, vibration off, 23, 2, 3, 6.jpg, 7.jpg, 0.535255398, 0.373035803, 0.373035803, left, 1, 3, 2, 7.jpg, 6.jpg, 2.81758070000069, 1, 0.56095771, 0.535255398, 0.373035803, 0.376882621,0,
17, test, 1, vibration off, 24, 4, 2, 8.jpg, 6.jpg, 0.358107826, 0.524393705, 0.524393705, left, 1, 2, 4, 6.jpg, 8.jpg, 1.811334899997746, 1, 0.575401102, 0.524393705, 0.364677663, 0.358107826,1
17, test, 1, vibration off, 25, 1, 2, 5.jpg, 6.jpg, 0.541014126, 0.532040408, 0.532040408, left, 1, 2, 1, 6.jpg, 5.jpg, 2.1551225000002887, 1, 0.541014126, 0.532040408, 0.39083719, 0.373729847,0,
17, test, 1, vibration off, 26, 3, 4, 7.jpg, 8.jpg, 0.371897574, 0.398780507, 0.398780507, left, 1, 4, 3, 8.jpg, 7.jpg, 2.231141399999615, 1, 0.536918816, 0.511692898, 0.371897574, 0.398780507,1
17, test, 1, vibration off, 27, 2, 4, 6.jpg, 8.jpg, 0.54671574, 0.405865749, 0.54671574, right, 2, 2, 4, 6.jpg, 8.jpg, 2.019555800005037, 1, 0.541079589, 0.54671574, 0.389383809, 0.405865749,1
17, test, 1, vibration off, 28, 2, 1, 6.jpg, 5.jpg, 0.570750529, 0.559641612, 0.559641612, left, 1, 1, 2, 5.jpg, 6.jpg, 3.6623233999998774, 1, 0.559641612, 0.570750529, 0.408417182, 0.403418308,1
17, test, 1, vibration off, 29, 3, 2, 7.jpg, 6.jpg, 0.383885215, 0.54476025, 0.54476025, left, 1, 2, 3, 6.jpg, 7.jpg, 2.0467793000061647, 1, 0.566867971, 0.54476025, 0.383885215, 0.398536524,1
17, test, 1, vibration off, 30, 2, 4, 6.jpg, 8.jpg, 0.559260499, 0.407780991, 0.559260499, right, 2, 2, 4, 6.jpg, 8.jpg, 3.046384199995373, 1, 0.562069061, 0.559260499, 0.406860111, 0.407780991,1
17, test, 1, vibration off, 31, 4, 3, 8.jpg, 7.jpg, 0.40633374, 0.389734908, 0.40633374, right, 2, 4, 3, 8.jpg, 7.jpg, 3.0120558999988134, 1, 0.557017169, 0.570453061, 0.389734908, 0.40633374,1
17, test, 1, vibration off, 32, 4, 3, 8.jpg, 7.jpg, 0.430319959, 0.364845558, 0.430319959, right, 2, 4, 3, 8.jpg, 7.jpg, 1.669819999995525, 1, 0.587964414, 0.562455492, 0.364845558, 0.430319959,0,
17, test, 1, vibration off, 33, 4, 2, 8.jpg, 6.jpg, 0.469700007, 0.583546956, 0.583546956, left, 1, 2, 4, 6.jpg, 8.jpg, 1.9898908999966807, 1, 0.569423526, 0.583546956, 0.38651511, 0.469700007,0,
17, test, 1, vibration off, 34, 2, 1, 6.jpg, 5.jpg, 0.565200904, 0.56834307, 0.56834307, left, 1, 1, 2, 5.jpg, 6.jpg, 1.414949500001967, 1, 0.56834307, 0.565200904, 0.411760625, 0.45608609,1
17, test, 1, vibration off, 35, 2, 3, 6.jpg, 7.jpg, 0.567372701, 0.404213812, 0.567372701, right, 2, 2, 3, 6.jpg, 7.jpg, 2.0831613000045763, 1, 0.599079702, 0.567372701, 0.404213812, 0.497188985,1
17, test, 1, vibration off, 36, 3, 4, 7.jpg, 8.jpg, 0.380656038, 0.476236411, 0.476236411, left, 1, 4, 3, 8.jpg, 7.jpg, 2.067286299999978, 1, 0.614921267, 0.558903517, 0.380656038, 0.476236411,0,
17, test, 1, vibration off, 37, 1, 3, 5.jpg, 7.jpg, 0.628075493, 0.352549374, 0.352549374, left, 1, 3, 1, 7.jpg, 5.jpg, 1.4264150999952108, 1, 0.628075493, 0.545721743, 0.352549374, 0.509842719,1
17, test, 1, vibration off, 38, 3, 2, 7.jpg, 6.jpg, 0.347063514, 0.538071442, 0.538071442, left, 1, 2, 3, 6.jpg, 7.jpg, 1.6583159000001615, 1, 0.631242143, 0.538071442, 0.347063514, 0.530542784,0,
17, test, 1, vibration off, 39, 4, 1, 8.jpg, 5.jpg, 0.525341883, 0.600609567, 0.600609567, left, 1, 1, 4, 5.jpg, 8.jpg, 1.8822927000001073, 1, 0.600609567, 0.562917382, 0.341152187, 0.525341883,1
17, test, 1, vibration off, 40, 1, 2, 5.jpg, 6.jpg, 0.598478627, 0.574174471, 0.574174471, left, 1, 2, 1, 6.jpg, 5.jpg, 2.5594091000020853, 1, 0.598478627, 0.574174471, 0.340254534, 0.519319672,0,
17, test, 1, vibration off, 41, 1, 3, 5.jpg, 7.jpg, 0.60144404, 0.358175358, 0.60144404, right, 2, 1, 3, 5.jpg, 7.jpg, 1.2544149000023026, 1, 0.60144404, 0.580661228, 0.358175358, 0.531828439,1
17, test, 1, vibration off, 42, 2, 1, 6.jpg, 5.jpg, 0.582970551, 0.630195312, 0.630195312, left, 1, 1, 2, 5.jpg, 6.jpg, 1.7467809000008856, 1, 0.630195312, 0.582970551, 0.366861123, 0.522351056,1
17, test, 1, vibration off, 43, 1, 3, 5.jpg, 7.jpg, 0.628568645, 0.357029746, 0.628568645, right, 2, 1, 3, 5.jpg, 7.jpg, 1.188850899998215, 1, 0.628568645, 0.572586617, 0.357029746, 0.532129282,1
17, test, 1, vibration off, 44, 3, 2, 7.jpg, 6.jpg, 0.384631609, 0.565568304, 0.565568304, left, 1, 2, 3, 6.jpg, 7.jpg, 2.3513320999991265, 1, 0.636994371, 0.565568304, 0.384631609, 0.54344664,1
17, test, 1, vibration off, 45, 1, 3, 5.jpg, 7.jpg, 0.650015763, 0.386636695, 0.650015763, right, 2, 1, 3, 5.jpg, 7.jpg, 2.10670140000002, 1, 0.650015763, 0.5781911, 0.386636695, 0.52618086,1
17, test, 1, vibration off, 46, 2, 4, 6.jpg, 8.jpg, 0.554193525, 0.575008411, 0.554193525, right, 2, 2, 4, 6.jpg, 8.jpg, 2.2026694000014686, 1, 0.626001871, 0.554193525, 0.376640317, 0.575008411,1
17, test, 1, vibration off, 47, 1, 3, 5.jpg, 7.jpg, 0.606772055, 0.329837755, 0.606772055, right, 2, 1, 3, 5.jpg, 7.jpg, 1.3140962999968906, 1, 0.606772055, 0.585886385, 0.329837755, 0.546233567,1
17, test, 1, vibration off, 48, 4, 2, 8.jpg, 6.jpg, 0.544792119, 0.601875425, 0.601875425, left, 1, 2, 4, 6.jpg, 8.jpg, 1.4404941000029794, 1, 0.609756275, 0.601875425, 0.322472207, 0.544792119,1
17, test, 1, vibration off, 49, 1, 2, 5.jpg, 6.jpg, 0.606158462, 0.595767883, 0.595767883, left, 1, 2, 1, 6.jpg, 5.jpg, 1.6164774999997462, 1, 0.606158462, 0.595767883, 0.298351175, 0.559135463,1
17, test, 1, vibration off, 50, 1, 4, 5.jpg, 8.jpg, 0.585330427, 0.528689445, 0.585330427, right, 2, 1, 4, 5.jpg, 8.jpg, 1.099431700000423, 1, 0.585330427, 0.596690297, 0.304980312, 0.528689445,1
17, practice, 2, vibration during outcome, 1, 4, 3, 12.jpg, 11.jpg, 0.466504194, 0.413504079, 0.466504194, right, 2, 4, 3, 12.jpg, 11.jpg, 2.7563299000030383, 1, 0.511076546, 0.615232533, 0.413504079, 0.466504194,0,
17, practice, 2, vibration during outcome, 2, 2, 3, 10.jpg, 11.jpg, 0.631199867, 0.375335495, 0.375335495, left, 1, 3, 2, 11.jpg, 10.jpg, 1.3086150999952224, 1, 0.517796443, 0.631199867, 0.375335495, 0.47234587,0,
17, practice, 2, vibration during outcome, 3, 3, 2, 11.jpg, 10.jpg, 0.374984468, 0.626315633, 0.626315633, left, 1, 2, 3, 10.jpg, 11.jpg, 1.528617399999348, 1, 0.498939688, 0.626315633, 0.374984468, 0.491193418,1
17, practice, 2, vibration during outcome, 4, 4, 3, 12.jpg, 11.jpg, 0.486122834, 0.371343772, 0.371343772, left, 1, 3, 4, 11.jpg, 12.jpg, 1.9211155000011786, 1, 0.498193315, 0.609226527, 0.371343772, 0.486122834,1
17, practice, 2, vibration during outcome, 5, 1, 4, 9.jpg, 12.jpg, 0.472267853, 0.463675252, 0.463675252, left, 1, 4, 1, 12.jpg, 9.jpg, 1.2226633000027505, 1, 0.472267853, 0.620106582, 0.35386843, 0.463675252,1
17, test, 2, vibration during outcome, 1, 2, 4, 10.jpg, 12.jpg, 0.615232533, 0.466504194, 0.615232533, right, 2, 2, 4, 10.jpg, 12.jpg, 1.0837228999953368, 1, 0.511076546, 0.615232533, 0.413504079, 0.466504194,1
17, test, 2, vibration during outcome, 2, 1, 2, 9.jpg, 10.jpg, 0.517796443, 0.631199867, 0.631199867, left, 1, 2, 1, 10.jpg, 9.jpg, 1.117695900000399, 1, 0.517796443, 0.631199867, 0.375335495, 0.47234587,1
17, test, 2, vibration during outcome, 3, 3, 2, 11.jpg, 10.jpg, 0.374984468, 0.626315633, 0.626315633, left, 1, 2, 3, 10.jpg, 11.jpg, 1.0393441000051098, 1, 0.498939688, 0.626315633, 0.374984468, 0.491193418,0,
17, test, 2, vibration during outcome, 4, 4, 3, 12.jpg, 11.jpg, 0.486122834, 0.371343772, 0.371343772, left, 1, 3, 4, 11.jpg, 12.jpg, 0.9283282000033068, 1, 0.498193315, 0.609226527, 0.371343772, 0.486122834,1
17, test, 2, vibration during outcome, 5, 1, 2, 9.jpg, 10.jpg, 0.472267853, 0.620106582, 0.620106582, left, 1, 2, 1, 10.jpg, 9.jpg, 0.9476102999979048, 1, 0.472267853, 0.620106582, 0.35386843, 0.463675252,1
17, test, 2, vibration during outcome, 6, 3, 1, 11.jpg, 9.jpg, 0.353156918, 0.48900464, 0.353156918, right, 2, 3, 1, 11.jpg, 9.jpg, 0.8481191000028048, 1, 0.48900464, 0.609411022, 0.353156918, 0.444784776,0,
17, test, 2, vibration during outcome, 7, 3, 4, 11.jpg, 12.jpg, 0.351148204, 0.459669582, 0.351148204, right, 2, 3, 4, 11.jpg, 12.jpg, 1.6666333000030136, 1, 0.498922937, 0.661106815, 0.351148204, 0.459669582,0,
17, test, 2, vibration during outcome, 8, 3, 1, 11.jpg, 9.jpg, 0.385479761, 0.523305174, 0.523305174, left, 1, 1, 3, 9.jpg, 11.jpg, 1.0270256000003428, 1, 0.523305174, 0.661043011, 0.385479761, 0.445975487,0,
17, test, 2, vibration during outcome, 9, 2, 4, 10.jpg, 12.jpg, 0.617130773, 0.477824508, 0.617130773, right, 2, 2, 4, 10.jpg, 12.jpg, 1.1609840000019176, 1, 0.538202722, 0.617130773, 0.38403906, 0.477824508,1
17, test, 2, vibration during outcome, 10, 2, 3, 10.jpg, 11.jpg, 0.61305354, 0.400369013, 0.61305354, right, 2, 2, 3, 10.jpg, 11.jpg, 1.379884400004812, 1, 0.538742055, 0.61305354, 0.400369013, 0.494179332,0,
17, test, 2, vibration during outcome, 11, 1, 3, 9.jpg, 11.jpg, 0.576408806, 0.389573429, 0.389573429, left, 1, 3, 1, 11.jpg, 9.jpg, 1.2736074999993434, 1, 0.576408806, 0.627053837, 0.389573429, 0.442060048,1
17, test, 2, vibration during outcome, 12, 1, 4, 9.jpg, 12.jpg, 0.58170588, 0.429884006, 0.429884006, left, 1, 4, 1, 12.jpg, 9.jpg, 2.0816952000022866, 1, 0.58170588, 0.6084257, 0.368726719, 0.429884006,0,
17, test, 2, vibration during outcome, 13, 3, 1, 11.jpg, 9.jpg, 0.375355878, 0.578706679, 0.578706679, left, 1, 1, 3, 9.jpg, 11.jpg, 2.0383603000009316, 1, 0.578706679, 0.597368238, 0.375355878, 0.451621205,1
17, test, 2, vibration during outcome, 14, 3, 2, 11.jpg, 10.jpg, 0.38842331, 0.603047222, 0.603047222, left, 1, 2, 3, 10.jpg, 11.jpg, 1.8781250000029104, 1, 0.542007718, 0.603047222, 0.38842331, 0.453322749,1
17, test, 2, vibration during outcome, 15, 3, 4, 11.jpg, 12.jpg, 0.398928367, 0.449059956, 0.398928367, right, 2, 3, 4, 11.jpg, 12.jpg, 2.6393266999948537, 1, 0.51169699, 0.59667375, 0.398928367, 0.449059956,0,
17, test, 2, vibration during outcome, 16, 4, 2, 12.jpg, 10.jpg, 0.445080478, 0.577589974, 0.577589974, left, 1, 2, 4, 10.jpg, 12.jpg, 1.9139482000027783, 1, 0.513158928, 0.577589974, 0.371810296, 0.445080478,1
17, test, 2, vibration during outcome, 17, 1, 3, 9.jpg, 11.jpg, 0.513426935, 0.379887863, 0.513426935, right, 2, 1, 3, 9.jpg, 11.jpg, 1.5389638999986346, 1, 0.513426935, 0.585694186, 0.379887863, 0.422775713,0,
17, test, 2, vibration during outcome, 18, 1, 4, 9.jpg, 12.jpg, 0.505704724, 0.418810463, 0.418810463, left, 1, 4, 1, 12.jpg, 9.jpg, 2.0006013000020175, 1, 0.505704724, 0.54789599, 0.373664559, 0.418810463,1
17, test, 2, vibration during outcome, 19, 3, 2, 11.jpg, 10.jpg, 0.369915918, 0.582335652, 0.582335652, left, 1, 2, 3, 10.jpg, 11.jpg, 1.779268600002979, 1, 0.504573157, 0.582335652, 0.369915918, 0.404711898,1
17, test, 2, vibration during outcome, 20, 1, 4, 9.jpg, 12.jpg, 0.511492418, 0.429775493, 0.429775493, left, 1, 4, 1, 12.jpg, 9.jpg, 1.3684263999966788, 1, 0.511492418, 0.588279021, 0.34718102, 0.429775493,1
17, test, 2, vibration during outcome, 21, 4, 2, 12.jpg, 10.jpg, 0.420212923, 0.553509108, 0.553509108, left, 1, 2, 4, 10.jpg, 12.jpg, 1.0339094000009936, 1, 0.512951285, 0.553509108, 0.365459609, 0.420212923,0,
17, test, 2, vibration during outcome, 22, 1, 3, 9.jpg, 11.jpg, 0.539572991, 0.364821817, 0.539572991, right, 2, 1, 3, 9.jpg, 11.jpg, 1.0825229000038235, 1, 0.539572991, 0.552815737, 0.364821817, 0.410726764,1
17, test, 2, vibration during outcome, 23, 2, 1, 10.jpg, 9.jpg, 0.535255398, 0.56095771, 0.535255398, right, 2, 2, 1, 10.jpg, 9.jpg, 2.3649837000048137, 1, 0.56095771, 0.535255398, 0.373035803, 0.376882621,0,
17, test, 2, vibration during outcome, 24, 1, 3, 9.jpg, 11.jpg, 0.575401102, 0.364677663, 0.575401102, right, 2, 1, 3, 9.jpg, 11.jpg, 1.083342600002652, 1, 0.575401102, 0.524393705, 0.364677663, 0.358107826,0,
17, test, 2, vibration during outcome, 25, 2, 1, 10.jpg, 9.jpg, 0.532040408, 0.541014126, 0.532040408, right, 2, 2, 1, 10.jpg, 9.jpg, 1.9610539999994216, 1, 0.541014126, 0.532040408, 0.39083719, 0.373729847,0,
17, test, 2, vibration during outcome, 26, 3, 1, 11.jpg, 9.jpg, 0.371897574, 0.536918816, 0.371897574, right, 2, 3, 1, 11.jpg, 9.jpg, 1.0446202999955858, 1, 0.536918816, 0.511692898, 0.371897574, 0.398780507,0,
17, test, 2, vibration during outcome, 27, 4, 2, 12.jpg, 10.jpg, 0.405865749, 0.54671574, 0.54671574, left, 1, 2, 4, 10.jpg, 12.jpg, 3.069253800000297, 1, 0.541079589, 0.54671574, 0.389383809, 0.405865749,0,
17, test, 2, vibration during outcome, 28, 2, 3, 10.jpg, 11.jpg, 0.570750529, 0.408417182, 0.408417182, left, 1, 3, 2, 11.jpg, 10.jpg, 2.6150343000044813, 1, 0.559641612, 0.570750529, 0.408417182, 0.403418308,0,
17, test, 2, vibration during outcome, 29, 4, 3, 12.jpg, 11.jpg, 0.398536524, 0.383885215, 0.398536524, right, 2, 4, 3, 12.jpg, 11.jpg, 1.446390799996152, 1, 0.566867971, 0.54476025, 0.383885215, 0.398536524,0,
17, test, 2, vibration during outcome, 30, 1, 3, 9.jpg, 11.jpg, 0.562069061, 0.406860111, 0.562069061, right, 2, 1, 3, 9.jpg, 11.jpg, 1.4432139999989886, 1, 0.562069061, 0.559260499, 0.406860111, 0.407780991,1
17, test, 2, vibration during outcome, 31, 2, 4, 10.jpg, 12.jpg, 0.570453061, 0.40633374, 0.40633374, left, 1, 4, 2, 12.jpg, 10.jpg, 1.709827700004098, 1, 0.557017169, 0.570453061, 0.389734908, 0.40633374,0,
17, test, 2, vibration during outcome, 32, 3, 1, 11.jpg, 9.jpg, 0.364845558, 0.587964414, 0.587964414, left, 1, 1, 3, 9.jpg, 11.jpg, 1.3152478000047267, 1, 0.587964414, 0.562455492, 0.364845558, 0.430319959,1
17, test, 2, vibration during outcome, 33, 3, 2, 11.jpg, 10.jpg, 0.38651511, 0.583546956, 0.583546956, left, 1, 2, 3, 10.jpg, 11.jpg, 2.0384040999997524, 1, 0.569423526, 0.583546956, 0.38651511, 0.469700007,1
17, test, 2, vibration during outcome, 34, 2, 4, 10.jpg, 12.jpg, 0.565200904, 0.45608609, 0.565200904, right, 2, 2, 4, 10.jpg, 12.jpg, 1.2995154000018374, 1, 0.56834307, 0.565200904, 0.411760625, 0.45608609,1
17, test, 2, vibration during outcome, 35, 1, 3, 9.jpg, 11.jpg, 0.599079702, 0.404213812, 0.599079702, right, 2, 1, 3, 9.jpg, 11.jpg, 1.2782531000048039, 1, 0.599079702, 0.567372701, 0.404213812, 0.497188985,0,
17, test, 2, vibration during outcome, 36, 3, 1, 11.jpg, 9.jpg, 0.380656038, 0.614921267, 0.380656038, right, 2, 3, 1, 11.jpg, 9.jpg, 2.429536100004043, 1, 0.614921267, 0.558903517, 0.380656038, 0.476236411,1
17, test, 2, vibration during outcome, 37, 2, 4, 10.jpg, 12.jpg, 0.545721743, 0.509842719, 0.545721743, right, 2, 2, 4, 10.jpg, 12.jpg, 1.627014199999394, 1, 0.628075493, 0.545721743, 0.352549374, 0.509842719,0,
17, test, 2, vibration during outcome, 38, 2, 4, 10.jpg, 12.jpg, 0.538071442, 0.530542784, 0.530542784, left, 1, 4, 2, 12.jpg, 10.jpg, 1.59490960000403, 1, 0.631242143, 0.538071442, 0.347063514, 0.530542784,1
17, test, 2, vibration during outcome, 39, 2, 1, 10.jpg, 9.jpg, 0.562917382, 0.600609567, 0.600609567, left, 1, 1, 2, 9.jpg, 10.jpg, 2.3119771999990917, 1, 0.600609567, 0.562917382, 0.341152187, 0.525341883,1
17, test, 2, vibration during outcome, 40, 3, 4, 11.jpg, 12.jpg, 0.340254534, 0.519319672, 0.519319672, left, 1, 4, 3, 12.jpg, 11.jpg, 1.5260576000000583, 1, 0.598478627, 0.574174471, 0.340254534, 0.519319672,1
17, test, 2, vibration during outcome, 41, 2, 4, 10.jpg, 12.jpg, 0.580661228, 0.531828439, 0.531828439, left, 1, 4, 2, 12.jpg, 10.jpg, 0.9659659000026295, 1, 0.60144404, 0.580661228, 0.358175358, 0.531828439,1
17, test, 2, vibration during outcome, 42, 2, 1, 10.jpg, 9.jpg, 0.582970551, 0.630195312, 0.630195312, left, 1, 1, 2, 9.jpg, 10.jpg, 1.287935299995297, 1, 0.630195312, 0.582970551, 0.366861123, 0.522351056,0,
17, test, 2, vibration during outcome, 43, 2, 4, 10.jpg, 12.jpg, 0.572586617, 0.532129282, 0.532129282, left, 1, 4, 2, 12.jpg, 10.jpg, 1.0343502999967313, 1, 0.628568645, 0.572586617, 0.357029746, 0.532129282,1
17, test, 2, vibration during outcome, 44, 2, 3, 10.jpg, 11.jpg, 0.565568304, 0.384631609, 0.565568304, right, 2, 2, 3, 10.jpg, 11.jpg, 1.0979039000012563, 1, 0.636994371, 0.565568304, 0.384631609, 0.54344664,1
17, test, 2, vibration during outcome, 45, 2, 4, 10.jpg, 12.jpg, 0.5781911, 0.52618086, 0.52618086, left, 1, 4, 2, 12.jpg, 10.jpg, 1.2768634999956703, 1, 0.650015763, 0.5781911, 0.386636695, 0.52618086,1
17, test, 2, vibration during outcome, 46, 4, 2, 12.jpg, 10.jpg, 0.575008411, 0.554193525, 0.575008411, right, 2, 4, 2, 12.jpg, 10.jpg, 1.3211611000006087, 1, 0.626001871, 0.554193525, 0.376640317, 0.575008411,1
17, test, 2, vibration during outcome, 47, 4, 3, 12.jpg, 11.jpg, 0.546233567, 0.329837755, 0.546233567, right, 2, 4, 3, 12.jpg, 11.jpg, 1.0450669999991078, 1, 0.606772055, 0.585886385, 0.329837755, 0.546233567,0,
17, test, 2, vibration during outcome, 48, 1, 3, 9.jpg, 11.jpg, 0.609756275, 0.322472207, 0.609756275, right, 2, 1, 3, 9.jpg, 11.jpg, 1.7709961000000476, 1, 0.609756275, 0.601875425, 0.322472207, 0.544792119,0,
17, test, 2, vibration during outcome, 49, 2, 1, 10.jpg, 9.jpg, 0.595767883, 0.606158462, 0.595767883, right, 2, 2, 1, 10.jpg, 9.jpg, 1.531491300003836, 1, 0.606158462, 0.595767883, 0.298351175, 0.559135463,0,
