subject, block_type, block, condition, trial, right_offer, left_offer, offer_right_image, offer_left_image, exp_value_right, exp_value_left, exp_value_chosen, choice_location, choice_key, choice_card, unchosen_card, chosen_card_image, unchosen_card_image, rt, randomwalk_counter, exp_value1, exp_value2, exp_value3, exp_value4, reward
31, practice, 1, vibration during choice, 1, 3, 4, 7.jpg, 8.jpg, 0.584847675, 0.302670058, 0.584847675, right, 2, 3, 4, 7.jpg, 8.jpg, 1.0710158000001684, 2, 0.167787674, 0.332201416, 0.584847675, 0.302670058,1
31, practice, 1, vibration during choice, 2, 3, 2, 7.jpg, 6.jpg, 0.582595424, 0.355471562, 0.582595424, right, 2, 3, 2, 7.jpg, 6.jpg, 0.6572816999978386, 2, 0.176264347, 0.355471562, 0.582595424, 0.290755999,1
31, practice, 1, vibration during choice, 3, 2, 1, 6.jpg, 5.jpg, 0.3490424, 0.206677553, 0.3490424, right, 2, 2, 1, 6.jpg, 5.jpg, 1.8230942000518553, 2, 0.206677553, 0.3490424, 0.578794293, 0.275426328,1
31, practice, 1, vibration during choice, 4, 2, 3, 6.jpg, 7.jpg, 0.358181966, 0.569745321, 0.358181966, right, 2, 2, 3, 6.jpg, 7.jpg, 0.4829499999759719, 2, 0.216551625, 0.358181966, 0.569745321, 0.268568422,1
31, practice, 1, vibration during choice, 5, 4, 2, 8.jpg, 6.jpg, 0.302042001, 0.364707579, 0.364707579, left, 1, 2, 4, 6.jpg, 8.jpg, 0.6726172000053339, 2, 0.21991786, 0.364707579, 0.582527891, 0.302042001,1
31, test, 1, vibration during choice, 1, 3, 1, 7.jpg, 5.jpg, 0.584847675, 0.167787674, 0.167787674, left, 1, 1, 3, 5.jpg, 7.jpg, 1.3312948999810033, 2, 0.167787674, 0.332201416, 0.584847675, 0.302670058,0,
31, test, 1, vibration during choice, 2, 1, 4, 5.jpg, 8.jpg, 0.176264347, 0.290755999, 0.290755999, left, 1, 4, 1, 8.jpg, 5.jpg, 0.8231287999660708, 2, 0.176264347, 0.355471562, 0.582595424, 0.290755999,0,
31, test, 1, vibration during choice, 3, 3, 2, 7.jpg, 6.jpg, 0.578794293, 0.3490424, 0.3490424, left, 1, 2, 3, 6.jpg, 7.jpg, 0.6543101000133902, 2, 0.206677553, 0.3490424, 0.578794293, 0.275426328,0,
31, test, 1, vibration during choice, 4, 1, 3, 5.jpg, 7.jpg, 0.216551625, 0.569745321, 0.216551625, right, 2, 1, 3, 5.jpg, 7.jpg, 2.302232499991078, 2, 0.216551625, 0.358181966, 0.569745321, 0.268568422,1
31, test, 1, vibration during choice, 5, 3, 1, 7.jpg, 5.jpg, 0.582527891, 0.21991786, 0.21991786, left, 1, 1, 3, 5.jpg, 7.jpg, 0.6174959000200033, 2, 0.21991786, 0.364707579, 0.582527891, 0.302042001,1
31, test, 1, vibration during choice, 6, 3, 2, 7.jpg, 6.jpg, 0.587455063, 0.3895513, 0.3895513, left, 1, 2, 3, 6.jpg, 7.jpg, 1.5824483000324108, 2, 0.209090036, 0.3895513, 0.587455063, 0.336540119,0,
31, test, 1, vibration during choice, 7, 2, 1, 6.jpg, 5.jpg, 0.39060737, 0.215508938, 0.215508938, left, 1, 1, 2, 5.jpg, 6.jpg, 1.3766208000015467, 2, 0.215508938, 0.39060737, 0.582464681, 0.363378709,0,
31, test, 1, vibration during choice, 8, 2, 4, 6.jpg, 8.jpg, 0.430440014, 0.369794555, 0.430440014, right, 2, 2, 4, 6.jpg, 8.jpg, 0.7332729000481777, 2, 0.219868403, 0.430440014, 0.545053358, 0.369794555,1
31, test, 1, vibration during choice, 9, 4, 3, 8.jpg, 7.jpg, 0.365747455, 0.530883085, 0.365747455, right, 2, 4, 3, 8.jpg, 7.jpg, 1.8180884000030346, 2, 0.223820368, 0.4539861, 0.530883085, 0.365747455,0,
31, test, 1, vibration during choice, 10, 2, 3, 6.jpg, 7.jpg, 0.485995524, 0.507816291, 0.485995524, right, 2, 2, 3, 6.jpg, 7.jpg, 0.9776236000470817, 2, 0.25320591, 0.485995524, 0.507816291, 0.36426522,0,
