subject, block_type, block, condition, trial, right_offer, left_offer, offer_right_image, offer_left_image, exp_value_right, exp_value_left, exp_value_chosen, choice_location, choice_key, choice_card, unchosen_card, chosen_card_image, unchosen_card_image, rt, randomwalk_counter, exp_value1, exp_value2, exp_value3, exp_value4, reward
37, practice, 1, vibration during choice, 1, 2, 1, 10.jpg, 9.jpg, 0.615232533, 0.511076546, 0.615232533, right, 2, 2, 1, 10.jpg, 9.jpg, 2.981612000032328, 1, 0.511076546, 0.615232533, 0.413504079, 0.466504194,1
37, practice, 1, vibration during choice, 2, 4, 3, 12.jpg, 11.jpg, 0.47234587, 0.375335495, 0.375335495, left, 1, 3, 4, 11.jpg, 12.jpg, 3.970155099988915, 1, 0.517796443, 0.631199867, 0.375335495, 0.47234587,0,
37, practice, 1, vibration during choice, 3, 2, 3, 10.jpg, 11.jpg, 0.626315633, 0.374984468, 0.374984468, left, 1, 3, 2, 11.jpg, 10.jpg, 2.3889854999724776, 1, 0.498939688, 0.626315633, 0.374984468, 0.491193418,0,
37, practice, 1, vibration during choice, 4, 2, 1, 10.jpg, 9.jpg, 0.609226527, 0.498193315, 0.609226527, right, 2, 2, 1, 10.jpg, 9.jpg, 1.7162382999667898, 1, 0.498193315, 0.609226527, 0.371343772, 0.486122834,1
37, practice, 1, vibration during choice, 5, 2, 3, 10.jpg, 11.jpg, 0.620106582, 0.35386843, 0.620106582, right, 2, 2, 3, 10.jpg, 11.jpg, 0.6079084000084549, 1, 0.472267853, 0.620106582, 0.35386843, 0.463675252,1
37, test, 1, vibration during choice, 1, 4, 3, 12.jpg, 11.jpg, 0.466504194, 0.413504079, 0.466504194, right, 2, 4, 3, 12.jpg, 11.jpg, 1.907114899950102, 1, 0.511076546, 0.615232533, 0.413504079, 0.466504194,0,
37, test, 1, vibration during choice, 2, 3, 2, 11.jpg, 10.jpg, 0.375335495, 0.631199867, 0.375335495, right, 2, 3, 2, 11.jpg, 10.jpg, 2.0632257000543177, 1, 0.517796443, 0.631199867, 0.375335495, 0.47234587,0,
37, test, 1, vibration during choice, 3, 1, 2, 9.jpg, 10.jpg, 0.498939688, 0.626315633, 0.626315633, left, 1, 2, 1, 10.jpg, 9.jpg, 3.6649621999822557, 1, 0.498939688, 0.626315633, 0.374984468, 0.491193418,1
37, test, 1, vibration during choice, 4, 3, 4, 11.jpg, 12.jpg, 0.371343772, 0.486122834, 0.486122834, left, 1, 4, 3, 12.jpg, 11.jpg, 4.765006099944003, 1, 0.498193315, 0.609226527, 0.371343772, 0.486122834,1
37, test, 1, vibration during choice, 5, 4, 2, 12.jpg, 10.jpg, 0.463675252, 0.620106582, 0.620106582, left, 1, 2, 4, 10.jpg, 12.jpg, 2.161994699970819, 1, 0.472267853, 0.620106582, 0.35386843, 0.463675252,0,
37, test, 1, vibration during choice, 6, 2, 1, 10.jpg, 9.jpg, 0.609411022, 0.48900464, 0.609411022, right, 2, 2, 1, 10.jpg, 9.jpg, 1.2854709000093862, 1, 0.48900464, 0.609411022, 0.353156918, 0.444784776,0,
37, test, 1, vibration during choice, 7, 2, 3, 10.jpg, 11.jpg, 0.661106815, 0.351148204, 0.661106815, right, 2, 2, 3, 10.jpg, 11.jpg, 3.8352205000119284, 1, 0.498922937, 0.661106815, 0.351148204, 0.459669582,1
37, test, 1, vibration during choice, 8, 2, 4, 10.jpg, 12.jpg, 0.661043011, 0.445975487, 0.661043011, right, 2, 2, 4, 10.jpg, 12.jpg, 2.9855998000130057, 1, 0.523305174, 0.661043011, 0.385479761, 0.445975487,0,
37, test, 1, vibration during choice, 9, 1, 2, 9.jpg, 10.jpg, 0.538202722, 0.617130773, 0.617130773, left, 1, 2, 1, 10.jpg, 9.jpg, 3.2298302000854164, 1, 0.538202722, 0.617130773, 0.38403906, 0.477824508,0,
37, test, 1, vibration during choice, 10, 1, 2, 9.jpg, 10.jpg, 0.538742055, 0.61305354, 0.538742055, right, 2, 1, 2, 9.jpg, 10.jpg, 3.2978311999468133, 1, 0.538742055, 0.61305354, 0.400369013, 0.494179332,0,
37, test, 1, vibration during choice, 11, 1, 2, 9.jpg, 10.jpg, 0.576408806, 0.627053837, 0.627053837, left, 1, 2, 1, 10.jpg, 9.jpg, 4.012362799956463, 1, 0.576408806, 0.627053837, 0.389573429, 0.442060048,1
37, test, 1, vibration during choice, 12, 1, 4, 9.jpg, 12.jpg, 0.58170588, 0.429884006, 0.429884006, left, 1, 4, 1, 12.jpg, 9.jpg, 0.9986602000426501, 1, 0.58170588, 0.6084257, 0.368726719, 0.429884006,0,
37, test, 1, vibration during choice, 13, 4, 1, 12.jpg, 9.jpg, 0.451621205, 0.578706679, 0.451621205, right, 2, 4, 1, 12.jpg, 9.jpg, 1.9404495999915525, 1, 0.578706679, 0.597368238, 0.375355878, 0.451621205,1
37, test, 1, vibration during choice, 14, 2, 1, 10.jpg, 9.jpg, 0.603047222, 0.542007718, 0.603047222, right, 2, 2, 1, 10.jpg, 9.jpg, 2.0510886000702158, 1, 0.542007718, 0.603047222, 0.38842331, 0.453322749,0,
37, test, 1, vibration during choice, 15, 1, 3, 9.jpg, 11.jpg, 0.51169699, 0.398928367, 0.51169699, right, 2, 1, 3, 9.jpg, 11.jpg, 1.0761382000055164, 1, 0.51169699, 0.59667375, 0.398928367, 0.449059956,0,
37, test, 1, vibration during choice, 16, 3, 4, 11.jpg, 12.jpg, 0.371810296, 0.445080478, 0.445080478, left, 1, 4, 3, 12.jpg, 11.jpg, 4.141497300006449, 1, 0.513158928, 0.577589974, 0.371810296, 0.445080478,0,
37, test, 1, vibration during choice, 17, 1, 4, 9.jpg, 12.jpg, 0.513426935, 0.422775713, 0.513426935, right, 2, 1, 4, 9.jpg, 12.jpg, 2.5098949000239372, 1, 0.513426935, 0.585694186, 0.379887863, 0.422775713,0,
37, test, 1, vibration during choice, 18, 2, 3, 10.jpg, 11.jpg, 0.54789599, 0.373664559, 0.54789599, right, 2, 2, 3, 10.jpg, 11.jpg, 2.7348395999288186, 1, 0.505704724, 0.54789599, 0.373664559, 0.418810463,1
37, test, 1, vibration during choice, 19, 4, 1, 12.jpg, 9.jpg, 0.404711898, 0.504573157, 0.504573157, left, 1, 1, 4, 9.jpg, 12.jpg, 4.508032099925913, 1, 0.504573157, 0.582335652, 0.369915918, 0.404711898,1
37, test, 1, vibration during choice, 20, 2, 1, 10.jpg, 9.jpg, 0.588279021, 0.511492418, 0.588279021, right, 2, 2, 1, 10.jpg, 9.jpg, 2.0468556000851095, 1, 0.511492418, 0.588279021, 0.34718102, 0.429775493,0,
37, test, 1, vibration during choice, 21, 3, 1, 11.jpg, 9.jpg, 0.365459609, 0.512951285, 0.512951285, left, 1, 1, 3, 9.jpg, 11.jpg, 1.4833895999472588, 1, 0.512951285, 0.553509108, 0.365459609, 0.420212923,0,
37, test, 1, vibration during choice, 22, 2, 1, 10.jpg, 9.jpg, 0.552815737, 0.539572991, 0.552815737, right, 2, 2, 1, 10.jpg, 9.jpg, 5.587786299991421, 1, 0.539572991, 0.552815737, 0.364821817, 0.410726764,1
37, test, 1, vibration during choice, 23, 1, 2, 9.jpg, 10.jpg, 0.56095771, 0.535255398, 0.56095771, right, 2, 1, 2, 9.jpg, 10.jpg, 1.17415729991626, 1, 0.56095771, 0.535255398, 0.373035803, 0.376882621,0,
37, test, 1, vibration during choice, 24, 3, 2, 11.jpg, 10.jpg, 0.364677663, 0.524393705, 0.364677663, right, 2, 3, 2, 11.jpg, 10.jpg, 1.6351986000081524, 1, 0.575401102, 0.524393705, 0.364677663, 0.358107826,1
37, test, 1, vibration during choice, 25, 4, 1, 12.jpg, 9.jpg, 0.373729847, 0.541014126, 0.373729847, right, 2, 4, 1, 12.jpg, 9.jpg, 1.3833768999902532, 1, 0.541014126, 0.532040408, 0.39083719, 0.373729847,0,
37, test, 1, vibration during choice, 26, 2, 1, 10.jpg, 9.jpg, 0.511692898, 0.536918816, 0.511692898, right, 2, 2, 1, 10.jpg, 9.jpg, 0.7992669000523165, 1, 0.536918816, 0.511692898, 0.371897574, 0.398780507,1
37, test, 1, vibration during choice, 27, 4, 2, 12.jpg, 10.jpg, 0.405865749, 0.54671574, 0.405865749, right, 2, 4, 2, 12.jpg, 10.jpg, 4.580591899924912, 1, 0.541079589, 0.54671574, 0.389383809, 0.405865749,0,
37, test, 1, vibration during choice, 28, 3, 2, 11.jpg, 10.jpg, 0.408417182, 0.570750529, 0.408417182, right, 2, 3, 2, 11.jpg, 10.jpg, 1.043593700043857, 1, 0.559641612, 0.570750529, 0.408417182, 0.403418308,0,
37, test, 1, vibration during choice, 29, 4, 2, 12.jpg, 10.jpg, 0.398536524, 0.54476025, 0.398536524, right, 2, 4, 2, 12.jpg, 10.jpg, 1.3631918000755832, 1, 0.566867971, 0.54476025, 0.383885215, 0.398536524,1
37, test, 1, vibration during choice, 30, 4, 2, 12.jpg, 10.jpg, 0.407780991, 0.559260499, 0.559260499, left, 1, 2, 4, 10.jpg, 12.jpg, 3.2860691000241786, 1, 0.562069061, 0.559260499, 0.406860111, 0.407780991,0,
37, test, 1, vibration during choice, 31, 3, 1, 11.jpg, 9.jpg, 0.389734908, 0.557017169, 0.389734908, right, 2, 3, 1, 11.jpg, 9.jpg, 13.242733099963516, 1, 0.557017169, 0.570453061, 0.389734908, 0.40633374,0,
37, test, 1, vibration during choice, 32, 3, 1, 11.jpg, 9.jpg, 0.364845558, 0.587964414, 0.587964414, left, 1, 1, 3, 9.jpg, 11.jpg, 1.9428117999341339, 1, 0.587964414, 0.562455492, 0.364845558, 0.430319959,0,
37, test, 1, vibration during choice, 33, 1, 3, 9.jpg, 11.jpg, 0.569423526, 0.38651511, 0.38651511, left, 1, 3, 1, 11.jpg, 9.jpg, 1.9993424999993294, 1, 0.569423526, 0.583546956, 0.38651511, 0.469700007,1
37, test, 1, vibration during choice, 34, 3, 4, 11.jpg, 12.jpg, 0.411760625, 0.45608609, 0.45608609, left, 1, 4, 3, 12.jpg, 11.jpg, 2.0310880000470206, 1, 0.56834307, 0.565200904, 0.411760625, 0.45608609,1
37, test, 1, vibration during choice, 35, 2, 3, 10.jpg, 11.jpg, 0.567372701, 0.404213812, 0.404213812, left, 1, 3, 2, 11.jpg, 10.jpg, 1.8981076000491157, 1, 0.599079702, 0.567372701, 0.404213812, 0.497188985,1
37, test, 1, vibration during choice, 36, 2, 1, 10.jpg, 9.jpg, 0.558903517, 0.614921267, 0.558903517, right, 2, 2, 1, 10.jpg, 9.jpg, 2.26698379998561, 1, 0.614921267, 0.558903517, 0.380656038, 0.476236411,1
37, test, 1, vibration during choice, 37, 3, 1, 11.jpg, 9.jpg, 0.352549374, 0.628075493, 0.628075493, left, 1, 1, 3, 9.jpg, 11.jpg, 2.2035694000078365, 1, 0.628075493, 0.545721743, 0.352549374, 0.509842719,0,
37, test, 1, vibration during choice, 38, 4, 1, 12.jpg, 9.jpg, 0.530542784, 0.631242143, 0.631242143, left, 1, 1, 4, 9.jpg, 12.jpg, 1.9148250999860466, 1, 0.631242143, 0.538071442, 0.347063514, 0.530542784,0,
37, test, 1, vibration during choice, 39, 4, 3, 12.jpg, 11.jpg, 0.525341883, 0.341152187, 0.341152187, left, 1, 3, 4, 11.jpg, 12.jpg, 1.0902588999597356, 1, 0.600609567, 0.562917382, 0.341152187, 0.525341883,0,
37, test, 1, vibration during choice, 40, 1, 4, 9.jpg, 12.jpg, 0.598478627, 0.519319672, 0.598478627, right, 2, 1, 4, 9.jpg, 12.jpg, 1.9990225000074133, 1, 0.598478627, 0.574174471, 0.340254534, 0.519319672,0,
