subject, block_type, block, condition, trial, right_offer, left_offer, offer_right_image, offer_left_image, exp_value_right, exp_value_left, exp_value_chosen, choice_location, choice_key, choice_card, unchosen_card, chosen_card_image, unchosen_card_image, rt, randomwalk_counter, exp_value1, exp_value2, exp_value3, exp_value4, reward
21, practice, 1, vibration during outcome, 1, 2, 4, 6.jpg, 8.jpg, 0.615232533, 0.466504194, 0.615232533, right, 2, 2, 4, 6.jpg, 8.jpg, 1.3005820999969728, 1, 0.511076546, 0.615232533, 0.413504079, 0.466504194,0,
21, practice, 1, vibration during outcome, 2, 1, 4, 5.jpg, 8.jpg, 0.517796443, 0.47234587, 0.47234587, left, 1, 4, 1, 8.jpg, 5.jpg, 0.704082100011874, 1, 0.517796443, 0.631199867, 0.375335495, 0.47234587,0,
21, practice, 1, vibration during outcome, 3, 3, 2, 7.jpg, 6.jpg, 0.374984468, 0.626315633, 0.626315633, left, 1, 2, 3, 6.jpg, 7.jpg, 0.6767245999653824, 1, 0.498939688, 0.626315633, 0.374984468, 0.491193418,1
21, practice, 1, vibration during outcome, 4, 3, 1, 7.jpg, 5.jpg, 0.371343772, 0.498193315, 0.371343772, right, 2, 3, 1, 7.jpg, 5.jpg, 0.7691353000118397, 1, 0.498193315, 0.609226527, 0.371343772, 0.486122834,1
21, practice, 1, vibration during outcome, 5, 2, 1, 6.jpg, 5.jpg, 0.620106582, 0.472267853, 0.620106582, right, 2, 2, 1, 6.jpg, 5.jpg, 0.8052235000068322, 1, 0.472267853, 0.620106582, 0.35386843, 0.463675252,1
21, test, 1, vibration during outcome, 1, 4, 1, 8.jpg, 5.jpg, 0.466504194, 0.511076546, 0.511076546, left, 1, 1, 4, 5.jpg, 8.jpg, 0.7955327999661677, 1, 0.511076546, 0.615232533, 0.413504079, 0.466504194,0,
21, test, 1, vibration during outcome, 2, 2, 1, 6.jpg, 5.jpg, 0.631199867, 0.517796443, 0.517796443, left, 1, 1, 2, 5.jpg, 6.jpg, 0.6674582000123337, 1, 0.517796443, 0.631199867, 0.375335495, 0.47234587,1
21, test, 1, vibration during outcome, 3, 3, 1, 7.jpg, 5.jpg, 0.374984468, 0.498939688, 0.498939688, left, 1, 1, 3, 5.jpg, 7.jpg, 1.4868117000441998, 1, 0.498939688, 0.626315633, 0.374984468, 0.491193418,1
21, test, 1, vibration during outcome, 4, 3, 1, 7.jpg, 5.jpg, 0.371343772, 0.498193315, 0.498193315, left, 1, 1, 3, 5.jpg, 7.jpg, 0.7414235000032932, 1, 0.498193315, 0.609226527, 0.371343772, 0.486122834,0,
21, test, 1, vibration during outcome, 5, 2, 3, 6.jpg, 7.jpg, 0.620106582, 0.35386843, 0.620106582, right, 2, 2, 3, 6.jpg, 7.jpg, 1.0138009999645874, 1, 0.472267853, 0.620106582, 0.35386843, 0.463675252,0,
21, test, 1, vibration during outcome, 6, 3, 1, 7.jpg, 5.jpg, 0.353156918, 0.48900464, 0.48900464, left, 1, 1, 3, 5.jpg, 7.jpg, 0.9519380999845453, 1, 0.48900464, 0.609411022, 0.353156918, 0.444784776,0,
21, test, 1, vibration during outcome, 7, 4, 3, 8.jpg, 7.jpg, 0.459669582, 0.351148204, 0.351148204, left, 1, 3, 4, 7.jpg, 8.jpg, 0.795811899995897, 1, 0.498922937, 0.661106815, 0.351148204, 0.459669582,1
21, test, 1, vibration during outcome, 8, 4, 1, 8.jpg, 5.jpg, 0.445975487, 0.523305174, 0.445975487, right, 2, 4, 1, 8.jpg, 5.jpg, 0.5881784000084735, 1, 0.523305174, 0.661043011, 0.385479761, 0.445975487,0,
21, test, 1, vibration during outcome, 9, 1, 2, 5.jpg, 6.jpg, 0.538202722, 0.617130773, 0.538202722, right, 2, 1, 2, 5.jpg, 6.jpg, 0.973906499973964, 1, 0.538202722, 0.617130773, 0.38403906, 0.477824508,0,
21, test, 1, vibration during outcome, 10, 4, 3, 8.jpg, 7.jpg, 0.494179332, 0.400369013, 0.400369013, left, 1, 3, 4, 7.jpg, 8.jpg, 0.46661479998147115, 1, 0.538742055, 0.61305354, 0.400369013, 0.494179332,0,
21, test, 1, vibration during outcome, 11, 2, 3, 6.jpg, 7.jpg, 0.627053837, 0.389573429, 0.627053837, right, 2, 2, 3, 6.jpg, 7.jpg, 0.6761166000505909, 1, 0.576408806, 0.627053837, 0.389573429, 0.442060048,1
21, test, 1, vibration during outcome, 12, 4, 1, 8.jpg, 5.jpg, 0.429884006, 0.58170588, 0.58170588, left, 1, 1, 4, 5.jpg, 8.jpg, 0.807399700046517, 1, 0.58170588, 0.6084257, 0.368726719, 0.429884006,1
21, test, 1, vibration during outcome, 13, 4, 1, 8.jpg, 5.jpg, 0.451621205, 0.578706679, 0.578706679, left, 1, 1, 4, 5.jpg, 8.jpg, 0.4728958999621682, 1, 0.578706679, 0.597368238, 0.375355878, 0.451621205,1
21, test, 1, vibration during outcome, 14, 1, 4, 5.jpg, 8.jpg, 0.542007718, 0.453322749, 0.453322749, left, 1, 4, 1, 8.jpg, 5.jpg, 1.0876341999974102, 1, 0.542007718, 0.603047222, 0.38842331, 0.453322749,0,
21, test, 1, vibration during outcome, 15, 3, 1, 7.jpg, 5.jpg, 0.398928367, 0.51169699, 0.51169699, left, 1, 1, 3, 5.jpg, 7.jpg, 0.650158200005535, 1, 0.51169699, 0.59667375, 0.398928367, 0.449059956,0,
