subject, block_type, block, condition, trial, right_offer, left_offer, offer_right_image, offer_left_image, exp_value_right, exp_value_left, exp_value_chosen, choice_location, choice_key, choice_card, unchosen_card, chosen_card_image, unchosen_card_image, rt, randomwalk_counter, exp_value1, exp_value2, exp_value3, exp_value4, reward
51, test, 1, vibration during outcome, 7, 4, 2, 8.jpg, 6.jpg, 0.363378709, 0.39060737, 0.39060737, left, 1, 2, 4, 6.jpg, 8.jpg, 1.127014199999394, 2, 0.215508938, 0.39060737, 0.582464681, 0.363378709,0,
51, test, 1, vibration during outcome, 8, 3, 4, 7.jpg, 8.jpg, 0.545053358, 0.369794555, 0.545053358, right, 2, 3, 4, 7.jpg, 8.jpg, 1.5556594000081532, 2, 0.219868403, 0.430440014, 0.545053358, 0.369794555,0,
51, test, 1, vibration during outcome, 9, 1, 4, 5.jpg, 8.jpg, 0.223820368, 0.365747455, 0.223820368, right, 2, 1, 4, 5.jpg, 8.jpg, 1.0174505000177305, 2, 0.223820368, 0.4539861, 0.530883085, 0.365747455,0,
51, test, 1, vibration during outcome, 10, 3, 2, 7.jpg, 6.jpg, 0.507816291, 0.485995524, 0.485995524, left, 1, 2, 3, 6.jpg, 7.jpg, 0.5786914000054821, 2, 0.25320591, 0.485995524, 0.507816291, 0.36426522,0,
51, test, 1, vibration during outcome, 11, 4, 1, 8.jpg, 5.jpg, 0.378430477, 0.272116099, 0.272116099, left, 1, 1, 4, 5.jpg, 8.jpg, 1.0240479999920353, 2, 0.272116099, 0.489357893, 0.494989907, 0.378430477,0,
51, test, 1, vibration during outcome, 12, 4, 2, 8.jpg, 6.jpg, 0.406276663, 0.484630844, 0.484630844, left, 1, 2, 4, 6.jpg, 8.jpg, 0.7749309999926481, 2, 0.234286576, 0.484630844, 0.446302549, 0.406276663,0,
51, test, 1, vibration during outcome, 13, 3, 2, 7.jpg, 6.jpg, 0.441292304, 0.493007884, 0.441292304, right, 2, 3, 2, 7.jpg, 6.jpg, 1.1370650999888312, 2, 0.209829698, 0.493007884, 0.441292304, 0.408056555,0,
51, test, 1, vibration during outcome, 14, 4, 2, 8.jpg, 6.jpg, 0.411853134, 0.496165246, 0.411853134, right, 2, 4, 2, 8.jpg, 6.jpg, 1.6421507999766618, 2, 0.194746258, 0.496165246, 0.424090899, 0.411853134,0,
51, test, 1, vibration during outcome, 15, 1, 4, 5.jpg, 8.jpg, 0.254919143, 0.425420016, 0.254919143, right, 2, 1, 4, 5.jpg, 8.jpg, 0.7156976999831386, 2, 0.254919143, 0.498060855, 0.410741903, 0.425420016,1
51, test, 1, vibration during outcome, 16, 4, 3, 8.jpg, 7.jpg, 0.434571537, 0.384469806, 0.384469806, left, 1, 3, 4, 7.jpg, 8.jpg, 1.0821961000037845, 2, 0.268446939, 0.473753497, 0.384469806, 0.434571537,0,
51, test, 1, vibration during outcome, 17, 2, 3, 6.jpg, 7.jpg, 0.427927548, 0.397409959, 0.397409959, left, 1, 3, 2, 7.jpg, 6.jpg, 1.7147186000074726, 2, 0.260713561, 0.427927548, 0.397409959, 0.467037886,1
51, test, 1, vibration during outcome, 18, 1, 3, 5.jpg, 7.jpg, 0.273570125, 0.380302803, 0.380302803, left, 1, 3, 1, 7.jpg, 5.jpg, 0.7071192000003066, 2, 0.273570125, 0.42862063, 0.380302803, 0.458160423,0,
51, test, 1, vibration during outcome, 19, 2, 1, 6.jpg, 5.jpg, 0.435371131, 0.269452755, 0.269452755, left, 1, 1, 2, 5.jpg, 6.jpg, 0.9836941999965347, 2, 0.269452755, 0.435371131, 0.39026973, 0.413401572,0,
51, test, 1, vibration during outcome, 20, 3, 1, 7.jpg, 5.jpg, 0.408454439, 0.268741649, 0.268741649, left, 1, 1, 3, 5.jpg, 7.jpg, 0.5858083000057377, 2, 0.268741649, 0.425551488, 0.408454439, 0.410963982,1
51, test, 1, vibration during outcome, 21, 4, 3, 8.jpg, 7.jpg, 0.423231262, 0.404768464, 0.423231262, right, 2, 4, 3, 8.jpg, 7.jpg, 2.2514685999776702, 2, 0.289598518, 0.44190032, 0.404768464, 0.423231262,1
51, test, 1, vibration during outcome, 22, 2, 4, 6.jpg, 8.jpg, 0.419525056, 0.389718337, 0.389718337, left, 1, 4, 2, 8.jpg, 6.jpg, 1.6342772000061814, 2, 0.299460569, 0.419525056, 0.422610309, 0.389718337,0,
51, test, 1, vibration during outcome, 23, 4, 1, 8.jpg, 5.jpg, 0.39059245, 0.275422902, 0.275422902, left, 1, 1, 4, 5.jpg, 8.jpg, 1.07275250001112, 2, 0.275422902, 0.397611772, 0.408863932, 0.39059245,0,
51, test, 1, vibration during outcome, 24, 1, 4, 5.jpg, 8.jpg, 0.266650787, 0.398445672, 0.266650787, right, 2, 1, 4, 5.jpg, 8.jpg, 2.201925500005018, 2, 0.266650787, 0.379139537, 0.405854252, 0.398445672,0,
51, test, 1, vibration during outcome, 25, 3, 2, 7.jpg, 6.jpg, 0.425425396, 0.383103254, 0.425425396, right, 2, 3, 2, 7.jpg, 6.jpg, 1.095251199993072, 2, 0.254259812, 0.383103254, 0.425425396, 0.3844496,0,
51, test, 1, vibration during outcome, 26, 3, 4, 7.jpg, 8.jpg, 0.44409494, 0.389570929, 0.44409494, right, 2, 3, 4, 7.jpg, 8.jpg, 0.707760600023903, 2, 0.251503025, 0.426705428, 0.44409494, 0.389570929,0,
51, test, 1, vibration during outcome, 27, 3, 2, 7.jpg, 6.jpg, 0.476699219, 0.434578853, 0.434578853, left, 1, 2, 3, 6.jpg, 7.jpg, 2.061622500012163, 2, 0.260664603, 0.434578853, 0.476699219, 0.351861927,1
51, test, 1, vibration during outcome, 28, 3, 4, 7.jpg, 8.jpg, 0.471375184, 0.358204472, 0.358204472, left, 1, 4, 3, 8.jpg, 7.jpg, 1.2152201999851968, 2, 0.254900351, 0.456535155, 0.471375184, 0.358204472,0,
51, test, 1, vibration during outcome, 29, 3, 1, 7.jpg, 5.jpg, 0.45401501, 0.270226286, 0.270226286, left, 1, 1, 3, 5.jpg, 7.jpg, 0.599476399976993, 2, 0.270226286, 0.431125609, 0.45401501, 0.360838495,0,
51, test, 1, vibration during outcome, 30, 2, 4, 6.jpg, 8.jpg, 0.434793002, 0.36725969, 0.434793002, right, 2, 2, 4, 6.jpg, 8.jpg, 1.1062753000005614, 2, 0.231605059, 0.434793002, 0.441888062, 0.36725969,1
51, test, 1, vibration during outcome, 31, 4, 1, 8.jpg, 5.jpg, 0.401609609, 0.233739069, 0.401609609, right, 2, 4, 1, 8.jpg, 5.jpg, 1.4509072999935597, 2, 0.233739069, 0.473135831, 0.456731037, 0.401609609,1
51, test, 1, vibration during outcome, 32, 1, 4, 5.jpg, 8.jpg, 0.24432205, 0.393803515, 0.393803515, left, 1, 4, 1, 8.jpg, 5.jpg, 0.8186237999761943, 2, 0.24432205, 0.452508743, 0.406064085, 0.393803515,1
51, test, 1, vibration during outcome, 33, 2, 1, 6.jpg, 5.jpg, 0.458621481, 0.193554899, 0.458621481, right, 2, 2, 1, 6.jpg, 5.jpg, 1.0747875999950338, 2, 0.193554899, 0.458621481, 0.401876712, 0.402704902,1
51, test, 1, vibration during outcome, 34, 4, 2, 8.jpg, 6.jpg, 0.416668377, 0.43001655, 0.43001655, left, 1, 2, 4, 6.jpg, 8.jpg, 0.6337044999818318, 2, 0.204964705, 0.43001655, 0.409321444, 0.416668377,1
51, test, 1, vibration during outcome, 35, 2, 4, 6.jpg, 8.jpg, 0.429045935, 0.419699964, 0.429045935, right, 2, 2, 4, 6.jpg, 8.jpg, 0.5353509999986272, 2, 0.22048214, 0.429045935, 0.424862287, 0.419699964,0,
51, test, 1, vibration during outcome, 36, 1, 4, 5.jpg, 8.jpg, 0.211101934, 0.428911523, 0.428911523, left, 1, 4, 1, 8.jpg, 5.jpg, 1.9296468999818899, 2, 0.211101934, 0.447650766, 0.423948221, 0.428911523,1
51, test, 1, vibration during outcome, 37, 4, 1, 8.jpg, 5.jpg, 0.39910528, 0.219326053, 0.39910528, right, 2, 4, 1, 8.jpg, 5.jpg, 0.7488210999872535, 2, 0.219326053, 0.456165741, 0.43257228, 0.39910528,1
51, test, 1, vibration during outcome, 38, 4, 3, 8.jpg, 7.jpg, 0.390289699, 0.4363313, 0.4363313, left, 1, 3, 4, 7.jpg, 8.jpg, 1.6593658999772742, 2, 0.221341547, 0.433155402, 0.4363313, 0.390289699,0,
51, test, 1, vibration during outcome, 39, 2, 3, 6.jpg, 7.jpg, 0.447660961, 0.408906602, 0.447660961, right, 2, 2, 3, 6.jpg, 7.jpg, 0.6043462000088766, 2, 0.214118114, 0.447660961, 0.408906602, 0.411267062,1
