subject, block_type, block, condition, trial, right_offer, left_offer, offer_right_image, offer_left_image, exp_value_right, exp_value_left, exp_value_chosen, choice_location, choice_key, choice_card, unchosen_card, chosen_card_image, unchosen_card_image, rt, randomwalk_counter, exp_value1, exp_value2, exp_value3, exp_value4, reward
8, practice, 1, vibration during outcome, 1, 2, 3, 2.jpg, 3.jpg, 0.615232533, 0.413504079, 0.615232533, right, 2, 2, 3, 2.jpg, 3.jpg, 1.4232655000014347, 1, 0.511076546, 0.615232533, 0.413504079, 0.466504194,1
8, practice, 1, vibration during outcome, 2, 3, 1, 3.jpg, 1.jpg, 0.375335495, 0.517796443, 0.375335495, right, 2, 3, 1, 3.jpg, 1.jpg, 2.3094331999964197, 1, 0.517796443, 0.631199867, 0.375335495, 0.47234587,0,
8, practice, 1, vibration during outcome, 3, 3, 2, 3.jpg, 2.jpg, 0.374984468, 0.626315633, 0.626315633, left, 1, 2, 3, 2.jpg, 3.jpg, 0.8548728999958257, 1, 0.498939688, 0.626315633, 0.374984468, 0.491193418,1
8, practice, 1, vibration during outcome, 4, 2, 3, 2.jpg, 3.jpg, 0.609226527, 0.371343772, 0.609226527, right, 2, 2, 3, 2.jpg, 3.jpg, 0.8897282000034465, 1, 0.498193315, 0.609226527, 0.371343772, 0.486122834,1
8, practice, 1, vibration during outcome, 5, 3, 1, 3.jpg, 1.jpg, 0.35386843, 0.472267853, 0.472267853, left, 1, 1, 3, 1.jpg, 3.jpg, 0.7947127000006731, 1, 0.472267853, 0.620106582, 0.35386843, 0.463675252,1
8, test, 1, vibration during outcome, 1, 4, 3, 4.jpg, 3.jpg, 0.466504194, 0.413504079, 0.413504079, left, 1, 3, 4, 3.jpg, 4.jpg, 0.8623587999973097, 1, 0.511076546, 0.615232533, 0.413504079, 0.466504194,1
8, test, 1, vibration during outcome, 2, 3, 4, 3.jpg, 4.jpg, 0.375335495, 0.47234587, 0.375335495, right, 2, 3, 4, 3.jpg, 4.jpg, 0.53431759999512, 1, 0.517796443, 0.631199867, 0.375335495, 0.47234587,0,
8, test, 1, vibration during outcome, 3, 1, 3, 1.jpg, 3.jpg, 0.498939688, 0.374984468, 0.374984468, left, 1, 3, 1, 3.jpg, 1.jpg, 1.1086228999993182, 1, 0.498939688, 0.626315633, 0.374984468, 0.491193418,0,
8, test, 1, vibration during outcome, 4, 2, 4, 2.jpg, 4.jpg, 0.609226527, 0.486122834, 0.486122834, left, 1, 4, 2, 4.jpg, 2.jpg, 0.9410062000024482, 1, 0.498193315, 0.609226527, 0.371343772, 0.486122834,0,
8, test, 1, vibration during outcome, 5, 4, 2, 4.jpg, 2.jpg, 0.463675252, 0.620106582, 0.620106582, left, 1, 2, 4, 2.jpg, 4.jpg, 1.6436892000056105, 1, 0.472267853, 0.620106582, 0.35386843, 0.463675252,1
8, test, 1, vibration during outcome, 6, 4, 1, 4.jpg, 1.jpg, 0.444784776, 0.48900464, 0.444784776, right, 2, 4, 1, 4.jpg, 1.jpg, 1.5185055999972974, 1, 0.48900464, 0.609411022, 0.353156918, 0.444784776,0,
8, test, 1, vibration during outcome, 7, 4, 1, 4.jpg, 1.jpg, 0.459669582, 0.498922937, 0.498922937, left, 1, 1, 4, 1.jpg, 4.jpg, 0.6183963000003132, 1, 0.498922937, 0.661106815, 0.351148204, 0.459669582,1
8, test, 1, vibration during outcome, 8, 3, 1, 3.jpg, 1.jpg, 0.385479761, 0.523305174, 0.523305174, left, 1, 1, 3, 1.jpg, 3.jpg, 0.6066017000048305, 1, 0.523305174, 0.661043011, 0.385479761, 0.445975487,0,
8, test, 1, vibration during outcome, 9, 3, 4, 3.jpg, 4.jpg, 0.38403906, 0.477824508, 0.477824508, left, 1, 4, 3, 4.jpg, 3.jpg, 1.8898964000036358, 1, 0.538202722, 0.617130773, 0.38403906, 0.477824508,1
8, test, 1, vibration during outcome, 10, 2, 4, 2.jpg, 4.jpg, 0.61305354, 0.494179332, 0.61305354, right, 2, 2, 4, 2.jpg, 4.jpg, 0.953834600004484, 1, 0.538742055, 0.61305354, 0.400369013, 0.494179332,0,
8, test, 1, vibration during outcome, 11, 3, 2, 3.jpg, 2.jpg, 0.389573429, 0.627053837, 0.627053837, left, 1, 2, 3, 2.jpg, 3.jpg, 1.1903310999987298, 1, 0.576408806, 0.627053837, 0.389573429, 0.442060048,0,
8, test, 1, vibration during outcome, 12, 2, 1, 2.jpg, 1.jpg, 0.6084257, 0.58170588, 0.58170588, left, 1, 1, 2, 1.jpg, 2.jpg, 0.814382000004116, 1, 0.58170588, 0.6084257, 0.368726719, 0.429884006,0,
8, test, 1, vibration during outcome, 13, 2, 3, 2.jpg, 3.jpg, 0.597368238, 0.375355878, 0.597368238, right, 2, 2, 3, 2.jpg, 3.jpg, 1.0977613000068231, 1, 0.578706679, 0.597368238, 0.375355878, 0.451621205,0,
8, test, 1, vibration during outcome, 14, 4, 1, 4.jpg, 1.jpg, 0.453322749, 0.542007718, 0.542007718, left, 1, 1, 4, 1.jpg, 4.jpg, 0.960321099999419, 1, 0.542007718, 0.603047222, 0.38842331, 0.453322749,1
8, test, 1, vibration during outcome, 15, 2, 3, 2.jpg, 3.jpg, 0.59667375, 0.398928367, 0.398928367, left, 1, 3, 2, 3.jpg, 2.jpg, 1.076961000006122, 1, 0.51169699, 0.59667375, 0.398928367, 0.449059956,1
8, test, 1, vibration during outcome, 16, 3, 1, 3.jpg, 1.jpg, 0.371810296, 0.513158928, 0.513158928, left, 1, 1, 3, 1.jpg, 3.jpg, 0.744721800001571, 1, 0.513158928, 0.577589974, 0.371810296, 0.445080478,0,
8, test, 1, vibration during outcome, 17, 1, 2, 1.jpg, 2.jpg, 0.513426935, 0.585694186, 0.513426935, right, 2, 1, 2, 1.jpg, 2.jpg, 0.8184955000033369, 1, 0.513426935, 0.585694186, 0.379887863, 0.422775713,0,
8, test, 1, vibration during outcome, 18, 3, 2, 3.jpg, 2.jpg, 0.373664559, 0.54789599, 0.373664559, right, 2, 3, 2, 3.jpg, 2.jpg, 0.8100345999991987, 1, 0.505704724, 0.54789599, 0.373664559, 0.418810463,1
8, test, 1, vibration during outcome, 19, 1, 2, 1.jpg, 2.jpg, 0.504573157, 0.582335652, 0.504573157, right, 2, 1, 2, 1.jpg, 2.jpg, 0.9072931000046083, 1, 0.504573157, 0.582335652, 0.369915918, 0.404711898,0,
8, test, 1, vibration during outcome, 20, 3, 2, 3.jpg, 2.jpg, 0.34718102, 0.588279021, 0.34718102, right, 2, 3, 2, 3.jpg, 2.jpg, 1.2430047000016202, 1, 0.511492418, 0.588279021, 0.34718102, 0.429775493,1
8, test, 1, vibration during outcome, 21, 2, 3, 2.jpg, 3.jpg, 0.553509108, 0.365459609, 0.365459609, left, 1, 3, 2, 3.jpg, 2.jpg, 1.1908904000010807, 1, 0.512951285, 0.553509108, 0.365459609, 0.420212923,1
