subject, block_type, block, condition, trial, right_offer, left_offer, offer_right_image, offer_left_image, exp_value_right, exp_value_left, exp_value_chosen, choice_location, choice_key, choice_card, unchosen_card, chosen_card_image, unchosen_card_image, rt, randomwalk_counter, exp_value1, exp_value2, exp_value3, exp_value4, reward
62, test,1, vibration during choice,24,3,1, 3.jpg, 1.jpg,0.405854252,0.266650787,0.266650787, left,1,1,3, 1.jpg, 3.jpg,2.5943922,2,0.266650787,0.379139537,0.405854252,0.398445672,0
62, test,1, vibration during choice,25,4,1, 4.jpg, 1.jpg,0.3844496,0.254259812,0.3844496, right,2,4,1, 4.jpg, 1.jpg,0.4377232,2,0.254259812,0.383103254,0.425425396,0.3844496,1
62, test,1, vibration during choice,26,2,4, 2.jpg, 4.jpg,0.426705428,0.389570929,0.426705428, right,2,2,4, 2.jpg, 4.jpg,0.7290116,2,0.251503025,0.426705428,0.44409494,0.389570929,0
62, test,1, vibration during choice,27,3,2, 3.jpg, 2.jpg,0.476699219,0.434578853,0.434578853, left,1,2,3, 2.jpg, 3.jpg,1.074979,2,0.260664603,0.434578853,0.476699219,0.351861927,1
62, test,1, vibration during choice,28,3,2, 3.jpg, 2.jpg,0.471375184,0.456535155,0.471375184, right,2,3,2, 3.jpg, 2.jpg,0.6949299,2,0.254900351,0.456535155,0.471375184,0.358204472,1
62, test,1, vibration during choice,29,3,4, 3.jpg, 4.jpg,0.45401501,0.360838495,0.45401501, right,2,3,4, 3.jpg, 4.jpg,2.8738194,2,0.270226286,0.431125609,0.45401501,0.360838495,0
62, test,1, vibration during choice,30,3,2, 3.jpg, 2.jpg,0.441888062,0.434793002,0.434793002, left,1,2,3, 2.jpg, 3.jpg,2.13E-05,2,0.231605059,0.434793002,0.441888062,0.36725969,1
62, test,1, vibration during choice,31,1,4, 1.jpg, 4.jpg,0.233739069,0.401609609,0.401609609, left,1,4,1, 4.jpg, 1.jpg,0.2567681,2,0.233739069,0.473135831,0.456731037,0.401609609,1
62, test,1, vibration during choice,32,4,2, 4.jpg, 2.jpg,0.393803515,0.452508743,0.452508743, left,1,2,4, 2.jpg, 4.jpg,0.62362,2,0.24432205,0.452508743,0.406064085,0.393803515,0
62, test,1, vibration during choice,33,3,4, 3.jpg, 4.jpg,0.401876712,0.402704902,0.402704902, left,1,4,3, 4.jpg, 3.jpg,0.5424547,2,0.193554899,0.458621481,0.401876712,0.402704902,1
62, test,1, vibration during choice,34,1,3, 1.jpg, 3.jpg,0.204964705,0.409321444,0.409321444, left,1,3,1, 3.jpg, 1.jpg,0.3764675,2,0.204964705,0.43001655,0.409321444,0.416668377,1
62, test,1, vibration during choice,35,4,1, 4.jpg, 1.jpg,0.419699964,0.22048214,0.22048214, left,1,1,4, 1.jpg, 4.jpg,1.3864801,2,0.22048214,0.429045935,0.424862287,0.419699964,0
62, test,1, vibration during choice,36,3,1, 3.jpg, 1.jpg,0.423948221,0.211101934,0.423948221, right,2,3,1, 3.jpg, 1.jpg,0.5454458,2,0.211101934,0.447650766,0.423948221,0.428911523,1
62, test,1, vibration during choice,37,3,1, 3.jpg, 1.jpg,0.43257228,0.219326053,0.43257228, right,2,3,1, 3.jpg, 1.jpg,0.6094542,2,0.219326053,0.456165741,0.43257228,0.39910528,1
62, test,1, vibration during choice,38,3,2, 3.jpg, 2.jpg,0.4363313,0.433155402,0.4363313, right,2,3,2, 3.jpg, 2.jpg,1.1540718,2,0.221341547,0.433155402,0.4363313,0.390289699,0
62, test,1, vibration during choice,39,4,3, 4.jpg, 3.jpg,0.411267062,0.408906602,0.408906602, left,1,3,4, 3.jpg, 4.jpg,0.4101324,2,0.214118114,0.447660961,0.408906602,0.411267062,1
62, test,1, vibration during choice,40,2,1, 2.jpg, 1.jpg,0.447456341,0.217505069,0.217505069, left,1,1,2, 1.jpg, 2.jpg,0.3546697,2,0.217505069,0.447456341,0.40122215,0.401024283,0
62, test,1, vibration during choice,41,3,2, 3.jpg, 2.jpg,0.382054645,0.458162882,0.458162882, left,1,2,3, 2.jpg, 3.jpg,0.0263797,2,0.249081937,0.458162882,0.382054645,0.370374616,1
62, test,1, vibration during choice,42,2,3, 2.jpg, 3.jpg,0.480978505,0.383924023,0.383924023, left,1,3,2, 3.jpg, 2.jpg,0.4473405,2,0.255981224,0.480978505,0.383924023,0.368787043,1
62, test,1, vibration during choice,43,2,3, 2.jpg, 3.jpg,0.511556199,0.401205729,0.401205729, left,1,3,2, 3.jpg, 2.jpg,0.5466355,2,0.288213763,0.511556199,0.401205729,0.38383929,1
62, test,1, vibration during choice,44,2,3, 2.jpg, 3.jpg,0.530811847,0.350203513,0.350203513, left,1,3,2, 3.jpg, 2.jpg,0.8455493,2,0.294374293,0.530811847,0.350203513,0.362927966,0
62, test,1, vibration during choice,45,1,3, 1.jpg, 3.jpg,0.308994906,0.336134109,0.308994906, right,2,1,3, 1.jpg, 3.jpg,1.7146741,2,0.308994906,0.512913286,0.336134109,0.367033206,0
62, test,1, vibration during choice,46,3,1, 3.jpg, 1.jpg,0.325220477,0.289973458,0.289973458, left,1,1,3, 1.jpg, 3.jpg,0.5714552,2,0.289973458,0.533187647,0.325220477,0.368488345,0
62, test,1, vibration during choice,47,4,2, 4.jpg, 2.jpg,0.34679011,0.537872242,0.34679011, right,2,4,2, 4.jpg, 2.jpg,1.0232906,2,0.29306391,0.537872242,0.357892701,0.34679011,1
62, test,1, vibration during choice,48,4,1, 4.jpg, 1.jpg,0.356952705,0.292135198,0.356952705, right,2,4,1, 4.jpg, 1.jpg,1.2210596,2,0.292135198,0.523160461,0.408168742,0.356952705,1
62, test,1, vibration during choice,49,3,1, 3.jpg, 1.jpg,0.394241012,0.293886334,0.394241012, right,2,3,1, 3.jpg, 1.jpg,1.0343023,2,0.293886334,0.527646571,0.394241012,0.356189797,0
62, test,1, vibration during choice,50,3,4, 3.jpg, 4.jpg,0.386662209,0.348042517,0.348042517, left,1,4,3, 4.jpg, 3.jpg,0.4404546,2,0.304272396,0.548355336,0.386662209,0.348042517,1
62, practice,2, vibration off,1,2,3, 10.jpg, 11.jpg,0.332201416,0.584847675,0.332201416, right,2,2,3, 10.jpg, 11.jpg,0.6188007,2,0.167787674,0.332201416,0.584847675,0.302670058,1
62, practice,2, vibration off,2,1,3, 9.jpg, 11.jpg,0.176264347,0.582595424,0.176264347, right,2,1,3, 9.jpg, 11.jpg,0.5382921,2,0.176264347,0.355471562,0.582595424,0.290755999,0
